"varname","simulation","year","mean_biomass"
"Cop","ssp126",1980,28.1837348057699
"Cop","ssp126",1981,25.7550135918459
"Cop","ssp126",1982,27.2949790056324
"Cop","ssp126",1983,24.3077608639534
"Cop","ssp126",1984,24.8319019866742
"Cop","ssp126",1985,28.143055430333
"Cop","ssp126",1986,25.0742399326459
"Cop","ssp126",1987,27.4717502819727
"Cop","ssp126",1988,25.8891716976363
"Cop","ssp126",1989,24.5293167888399
"Cop","ssp126",1990,26.7582615526618
"Cop","ssp126",1991,29.8808629324945
"Cop","ssp126",1992,30.2166003927328
"Cop","ssp126",1993,24.2668149092946
"Cop","ssp126",1994,26.0250299688659
"Cop","ssp126",1995,25.9496890178334
"Cop","ssp126",1996,25.7581739088352
"Cop","ssp126",1997,23.5822715836468
"Cop","ssp126",1998,22.4441784986664
"Cop","ssp126",1999,23.3318594006714
"Cop","ssp126",2000,25.0613094269896
"Cop","ssp126",2001,26.8761152968174
"Cop","ssp126",2002,27.7223445145805
"Cop","ssp126",2003,22.1165406084487
"Cop","ssp126",2004,22.7546990671162
"Cop","ssp126",2005,25.1580416053993
"Cop","ssp126",2006,23.564277277805
"Cop","ssp126",2007,24.4560342569145
"Cop","ssp126",2008,27.1282778503586
"Cop","ssp126",2009,27.1938939532819
"Cop","ssp126",2010,25.0430687251001
"Cop","ssp126",2011,23.9060988518817
"Cop","ssp126",2012,28.8145872315071
"Cop","ssp126",2013,22.9514119671508
"Cop","ssp126",2014,25.5459968382146
"Cop","ssp126",2015,20.3332577044425
"Cop","ssp126",2016,21.1315921025794
"Cop","ssp126",2017,22.2841652987424
"Cop","ssp126",2018,20.2161117295557
"Cop","ssp126",2019,20.4844754587415
"Cop","ssp126",2020,23.0487896589549
"Cop","ssp126",2021,16.306923353996
"Cop","ssp126",2022,24.3729025322252
"Cop","ssp126",2023,29.1759239996221
"Cop","ssp126",2024,29.7157285222064
"Cop","ssp126",2025,26.5531934687387
"Cop","ssp126",2026,22.7558594160564
"Cop","ssp126",2027,23.2947190875974
"Cop","ssp126",2028,27.472888169344
"Cop","ssp126",2029,21.0472934340827
"Cop","ssp126",2030,17.5923032286369
"Cop","ssp126",2031,20.1242800571372
"Cop","ssp126",2032,25.1091560650443
"Cop","ssp126",2033,26.4886744979779
"Cop","ssp126",2034,21.8882630192136
"Cop","ssp126",2035,22.9861714171393
"Cop","ssp126",2036,24.9353611790648
"Cop","ssp126",2037,21.0321449763222
"Cop","ssp126",2038,23.9066458537435
"Cop","ssp126",2039,23.8084455190335
"Cop","ssp126",2040,24.8843468390949
"Cop","ssp126",2041,24.0186408152113
"Cop","ssp126",2042,22.1226132746956
"Cop","ssp126",2043,23.9637128511218
"Cop","ssp126",2044,28.4076916283939
"Cop","ssp126",2045,25.11916639379
"Cop","ssp126",2046,19.797060339308
"Cop","ssp126",2047,23.3134719024228
"Cop","ssp126",2048,24.7920644116534
"Cop","ssp126",2049,23.254675990167
"Cop","ssp126",2050,20.5697909802734
"Cop","ssp126",2051,25.4432372645517
"Cop","ssp126",2052,16.4823464762756
"Cop","ssp126",2053,29.4699139759799
"Cop","ssp126",2054,26.5875480339539
"Cop","ssp126",2055,21.343165828933
"Cop","ssp126",2056,23.739064221929
"Cop","ssp126",2057,26.4895458317771
"Cop","ssp126",2058,26.0051947070654
"Cop","ssp126",2059,27.5576167129581
"Cop","ssp126",2060,26.2530291618655
"Cop","ssp126",2061,22.8538650415999
"Cop","ssp126",2062,20.5100188433061
"Cop","ssp126",2063,22.9128390029888
"Cop","ssp126",2064,29.2250717235967
"Cop","ssp126",2065,31.5139786075686
"Cop","ssp126",2066,23.3495816937638
"Cop","ssp126",2067,21.4666368963489
"Cop","ssp126",2068,25.828625346388
"Cop","ssp126",2069,26.52429290024
"Cop","ssp126",2070,22.2238685655736
"Cop","ssp126",2071,27.6202310666532
"Cop","ssp126",2072,22.1215176745555
"Cop","ssp126",2073,25.9494048933018
"Cop","ssp126",2074,22.8396100787546
"Cop","ssp126",2075,21.1516651719166
"Cop","ssp126",2076,31.6403733124935
"Cop","ssp126",2077,31.8647186608768
"Cop","ssp126",2078,20.4798814267309
"Cop","ssp126",2079,24.0729637804376
"Cop","ssp126",2080,22.4582328115655
"Cop","ssp126",2081,25.3789823039252
"Cop","ssp126",2082,19.160634703965
"Cop","ssp126",2083,18.6313771608208
"Cop","ssp126",2084,26.4872237003575
"Cop","ssp126",2085,29.4821351298938
"Cop","ssp126",2086,24.0930126969618
"Cop","ssp126",2087,24.3464321471104
"Cop","ssp126",2088,19.7298750754
"Cop","ssp126",2089,21.0163021265199
"Cop","ssp126",2090,24.4718711473825
"Cop","ssp126",2091,29.3243305984423
"Cop","ssp126",2092,24.4080430184627
"Cop","ssp126",2093,19.6900589220421
"Cop","ssp126",2094,25.7831191389856
"Cop","ssp126",2095,25.8151008350608
"Cop","ssp126",2096,27.0241854248143
"Cop","ssp126",2097,18.5845828676088
"Cop","ssp126",2098,22.7919202247843
"Cop","ssp126",2099,20.2197296867772
"Cop","ssp245",1980,28.1837348057699
"Cop","ssp245",1981,25.7550135918459
"Cop","ssp245",1982,27.2949790056324
"Cop","ssp245",1983,24.3077608639534
"Cop","ssp245",1984,24.8319019866742
"Cop","ssp245",1985,28.143055430333
"Cop","ssp245",1986,25.0742399326459
"Cop","ssp245",1987,27.4717502819727
"Cop","ssp245",1988,25.8891716976363
"Cop","ssp245",1989,24.5293167888399
"Cop","ssp245",1990,26.7582615526618
"Cop","ssp245",1991,29.8808629324945
"Cop","ssp245",1992,30.2166003927328
"Cop","ssp245",1993,24.2668149092946
"Cop","ssp245",1994,26.0250299688659
"Cop","ssp245",1995,25.9496890178334
"Cop","ssp245",1996,25.7581739088352
"Cop","ssp245",1997,23.5822715836468
"Cop","ssp245",1998,22.4441784986664
"Cop","ssp245",1999,23.3318594006714
"Cop","ssp245",2000,25.0613094269896
