"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",1980,1,6.67136233501159
"Cop","ssp126",1980,2,3.82880293922775
"Cop","ssp126",1980,3,9.85968886197913
"Cop","ssp126",1980,4,29.8295578431279
"Cop","ssp126",1980,5,45.5191184751612
"Cop","ssp126",1980,6,63.172793210585
"Cop","ssp126",1980,7,69.0901572836772
"Cop","ssp126",1980,8,44.566805842921
"Cop","ssp126",1980,9,39.1857418372842
"Cop","ssp126",1980,10,40.620747962268
"Cop","ssp126",1980,11,26.2029872802239
"Cop","ssp126",1980,12,15.121995208241
"Cop","ssp126",1981,1,8.16225601308209
"Cop","ssp126",1981,2,7.29510501345856
"Cop","ssp126",1981,3,19.7667896675216
"Cop","ssp126",1981,4,26.5975317744841
"Cop","ssp126",1981,5,37.1176096113259
"Cop","ssp126",1981,6,47.9733079354857
"Cop","ssp126",1981,7,51.0176081604474
"Cop","ssp126",1981,8,36.2629233038699
"Cop","ssp126",1981,9,29.6997807422651
"Cop","ssp126",1981,10,29.160033311249
"Cop","ssp126",1981,11,23.3102915724551
"Cop","ssp126",1981,12,13.7251081644915
"Cop","ssp126",1982,1,7.48763777200897
"Cop","ssp126",1982,2,9.6028280349653
"Cop","ssp126",1982,3,27.7674481128955
"Cop","ssp126",1982,4,27.4194697714311
"Cop","ssp126",1982,5,35.6452351965222
"Cop","ssp126",1982,6,42.2378113207524
"Cop","ssp126",1982,7,46.736908557186
"Cop","ssp126",1982,8,39.8793920528786
"Cop","ssp126",1982,9,37.8128741665887
"Cop","ssp126",1982,10,37.6745661919249
"Cop","ssp126",1982,11,26.5473311975524
"Cop","ssp126",1982,12,13.7499400904265
"Cop","ssp126",1983,1,6.84834738968639
"Cop","ssp126",1983,2,4.23908576856566
"Cop","ssp126",1983,3,8.12906603402286
"Cop","ssp126",1983,4,30.8188096486283
"Cop","ssp126",1983,5,41.6748484916279
"Cop","ssp126",1983,6,45.7167650880488
"Cop","ssp126",1983,7,50.0269123643967
"Cop","ssp126",1983,8,36.9400856252563
"Cop","ssp126",1983,9,36.8631312727026
"Cop","ssp126",1983,10,33.8431063516607
"Cop","ssp126",1983,11,28.1355671529243
"Cop","ssp126",1983,12,14.4036451778437
"Cop","ssp126",1984,1,7.53092631290811
"Cop","ssp126",1984,2,6.59534479256381
"Cop","ssp126",1984,3,21.9718343401721
"Cop","ssp126",1984,4,28.0205831009136
"Cop","ssp126",1984,5,36.2376601108916
"Cop","ssp126",1984,6,47.1348236446277
"Cop","ssp126",1984,7,52.1115414386139
"Cop","ssp126",1984,8,34.0652826351927
"Cop","ssp126",1984,9,30.5662740712842
"Cop","ssp126",1984,10,31.1306034783411
"Cop","ssp126",1984,11,22.9263213899404
"Cop","ssp126",1984,12,10.1358729122
"Cop","ssp126",1985,1,5.37160676657341
"Cop","ssp126",1985,2,5.01764921136834
"Cop","ssp126",1985,3,30.9617259635292
"Cop","ssp126",1985,4,36.8792323435366
"Cop","ssp126",1985,5,51.0894959622382
"Cop","ssp126",1985,6,55.7925686090189
"Cop","ssp126",1985,7,50.8258165016036
"Cop","ssp126",1985,8,35.7875927148316
"Cop","ssp126",1985,9,31.57000775477
"Cop","ssp126",1985,10,31.4025869143783
"Cop","ssp126",1985,11,23.3315473512303
"Cop","ssp126",1985,12,13.3794766189482
"Cop","ssp126",1986,1,6.71249003199816
"Cop","ssp126",1986,2,4.27357426796695
"Cop","ssp126",1986,3,9.14094939400443
"Cop","ssp126",1986,4,28.0073480878143
"Cop","ssp126",1986,5,41.2850706929758
"Cop","ssp126",1986,6,47.7571770431489
"Cop","ssp126",1986,7,46.9578465235157
"Cop","ssp126",1986,8,34.6777271913352
"Cop","ssp126",1986,9,34.3021761824844
"Cop","ssp126",1986,10,33.7498750574996
"Cop","ssp126",1986,11,25.7410336496773
"Cop","ssp126",1986,12,13.2852968196778
"Cop","ssp126",1987,1,7.81970640032625
"Cop","ssp126",1987,2,6.85614903239379
"Cop","ssp126",1987,3,27.2526376088059
"Cop","ssp126",1987,4,30.7423421399053
