"simulation","depthclass","year","annual_avg_temp"
"ssp126","Bottom",1980,6.59465053179509
"ssp126","Bottom",1981,6.64789405280248
"ssp126","Bottom",1982,7.50018213681163
"ssp126","Bottom",1983,7.81730276368711
"ssp126","Bottom",1984,7.05584550411127
"ssp126","Bottom",1985,6.70521367328403
"ssp126","Bottom",1986,6.64105318211496
"ssp126","Bottom",1987,6.37534236683309
"ssp126","Bottom",1988,6.30347218544049
"ssp126","Bottom",1989,6.15427518198685
"ssp126","Bottom",1990,6.56241562823382
"ssp126","Bottom",1991,5.89147554629302
"ssp126","Bottom",1992,6.58919081902319
"ssp126","Bottom",1993,5.78661063158191
"ssp126","Bottom",1994,6.03208627132818
"ssp126","Bottom",1995,6.29529975735498
"ssp126","Bottom",1996,6.49271906949581
"ssp126","Bottom",1997,6.88167138258535
"ssp126","Bottom",1998,7.49776650436941
"ssp126","Bottom",1999,6.92633789366977
"ssp126","Bottom",2000,6.69430457957032
"ssp126","Bottom",2001,6.76169034557826
"ssp126","Bottom",2002,6.50020710529179
"ssp126","Bottom",2003,7.13020910721728
"ssp126","Bottom",2004,6.81912088285948
"ssp126","Bottom",2005,7.07019793179112
"ssp126","Bottom",2006,6.86818056074367
"ssp126","Bottom",2007,6.37057553689921
"ssp126","Bottom",2008,6.47639136964554
"ssp126","Bottom",2009,6.68252794546697
"ssp126","Bottom",2010,7.09845308716379
"ssp126","Bottom",2011,6.74001218392217
"ssp126","Bottom",2012,6.8189222009567
"ssp126","Bottom",2013,6.94387568366585
"ssp126","Bottom",2014,7.45795745945072
"ssp126","Bottom",2015,7.59134559535592
"ssp126","Bottom",2016,7.68262322875122
"ssp126","Bottom",2017,7.84242294447854
"ssp126","Bottom",2018,7.32600430975639
"ssp126","Bottom",2019,7.52299886867816
"ssp126","Bottom",2020,7.1811606396793
"ssp126","Bottom",2021,7.81333846194162
"ssp126","Bottom",2022,6.56790196530119
"ssp126","Bottom",2023,6.09204804018844
"ssp126","Bottom",2024,6.95534924495293
"ssp126","Bottom",2025,7.42008974269946
"ssp126","Bottom",2026,7.71166275867236
"ssp126","Bottom",2027,7.12981739133119
"ssp126","Bottom",2028,7.2702944682922
"ssp126","Bottom",2029,8.23108126984696
"ssp126","Bottom",2030,7.46187834019332
"ssp126","Bottom",2031,7.79752822330078
"ssp126","Bottom",2032,7.37989869296565
"ssp126","Bottom",2033,7.08234719114825
"ssp126","Bottom",2034,7.68645376564048
"ssp126","Bottom",2035,7.32165142087279
"ssp126","Bottom",2036,7.19787563338154
"ssp126","Bottom",2037,7.41074086314593
"ssp126","Bottom",2038,7.90961945440214
"ssp126","Bottom",2039,7.75513167652975
"ssp126","Bottom",2040,7.34663179173352
"ssp126","Bottom",2041,7.82623969768715
"ssp126","Bottom",2042,8.38539149380673
"ssp126","Bottom",2043,7.55071005009648
"ssp126","Bottom",2044,7.265544612935
"ssp126","Bottom",2045,7.94487190750836
"ssp126","Bottom",2046,7.97935768479578
"ssp126","Bottom",2047,7.87659623250141
"ssp126","Bottom",2048,7.7977447422325
"ssp126","Bottom",2049,7.79295211396352
"ssp126","Bottom",2050,8.00907737514999
"ssp126","Bottom",2051,7.99619187116077
"ssp126","Bottom",2052,8.28760588262832
"ssp126","Bottom",2053,7.97647494513805
"ssp126","Bottom",2054,8.49287588754861
"ssp126","Bottom",2055,8.26042126547102
"ssp126","Bottom",2056,8.50959180292055
"ssp126","Bottom",2057,8.01297002554485
"ssp126","Bottom",2058,8.29811386628542
"ssp126","Bottom",2059,8.58423728957138
"ssp126","Bottom",2060,7.5722732034519
"ssp126","Bottom",2061,8.28554792617518
"ssp126","Bottom",2062,8.23098322937055
"ssp126","Bottom",2063,7.64307656972913
"ssp126","Bottom",2064,7.92630882588415
"ssp126","Bottom",2065,8.13509028769621
"ssp126","Bottom",2066,8.88305603614848
"ssp126","Bottom",2067,8.70824694813908
"ssp126","Bottom",2068,8.36233404063051
"ssp126","Bottom",2069,7.73457431975656
"ssp126","Bottom",2070,7.40251935569229
"ssp126","Bottom",2071,7.09273667180079
"ssp126","Bottom",2072,8.35268604658757
"ssp126","Bottom",2073,8.52963679969431
"ssp126","Bottom",2074,8.39873930895284
"ssp126","Bottom",2075,7.71551062345715
"ssp126","Bottom",2076,7.80559188881031
"ssp126","Bottom",2077,8.4716657612406
"ssp126","Bottom",2078,8.51847176063342
"ssp126","Bottom",2079,8.41316862245906
"ssp126","Bottom",2080,8.46762247791209
"ssp126","Bottom",2081,9.03179952990508
"ssp126","Bottom",2082,9.17414649959251
"ssp126","Bottom",2083,8.58836549670977
"ssp126","Bottom",2084,7.8165735924453
"ssp126","Bottom",2085,7.61918363275078
"ssp126","Bottom",2086,8.21966379073207
"ssp126","Bottom",2087,8.22216155890353
"ssp126","Bottom",2088,8.26875124879083
"ssp126","Bottom",2089,8.01897187172892
"ssp126","Bottom",2090,8.20720340937235
"ssp126","Bottom",2091,8.14220165357259
"ssp126","Bottom",2092,7.28051402412382
"ssp126","Bottom",2093,8.65488530888669
"ssp126","Bottom",2094,8.42752765823101
"ssp126","Bottom",2095,8.3590815332865
"ssp126","Bottom",2096,8.43255444447647
"ssp126","Bottom",2097,8.95095912877822
"ssp126","Bottom",2098,8.85508874267743
"ssp126","Bottom",2099,8.97257005924306
"ssp126","Surface",1980,8.11733378264742
"ssp126","Surface",1981,9.36503664344068
"ssp126","Surface",1982,9.44553581252151
"ssp126","Surface",1983,9.45080507618427
"ssp126","Surface",1984,9.25273108214146
"ssp126","Surface",1985,8.46788363156426
"ssp126","Surface",1986,9.56044523372147
"ssp126","Surface",1987,8.8079361810144
"ssp126","Surface",1988,9.28260968606626
"ssp126","Surface",1989,8.4460658125505
"ssp126","Surface",1990,9.15072984925204
"ssp126","Surface",1991,8.56283824267375
"ssp126","Surface",1992,9.10353075202176
"ssp126","Surface",1993,9.11813292214344
"ssp126","Surface",1994,9.18248534768064
"ssp126","Surface",1995,9.24146778203217
"ssp126","Surface",1996,9.30600802526222
"ssp126","Surface",1997,10.0009429827476
"ssp126","Surface",1998,9.94037164164032
"ssp126","Surface",1999,9.20329575237461
"ssp126","Surface",2000,9.25512930046739
"ssp126","Surface",2001,9.25055475872321
"ssp126","Surface",2002,9.38487259659133
"ssp126","Surface",2003,10.1913249032822
"ssp126","Surface",2004,10.0668775452183
"ssp126","Surface",2005,10.3142985351705
"ssp126","Surface",2006,9.4033844550146
"ssp126","Surface",2007,9.12831336892569
"ssp126","Surface",2008,8.80681589595176
"ssp126","Surface",2009,9.22666458985697
"ssp126","Surface",2010,9.72528938172089
"ssp126","Surface",2011,9.12449867605087
"ssp126","Surface",2012,8.94350794651889
"ssp126","Surface",2013,9.71001147520123
"ssp126","Surface",2014,10.1969939193451
"ssp126","Surface",2015,10.6030767446715
"ssp126","Surface",2016,10.7897175450261
"ssp126","Surface",2017,10.1529583034614
"ssp126","Surface",2018,10.0816012880299
"ssp126","Surface",2019,10.5531712823664
"ssp126","Surface",2020,9.79676295888125
"ssp126","Surface",2021,11.0537586534364
"ssp126","Surface",2022,9.93947229838208
"ssp126","Surface",2023,8.87407311212556
"ssp126","Surface",2024,9.29012017981908
"ssp126","Surface",2025,10.3046542118962
"ssp126","Surface",2026,10.3758145221509
"ssp126","Surface",2027,9.72920125993801
"ssp126","Surface",2028,9.94509173881773
"ssp126","Surface",2029,10.9540554198805
"ssp126","Surface",2030,10.631974303222
"ssp126","Surface",2031,11.1331631426555
"ssp126","Surface",2032,9.74487330473329
"ssp126","Surface",2033,10.4125970540395
"ssp126","Surface",2034,11.2488546317715
"ssp126","Surface",2035,9.89650313665438
"ssp126","Surface",2036,10.2616305359736
"ssp126","Surface",2037,10.507532513224
"ssp126","Surface",2038,10.6075520651046
"ssp126","Surface",2039,11.3405170728527
"ssp126","Surface",2040,10.0843540347795
"ssp126","Surface",2041,10.9533643121974
"ssp126","Surface",2042,11.2190210642846
"ssp126","Surface",2043,10.7937407420508
"ssp126","Surface",2044,9.70064097673608
"ssp126","Surface",2045,10.6934215261119
"ssp126","Surface",2046,10.9717644068739
"ssp126","Surface",2047,11.0361617328603
"ssp126","Surface",2048,10.3636384995247
"ssp126","Surface",2049,11.0213585383428
"ssp126","Surface",2050,10.44828492469
"ssp126","Surface",2051,10.2728798744629
"ssp126","Surface",2052,10.8384825691948
"ssp126","Surface",2053,9.94268642349938
"ssp126","Surface",2054,10.8996344838472
"ssp126","Surface",2055,11.1125983272457
"ssp126","Surface",2056,11.2039564675455
"ssp126","Surface",2057,10.2834168411339
"ssp126","Surface",2058,11.2391261844175
"ssp126","Surface",2059,10.6277463617031
"ssp126","Surface",2060,10.7291864777497
"ssp126","Surface",2061,10.6777300700687
"ssp126","Surface",2062,10.5214534707204
"ssp126","Surface",2063,10.1671397670746
"ssp126","Surface",2064,10.4913268984574
"ssp126","Surface",2065,10.37226736149
"ssp126","Surface",2066,11.1771890770305
"ssp126","Surface",2067,11.2957182127322
"ssp126","Surface",2068,10.2277961648046
"ssp126","Surface",2069,10.0742118526324
"ssp126","Surface",2070,10.2154919126779
"ssp126","Surface",2071,9.54062897233401
"ssp126","Surface",2072,10.9716585838866
"ssp126","Surface",2073,10.8031703946173
"ssp126","Surface",2074,10.5710249835491
"ssp126","Surface",2075,10.6621355580559
"ssp126","Surface",2076,9.82979892270754
"ssp126","Surface",2077,10.2317364866181
"ssp126","Surface",2078,11.700307028614
"ssp126","Surface",2079,11.0513613209918
"ssp126","Surface",2080,11.2111368875018
"ssp126","Surface",2081,11.0983620496477
"ssp126","Surface",2082,11.6457776408872
"ssp126","Surface",2083,11.3736406420623
"ssp126","Surface",2084,10.337919856172
"ssp126","Surface",2085,9.65135878086071
"ssp126","Surface",2086,10.5849803049562
