"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1980-01-23,1980,1,7.09669730349602
"ssp126","Bottom",1980-02-15,1980,2,6.58934703718729
"ssp126","Bottom",1980-03-16,1980,3,6.41074527811938
"ssp126","Bottom",1980-04-15,1980,4,6.29806119960363
"ssp126","Bottom",1980-05-16,1980,5,6.17147736349002
"ssp126","Bottom",1980-06-15,1980,6,6.27057916151147
"ssp126","Bottom",1980-07-16,1980,7,6.30903857831656
"ssp126","Bottom",1980-08-16,1980,8,6.41628478651466
"ssp126","Bottom",1980-09-15,1980,9,6.639737829819
"ssp126","Bottom",1980-10-16,1980,10,7.26432607585668
"ssp126","Bottom",1980-11-15,1980,11,7.21891341577233
"ssp126","Bottom",1980-12-16,1980,12,6.4505983518541
"ssp126","Bottom",1981-01-16,1981,1,6.13153698644318
"ssp126","Bottom",1981-02-14,1981,2,6.19169879926013
"ssp126","Bottom",1981-03-16,1981,3,5.8153694423463
"ssp126","Bottom",1981-04-15,1981,4,5.87200989547265
"ssp126","Bottom",1981-05-16,1981,5,6.16403612027489
"ssp126","Bottom",1981-06-15,1981,6,6.41384588940603
"ssp126","Bottom",1981-07-16,1981,7,6.52649860879482
"ssp126","Bottom",1981-08-16,1981,8,6.76177629821023
"ssp126","Bottom",1981-09-15,1981,9,7.44421205929509
"ssp126","Bottom",1981-10-16,1981,10,7.54989928274645
"ssp126","Bottom",1981-11-15,1981,11,7.63664832545681
"ssp126","Bottom",1981-12-16,1981,12,7.26719692592314
"ssp126","Bottom",1982-01-16,1982,1,7.12486493860309
"ssp126","Bottom",1982-02-14,1982,2,6.62533442979171
"ssp126","Bottom",1982-03-16,1982,3,6.15365358195581
"ssp126","Bottom",1982-04-15,1982,4,6.16354038595061
"ssp126","Bottom",1982-05-16,1982,5,6.44014977717075
"ssp126","Bottom",1982-06-15,1982,6,6.7163930717501
"ssp126","Bottom",1982-07-16,1982,7,7.00293799749538
"ssp126","Bottom",1982-08-16,1982,8,7.35397234505804
"ssp126","Bottom",1982-09-15,1982,9,8.06517827144418
"ssp126","Bottom",1982-10-16,1982,10,8.93686268783557
"ssp126","Bottom",1982-11-15,1982,11,9.59952708116291
"ssp126","Bottom",1982-12-16,1982,12,9.81977107352144
"ssp126","Bottom",1983-01-16,1983,1,9.1456366720327
"ssp126","Bottom",1983-02-14,1983,2,8.19851059122597
"ssp126","Bottom",1983-03-16,1983,3,7.51939937107439
"ssp126","Bottom",1983-04-15,1983,4,7.27686681869772
"ssp126","Bottom",1983-05-16,1983,5,7.10534502792321
"ssp126","Bottom",1983-06-15,1983,6,7.18675296745884
"ssp126","Bottom",1983-07-16,1983,7,7.46668734922932
"ssp126","Bottom",1983-08-16,1983,8,7.59109409142978
"ssp126","Bottom",1983-09-15,1983,9,7.80213188776908
"ssp126","Bottom",1983-10-16,1983,10,8.47300427660829
"ssp126","Bottom",1983-11-15,1983,11,8.18092658152725
"ssp126","Bottom",1983-12-16,1983,12,7.86127752926876
"ssp126","Bottom",1984-01-16,1984,1,7.13850621811426
"ssp126","Bottom",1984-02-15,1984,2,7.07639982682921
"ssp126","Bottom",1984-03-16,1984,3,6.69938310613145
"ssp126","Bottom",1984-04-15,1984,4,6.46225489302666
"ssp126","Bottom",1984-05-16,1984,5,6.53576973469491
"ssp126","Bottom",1984-06-15,1984,6,6.6489199323997
"ssp126","Bottom",1984-07-16,1984,7,6.90102632153536
"ssp126","Bottom",1984-08-16,1984,8,7.06114003135858
"ssp126","Bottom",1984-09-15,1984,9,7.47560842988246
"ssp126","Bottom",1984-10-16,1984,10,7.64928669515983
"ssp126","Bottom",1984-11-15,1984,11,7.90608927231424
"ssp126","Bottom",1984-12-16,1984,12,7.11576158788859
"ssp126","Bottom",1985-01-16,1985,1,6.88926454615402
"ssp126","Bottom",1985-02-14,1985,2,6.95556569277647
"ssp126","Bottom",1985-03-16,1985,3,6.48033855550239
"ssp126","Bottom",1985-04-15,1985,4,6.28391326322
"ssp126","Bottom",1985-05-16,1985,5,6.28437040163622
"ssp126","Bottom",1985-06-15,1985,6,6.34686035631461
"ssp126","Bottom",1985-07-16,1985,7,6.33205605361861
"ssp126","Bottom",1985-08-16,1985,8,6.36417943726002
"ssp126","Bottom",1985-09-15,1985,9,6.5936078229834
"ssp126","Bottom",1985-10-16,1985,10,7.1074342301744
"ssp126","Bottom",1985-11-15,1985,11,7.60032811591115
"ssp126","Bottom",1985-12-16,1985,12,7.22464560385704
"ssp126","Bottom",1986-01-16,1986,1,6.64954080307389
"ssp126","Bottom",1986-02-14,1986,2,6.57954354181562
"ssp126","Bottom",1986-03-16,1986,3,5.6411754603742
"ssp126","Bottom",1986-04-15,1986,4,5.91741886475493
"ssp126","Bottom",1986-05-16,1986,5,6.19766487626408
"ssp126","Bottom",1986-06-15,1986,6,6.36044518641149
"ssp126","Bottom",1986-07-16,1986,7,6.44755601156725
"ssp126","Bottom",1986-08-16,1986,8,6.77670467851973
"ssp126","Bottom",1986-09-15,1986,9,7.07243329909782
"ssp126","Bottom",1986-10-16,1986,10,7.21467500970471
"ssp126","Bottom",1986-11-15,1986,11,7.55637442448874
"ssp126","Bottom",1986-12-16,1986,12,7.27910602930708
"ssp126","Bottom",1987-01-16,1987,1,6.41364130782512
"ssp126","Bottom",1987-02-14,1987,2,6.38745525391537
"ssp126","Bottom",1987-03-16,1987,3,5.95094186853867
"ssp126","Bottom",1987-04-15,1987,4,5.84528346324037
"ssp126","Bottom",1987-05-16,1987,5,6.04905443608706
"ssp126","Bottom",1987-06-15,1987,6,6.23515686540935
"ssp126","Bottom",1987-07-16,1987,7,6.32639071113338
"ssp126","Bottom",1987-08-16,1987,8,6.39058022973423
"ssp126","Bottom",1987-09-15,1987,9,6.56160074319561
"ssp126","Bottom",1987-10-16,1987,10,6.80663823305623
"ssp126","Bottom",1987-11-15,1987,11,7.04533239111262
"ssp126","Bottom",1987-12-16,1987,12,6.49203289874906
"ssp126","Bottom",1988-01-16,1988,1,5.84952450713834
"ssp126","Bottom",1988-02-15,1988,2,5.81343573802026
"ssp126","Bottom",1988-03-16,1988,3,5.83036518446805
"ssp126","Bottom",1988-04-15,1988,4,5.89572874480711
"ssp126","Bottom",1988-05-16,1988,5,6.03304432845656
"ssp126","Bottom",1988-06-15,1988,6,6.17391287799788
"ssp126","Bottom",1988-07-16,1988,7,6.25163680538218
"ssp126","Bottom",1988-08-16,1988,8,6.58231075060685
"ssp126","Bottom",1988-09-15,1988,9,6.83778552078107
"ssp126","Bottom",1988-10-16,1988,10,7.181705601254
"ssp126","Bottom",1988-11-15,1988,11,7.22582029955927
"ssp126","Bottom",1988-12-16,1988,12,5.9663958668143
"ssp126","Bottom",1989-01-16,1989,1,5.33879584957283
"ssp126","Bottom",1989-02-14,1989,2,5.41114821288058
"ssp126","Bottom",1989-03-16,1989,3,5.3969627566867
"ssp126","Bottom",1989-04-15,1989,4,5.42351169311025
"ssp126","Bottom",1989-05-16,1989,5,5.74018302833608
"ssp126","Bottom",1989-06-15,1989,6,6.00993612042227
"ssp126","Bottom",1989-07-16,1989,7,6.1952438676612
"ssp126","Bottom",1989-08-16,1989,8,6.41388945028383
"ssp126","Bottom",1989-09-15,1989,9,6.99090914593431
"ssp126","Bottom",1989-10-16,1989,10,7.36673714676123
"ssp126","Bottom",1989-11-15,1989,11,7.15947608462274
"ssp126","Bottom",1989-12-16,1989,12,6.40450882757017
"ssp126","Bottom",1990-01-16,1990,1,4.94249547439609
"ssp126","Bottom",1990-02-14,1990,2,5.26579279819378
"ssp126","Bottom",1990-03-16,1990,3,5.43003768948699
"ssp126","Bottom",1990-04-15,1990,4,5.87688510574406
"ssp126","Bottom",1990-05-16,1990,5,6.38773146319648
"ssp126","Bottom",1990-06-15,1990,6,6.56964559270184
