"","year","race_group","agg_weighted_surf_temp","agg_weighted_bot_temp","total_catch_year_kg"
"1",1990,"Arrowtooth flounder adult",14.1234926920225,6.12837792299043,13958.992
"2",1993,"Arrowtooth flounder adult",14.8086005003117,5.69684715307647,24935.654
"3",1996,"Arrowtooth flounder adult",13.0301955606924,5.93101912655225,13950.554
"4",1999,"Arrowtooth flounder adult",11.5054077197862,6.09199312209897,14048.472
"5",2003,"Arrowtooth flounder adult",13.7009551968372,5.91801214439776,13378.185
"6",2005,"Arrowtooth flounder adult",14.7586689463182,6.27813651649901,12460.384
"7",2007,"Arrowtooth flounder adult",13.4152552666233,5.93873639311903,9145.281
"8",2009,"Arrowtooth flounder adult",12.6064779350888,5.62116768276658,12956.567
"9",2011,"Arrowtooth flounder adult",13.1849072620088,6.09911271148072,12713.452
"10",2013,"Arrowtooth flounder adult",14.0115622348779,5.72983826724554,8913.346
"11",2015,"Arrowtooth flounder adult",14.2837450924172,6.22150151305101,22589.787
"12",2017,"Arrowtooth flounder adult",14.169341989663,6.3102181649799,6940.894
"13",2019,"Arrowtooth flounder adult",14.1356698693117,6.49211189440423,7157.105
"14",2021,"Arrowtooth flounder adult",13.3484764649113,5.97012647469508,5713.554
"15",2023,"Arrowtooth flounder adult",13.6402043485476,6.22487001949159,10026.888
"16",2003,"Atka mackerel",14.5172799602188,6.6098458478369,16.088
"17",2009,"Atka mackerel",14.6,5.6,1.2
"18",2013,"Atka mackerel",14.9011259449895,5.40016084928422,12.434
"19",2015,"Atka mackerel",14.3371896460644,5.55773903856313,3.786
"20",2019,"Atka mackerel",13.8,5.5,0.86
"21",1990,"Big skate",13.6663523092563,7.10985955802218,436.764
"22",1993,"Big skate",13.8170425313162,9.19038198451499,953.18
"23",1996,"Big skate",11.8924703267559,6.58384243997647,214.166
"24",1999,"Big skate",11.3734356272325,7.18200600472308,337.068
"25",2003,"Big skate",13.5335739866977,7.33658973338639,351.82
"26",2005,"Big skate",15.6839808726838,6.61449064981641,117.11
"27",2007,"Big skate",13.1965046728972,7.32059813084112,107
"28",2009,"Big skate",12.5245860319105,5.67480562624769,328.105
"29",2011,"Big skate",12.1167347010416,8.13698378709085,797.636
"30",2013,"Big skate",14.5612507187067,7.20311766496432,295.67
"31",2015,"Big skate",12.2446481344393,9.51274328648787,343.114
"32",2017,"Big skate",14.1605764529899,7.30368711007333,137.045
"33",2019,"Big skate",14.200989700541,7.0127899762217,298.171
"34",2021,"Big skate",12.8537517731181,8.26672617267034,207.262
"35",2023,"Big skate",12.5482691775132,6.41761284962614,72.22
"36",1990,"Deep-water flatfish",14.3189883101419,5.43799948271476,3297.987
"37",1993,"Deep-water flatfish",14.7532732158447,4.95658048596627,7877.131
"38",1996,"Deep-water flatfish",13.0177451730019,5.33273073280774,2763.467
"39",1999,"Deep-water flatfish",11.5852557186488,5.38814415924967,2519.214
"40",2003,"Deep-water flatfish",14.0121969858519,5.4617999092254,2410.366
"41",2005,"Deep-water flatfish",14.5839439573445,5.2241131758892,2571.113
"42",2007,"Deep-water flatfish",13.4508597454167,5.00175303800281,1386.108
"43",2009,"Deep-water flatfish",13.2092842617595,5.2568021121361,2129.787
"44",2011,"Deep-water flatfish",13.8568398667709,5.16831735012163,2307.004
"45",2013,"Deep-water flatfish",13.7761672709468,5.33296241028092,2058.648
"46",2015,"Deep-water flatfish",14.1521957713104,5.3634471551038,1748.816
"47",2017,"Deep-water flatfish",13.8019413635578,5.59830783727159,1481.536
"48",2019,"Deep-water flatfish",14.4552756303583,5.7841111940321,1329.244
"49",2021,"Deep-water flatfish",13.3738617729126,5.68719802532732,1164.75
"50",2023,"Deep-water flatfish",13.7239862791503,5.59196779594793,1031.423
"51",1990,"Demersal shelf rockfish",14.329321964752,6.05252121409922,122.56
"52",1993,"Demersal shelf rockfish",14.1088422309496,5.30746910649806,139.026
"53",1996,"Demersal shelf rockfish",13.7948478724634,5.73267251584369,320.159
"54",1999,"Demersal shelf rockfish",10.971639904933,6.19171178482407,258.765
"55",2003,"Demersal shelf rockfish",13.7802912365579,6.1747658850861,167.012
"56",2005,"Demersal shelf rockfish",14.4112258439081,6.19418664123193,289.368
"57",2007,"Demersal shelf rockfish",13.9908328753126,6.05345605709906,258.358
"58",2009,"Demersal shelf rockfish",12.368274584643,5.6078468792097,178.16
"59",2011,"Demersal shelf rockfish",13.0767303529388,6.56162825229014,1582.654
"60",2013,"Demersal shelf rockfish",13.2673642812971,6.40974089592062,287.838
"61",2015,"Demersal shelf rockfish",14.4207421227308,6.63693021374221,751.466
"62",2017,"Demersal shelf rockfish",13.9842621816168,5.96854097452935,144.48
"63",2019,"Demersal shelf rockfish",13.9366705920653,6.15977243405531,248.807
"64",2021,"Demersal shelf rockfish",14.4322992228702,6.48477856654618,7352.954
"65",2023,"Demersal shelf rockfish",12.947139508477,5.99127290920527,971.389
"66",2021,"Euphausiids",11.9,6.8,0.001
"67",2023,"Euphausiids",13.45,6.35,0.002
"68",1990,"Flathead sole adult",14.0040037675005,5.98731129239103,1315.461
"69",1993,"Flathead sole adult",14.1775720719235,5.86138361839718,2485.642
"70",1996,"Flathead sole adult",13.0712860514963,6.38859755270369,737.14
"71",1999,"Flathead sole adult",11.6625896468584,6.42341160918581,910.796
"72",2003,"Flathead sole adult",14.0849099261828,6.54085142636947,664.344
"73",2005,"Flathead sole adult",15.6758196721311,6.32893662267127,400.648
"74",2007,"Flathead sole adult",13.1581000990447,6.30300408958753,500.784
"75",2009,"Flathead sole adult",13.2034727015401,6.10577412450412,573.732
"76",2011,"Flathead sole adult",14.1781935529202,6.12862290655599,797.012
"77",2013,"Flathead sole adult",14.4434782179147,5.9267189298399,404.874
"78",2015,"Flathead sole adult",14.2796322925792,7.20933868861672,726.012
"79",2017,"Flathead sole adult",13.8146103845896,6.53650585827762,387.998
"80",2019,"Flathead sole adult",14.1683561700887,6.82920102591868,576.264
"81",2021,"Flathead sole adult",12.6353843897596,5.97375530218706,797.784
"82",2023,"Flathead sole adult",12.9287958608409,5.65062970337997,541.366
"83",1990,"Gelatinous carnivores",14.0266938064669,5.95728105525642,2728.588
"84",1993,"Gelatinous carnivores",14.6322667789096,8.79641105544089,812.523
"85",1996,"Gelatinous carnivores",13.9983189393204,6.50818722261094,391.598
"86",1999,"Gelatinous carnivores",11.5955417080062,6.23720939003092,344.706
"87",2003,"Gelatinous carnivores",13.6002232355064,6.04654847625922,284.005
"88",2005,"Gelatinous carnivores",13.8378156733082,6.00723908550661,637.249
"89",2007,"Gelatinous carnivores",13.8671130701705,6.77997267299305,213.708
"90",2009,"Gelatinous carnivores",12.9255080949926,5.60421694012591,845.708
"91",2011,"Gelatinous carnivores",13.7928891726555,6.87136960266081,134.696
"92",2013,"Gelatinous carnivores",14.1310957752196,5.48397160006462,241.409
"93",2015,"Gelatinous carnivores",14.1327243999137,5.96012930676974,482.264
"94",2017,"Gelatinous carnivores",13.973805258829,6.37894197728339,198.181
