"","race_group","weighted_avg_surf","weighted_minA_surf","weighted_maxA_surf","weighted_minPref_surf","weighted_maxPref_surf","weighted_avg_bot","weighted_minA_bot","weighted_maxA_bot","weighted_minPref_bot","weighted_maxPref_bot","total_stations","total_catch"
"1","Arrowtooth flounder adult",13.7038365404763,8.5,17.8,12.2,15.05,6.02846705784658,3.8,11.5,5.1,6.75,1185,188889.115
"2","Atka mackerel",14.6212523277467,12,15.9,13.33576,15.5,5.99326117318436,4.8,7.8,4.90104,7.1,22,34.368
"3","Big skate",13.1866386170839,6.6,16.9,11.2,15.1,7.82426560276598,4.4,13.2,5.9,11.1,163,4996.331
"4","Deep-water flatfish",13.8739164228562,8.5,17.8,12.2666666666667,15.2,5.31059666694853,3.5,11.5,4.35,6.3,1003,36076.594
"5","Demersal shelf rockfish",13.6251255323192,9.6,17.8,12.8333333333333,13.92,6.46364519378136,4.25,11.1883999999976,5.83333333333333,6.7,264,13072.996
"6","Euphausiids",12.9333333333333,13.6,13.6,13.6,13.6,6.5,6.8,6.8,6.8,6.8,3,0.003
"7","Flathead sole adult",13.7276555919134,8.6,17.8,12.3,15.05,6.23165022653545,4.4,11.9285,5.46666666666667,7.25,579,11819.857
"8","Gelatinous carnivores",13.8320085757052,8.5,17.3,12.3,15.3,6.25444359843627,3.7,11.7,5,7.36428571428571,1005,11819.476
"9","Infauna",13.3488189970902,8.6,17.0092,11.65819,14.887285,6.47143599350464,4.4,12,5.5,7.4,458,136.273
"10","King crab",13.2316445580949,11.6,16.2,11.6,15.74321,4.650998881253,3.8,5.3771,4.11542,5.3,10,6.257
"11","Large sculpins",14.0574937070029,10.7,17,12.5,15.6,5.65918869215636,4.6,7.5624,4.87232,7.36666666666667,43,218.232
"12","Lingcod",13.7642785679932,8.7,17.8,12,15.2,6.34772843941356,4.4,11.85,5.5,7.2,547,10717.612
"13","Longnose skate",13.9337267459411,8.6,17.8,12,15.5,5.7623120847693,3.8,11.5,4.8,6.6,480,5482.645
"14","MISC_NA",13.9218632261351,10.8,15.8408,13,14.7,7.70591636711391,4.4,13.2,5,11.85,107,208.088
"15","MISC_SHELLS",14.7559595972938,11.5,16.3915999999999,14.5,15,5.57686464945335,4.3,9.3915999999999,4.9,5.8,184,1665.532
"16","Miscellaneous deep-sea fish",13.4187058830479,11.92,15.6248,13.225,14.03632,4.34068131707932,3.72,7.2,3.75,4.66666666666667,83,74.232
