Name,Transient killer whales_PWS,Resident killer whales_PWS,Humpback whale ( Mean N*Weight 30.408 t) Cheeseman et al. 2024,Humpback whale ( Mean N*Weight 30.408 t) PWS only,Other baleen whales- EN Gray Whales mt (Numbers*16.177t),Steller sea lion ADult N*0.56tonnes,Harbor seal (N*upper weight 0.12927 tonnes),Sea otter,Piscivorous surface birds: Chowiet biomass (t),Piscivorous diving birds: Chowiet biomass (t),Piscivorous diving birds,Planktivorous diving birds: Chowiet bioamss (t),Planktivorous diving birds,Salmon returning,Salmon outgoing_race,Salmon outgoing_race,Pacific hake,Mature herring Sitka biomass (t),Mature herring Craig biomass (t),Pacific herring adult ,Pacific sandlance,Pacific capelin,Shelf forage fish,Slope forage fish,Pacific dogfish,Salmon shark,Big skate,Longnose skate,Other skates,Pacific halibut adult,Arrowtooth flounder adult,Rex sole adult,Flathead sole adult,Shallow-water flatfish,Deep-water flatfish,Pacific ocean perch adult,Slope rockfish,Demersal shelf rockfish,Pelagic shelf rockfish,Thornyheads adult,Sablefish adult,Pacific cod adult, Walleye pollock adult,Large sculpins,Lingcod,Atka mackerel,Shelf demersal fish,Slope demersal fish,Miscellaneous deep-sea fish,Squid,Octopus,Tanner crab,King crab,Pandalid shrimp,Motile epifauna,Sessile epifauna,Infauna,Gelatinous carnivores,Other gelatinous zooplankton,Mysids,Euphausiids_race,Euphausiids_roms,Large copepods_roms,Small copepods_roms,Large microzooplankton_roms,Small microzooplankton_roms,Large phytoplankton_roms,Small phytoplankton_roms,Salmon_shark_combined_catch,Pacific halibut_combined_catch,Arrowtooth flounder_combined_catch,Rex sole_combined_catch,Flathead sole_combined_catch,Shallow water flatfish_combined_catch,Deep water flatfish__combined_catch,Pacific ocean perch_combine_catch,Slope rockfish_45_combined_catch,Demersal shelf rockfish_combine_catch,Pelagic shelf rockfish_combined_catch,Sablefish_49_combined_catch,Pacific cod_51_combined_catch,Walleye pollock_53_combined_catch,Large sculpins_55_combined_catch,Atka mackerel_57_combined_catch,Squid_61_combined_catch,Octopus_62_combined
Pool Code,1,2,5,5,6,11,12,13,14,16,16,17,17,18,18,19,20,21,21,21,23,24,25,26,27,28,30,31,32,33,35,37,39,41,42,43,45,46,47,48,49,51,53,55,56,57,58,59,60,61,62,63,64,65,67,69,70,71,72,73,75,75,76,77,78,79,80,81,28,33,35,37,39,42,42,43,45,46,47,49,51,53,55,57,61,62
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1955,,,,,,,,,,,,,,61573,96180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,63701,132905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,51777,128037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,55073,112407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,36977,112173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,58530,111835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,56501,89571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,86648,147821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
