"varname","simulation","year","mean_biomass"
"Cop","ssp126",1980,52.7722961410992
"Cop","ssp126",1981,39.0577955460451
"Cop","ssp126",1982,36.4940426877709
"Cop","ssp126",1983,40.0307344489931
"Cop","ssp126",1984,42.8199918940848
"Cop","ssp126",1985,44.9090157743903
"Cop","ssp126",1986,39.9182497829709
"Cop","ssp126",1987,41.6916090251576
"Cop","ssp126",1988,43.5033295014883
"Cop","ssp126",1989,39.7585881332163
"Cop","ssp126",1990,44.8642749892744
"Cop","ssp126",1991,50.0847482421765
"Cop","ssp126",1992,47.3865212782828
"Cop","ssp126",1993,46.9603675035562
"Cop","ssp126",1994,47.9182130600839
"Cop","ssp126",1995,45.9510768424327
"Cop","ssp126",1996,43.6117191974071
"Cop","ssp126",1997,39.6089623276029
"Cop","ssp126",1998,38.5930509636892
"Cop","ssp126",1999,40.8394883756212
"Cop","ssp126",2000,42.2571901481454
"Cop","ssp126",2001,43.0442247998963
"Cop","ssp126",2002,43.0871877646574
"Cop","ssp126",2003,42.0040091463731
"Cop","ssp126",2004,37.5804824352936
"Cop","ssp126",2005,40.1137030158497
"Cop","ssp126",2006,43.0466950216741
"Cop","ssp126",2007,42.0995941214491
"Cop","ssp126",2008,44.6147647573538
"Cop","ssp126",2009,43.4242360112546
"Cop","ssp126",2010,42.9586823055361
"Cop","ssp126",2011,41.0966530398653
"Cop","ssp126",2012,45.5915062129809
"Cop","ssp126",2013,41.1985095781853
"Cop","ssp126",2014,41.4287176789736
"Cop","ssp126",2015,36.7188704627808
"Cop","ssp126",2016,36.9307717176376
"Cop","ssp126",2017,40.8680410809521
"Cop","ssp126",2018,40.0073041042208
"Cop","ssp126",2019,40.2033608651171
"Cop","ssp126",2020,43.0466555922055
"Cop","ssp126",2021,38.2160902744613
"Cop","ssp126",2022,41.168762906549
"Cop","ssp126",2023,49.8960664096931
"Cop","ssp126",2024,52.330233283741
"Cop","ssp126",2025,45.2657350968456
"Cop","ssp126",2026,38.1034243943327
"Cop","ssp126",2027,45.3962935821511
"Cop","ssp126",2028,44.9207914676781
"Cop","ssp126",2029,40.3216544824301
"Cop","ssp126",2030,40.7069787275904
"Cop","ssp126",2031,40.2313143472085
"Cop","ssp126",2032,45.6881212846375
"Cop","ssp126",2033,42.9216224069214
"Cop","ssp126",2034,42.8799290151035
"Cop","ssp126",2035,43.9317162071902
"Cop","ssp126",2036,40.8619055779572
"Cop","ssp126",2037,39.5219514864165
"Cop","ssp126",2038,41.8087815769811
"Cop","ssp126",2039,38.5707754033779
"Cop","ssp126",2040,44.2312274184128
"Cop","ssp126",2041,38.5351804195098
"Cop","ssp126",2042,39.3881792929184
"Cop","ssp126",2043,39.8203450707485
"Cop","ssp126",2044,49.0454804952377
"Cop","ssp126",2045,41.5656202046618
"Cop","ssp126",2046,37.771233041095
"Cop","ssp126",2047,41.0771824113519
"Cop","ssp126",2048,43.0850710679848
"Cop","ssp126",2049,38.2073093750597
"Cop","ssp126",2050,39.670984917253
"Cop","ssp126",2051,42.238593712197
"Cop","ssp126",2052,36.9376437110986
"Cop","ssp126",2053,42.0099747705668
"Cop","ssp126",2054,47.3674286585792
"Cop","ssp126",2055,41.103209254194
"Cop","ssp126",2056,39.4194516786884
"Cop","ssp126",2057,45.2718068199455
"Cop","ssp126",2058,42.7320555527549
"Cop","ssp126",2059,41.6118946874616
"Cop","ssp126",2060,43.9727923611646
"Cop","ssp126",2061,37.4568923344871
"Cop","ssp126",2062,38.6203044270157
"Cop","ssp126",2063,44.1136377899032
"Cop","ssp126",2064,42.9245550306125
"Cop","ssp126",2065,45.1864233537141
"Cop","ssp126",2066,38.7466111523804
"Cop","ssp126",2067,39.3008097920112
"Cop","ssp126",2068,40.4758468538104
"Cop","ssp126",2069,44.5674079685859
"Cop","ssp126",2070,40.4546602275108
"Cop","ssp126",2071,47.9491331336785
"Cop","ssp126",2072,41.879402360964
"Cop","ssp126",2073,45.4306440261362
"Cop","ssp126",2074,41.485282648873
"Cop","ssp126",2075,38.7422886792718
"Cop","ssp126",2076,47.3361026577737
"Cop","ssp126",2077,43.3963221948258
"Cop","ssp126",2078,40.3555662143919
"Cop","ssp126",2079,37.2089877140293
"Cop","ssp126",2080,39.3348491959629
"Cop","ssp126",2081,41.8481062043061
"Cop","ssp126",2082,34.9044024510185
"Cop","ssp126",2083,35.5759171561556
"Cop","ssp126",2084,42.4536916458846
"Cop","ssp126",2085,46.6374422993549
"Cop","ssp126",2086,42.8142434872907
"Cop","ssp126",2087,41.7706591842755
"Cop","ssp126",2088,37.0955056334241
"Cop","ssp126",2089,38.8963848589939
"Cop","ssp126",2090,39.296198512838
"Cop","ssp126",2091,45.2766455497152
"Cop","ssp126",2092,43.548167729686
"Cop","ssp126",2093,37.016471950247
"Cop","ssp126",2094,37.0371056561904
"Cop","ssp126",2095,42.6755615690837
"Cop","ssp126",2096,43.0948696491043
"Cop","ssp126",2097,36.936218636068
"Cop","ssp126",2098,39.6213637724592
"Cop","ssp126",2099,37.8766303103173
"Cop","ssp245",1980,52.7722961410992
"Cop","ssp245",1981,39.0577955460451
"Cop","ssp245",1982,36.4940426877709
"Cop","ssp245",1983,40.0307344489931
"Cop","ssp245",1984,42.8199918940848
"Cop","ssp245",1985,44.9090157743903
"Cop","ssp245",1986,39.9182497829709
"Cop","ssp245",1987,41.6916090251576
"Cop","ssp245",1988,43.5033295014883
"Cop","ssp245",1989,39.7585881332163
"Cop","ssp245",1990,44.8642749892744
"Cop","ssp245",1991,50.0847482421765
"Cop","ssp245",1992,47.3865212782828
"Cop","ssp245",1993,46.9603675035562
"Cop","ssp245",1994,47.9182130600839
"Cop","ssp245",1995,45.9510768424327
"Cop","ssp245",1996,43.6117191974071
"Cop","ssp245",1997,39.6089623276029
"Cop","ssp245",1998,38.5930509636892
"Cop","ssp245",1999,40.8394883756212
"Cop","ssp245",2000,42.2571901481454
"Cop","ssp245",2001,43.0442247998963
"Cop","ssp245",2002,43.0871877646574
"Cop","ssp245",2003,42.0040091463731
"Cop","ssp245",2004,37.5804824352936
"Cop","ssp245",2005,40.1137030158497
"Cop","ssp245",2006,43.0466950216741
"Cop","ssp245",2007,42.0995941214491
"Cop","ssp245",2008,44.6147647573538
"Cop","ssp245",2009,43.4242360112546
"Cop","ssp245",2010,42.9586823055361
"Cop","ssp245",2011,41.0966530398653
"Cop","ssp245",2012,45.5915062129809
"Cop","ssp245",2013,41.1985095781853
"Cop","ssp245",2014,41.4287176789736
"Cop","ssp245",2015,36.7188704627808
"Cop","ssp245",2016,36.9307717176376
"Cop","ssp245",2017,40.8680410809521
"Cop","ssp245",2018,40.0073041042208
"Cop","ssp245",2019,40.2033608651171
"Cop","ssp245",2020,43.0466555922055
"Cop","ssp245",2021,49.5457905534407
"Cop","ssp245",2022,36.5205935908192
"Cop","ssp245",2023,39.6133744847268
"Cop","ssp245",2024,44.5178372992945
"Cop","ssp245",2025,43.432506820921
"Cop","ssp245",2026,42.0461141446312
"Cop","ssp245",2027,46.3979212600025
"Cop","ssp245",2028,41.71814884971
"Cop","ssp245",2029,39.6751773321749
"Cop","ssp245",2030,40.4864552299241
"Cop","ssp245",2031,41.5471122830222
"Cop","ssp245",2032,42.3908127646503
"Cop","ssp245",2033,40.7920658505172
"Cop","ssp245",2034,40.7135620299914
"Cop","ssp245",2035,37.1976799896046
"Cop","ssp245",2036,38.9161397821504
"Cop","ssp245",2037,38.9356875756449
"Cop","ssp245",2038,38.8500758605195
"Cop","ssp245",2039,40.5659536559322
"Cop","ssp245",2040,40.214115093846
"Cop","ssp245",2041,35.6028281629793
"Cop","ssp245",2042,40.9750683110707
"Cop","ssp245",2043,39.9435229551728
"Cop","ssp245",2044,38.0981886601058
"Cop","ssp245",2045,40.9884964240181
"Cop","ssp245",2046,39.1041637705175
"Cop","ssp245",2047,40.1163823151993
"Cop","ssp245",2048,42.4318136073108
"Cop","ssp245",2049,34.8713574010911
"Cop","ssp245",2050,37.5409386938626
"Cop","ssp245",2051,42.416990752184
"Cop","ssp245",2052,37.0998650057243
"Cop","ssp245",2053,35.3334448232058
"Cop","ssp245",2054,37.9308412755506
"Cop","ssp245",2055,36.3820754656148
"Cop","ssp245",2056,35.3550693986753
"Cop","ssp245",2057,33.4699893496802
"Cop","ssp245",2058,34.9694517878988
"Cop","ssp245",2059,42.6195925028708
"Cop","ssp245",2060,33.8949253305116
"Cop","ssp245",2061,32.560194484942
"Cop","ssp245",2062,35.2918801434638
"Cop","ssp245",2063,36.4592474049126
"Cop","ssp245",2064,32.8869051544856
"Cop","ssp245",2065,41.5535077753532
"Cop","ssp245",2066,45.0561431876253
"Cop","ssp245",2067,41.1870739303036
"Cop","ssp245",2068,41.6149823473755
"Cop","ssp245",2069,34.7329722133851
"Cop","ssp245",2070,38.2772222044463
"Cop","ssp245",2071,45.7573581670827
"Cop","ssp245",2072,37.4853688932308
"Cop","ssp245",2073,35.5466663760388
"Cop","ssp245",2074,41.129628756784
"Cop","ssp245",2075,36.305038574532
"Cop","ssp245",2076,34.5893417162974
"Cop","ssp245",2077,38.2364604191901
"Cop","ssp245",2078,38.4032533581287
"Cop","ssp245",2079,36.5783264845743
"Cop","ssp245",2080,35.5239388724639
"Cop","ssp245",2081,40.1586691265306
"Cop","ssp245",2082,35.8174572880802
"Cop","ssp245",2083,35.2043399041833
"Cop","ssp245",2084,39.0572991873788
"Cop","ssp245",2085,38.8415025856844
"Cop","ssp245",2086,34.5638745592227
"Cop","ssp245",2087,42.1089861184099
"Cop","ssp245",2088,34.1288982785428
"Cop","ssp245",2089,31.484907248991
"Cop","ssp245",2090,32.7715414639771
"Cop","ssp245",2091,37.3739073182397
"Cop","ssp245",2092,33.4077161024165
"Cop","ssp245",2093,36.4090792796248
"Cop","ssp245",2094,37.2796044017616
"Cop","ssp245",2095,34.5032682062187
"Cop","ssp245",2096,39.4558927995983
"Cop","ssp245",2097,41.1412001984476
"Cop","ssp245",2098,34.0102273171628
"Cop","ssp245",2099,44.5511917108099
"Cop","ssp585",1980,52.7722961410992
"Cop","ssp585",1981,39.0577955460451
"Cop","ssp585",1982,36.4940426877709
"Cop","ssp585",1983,40.0307344489931
"Cop","ssp585",1984,42.8199918940848
"Cop","ssp585",1985,44.9090157743903
"Cop","ssp585",1986,39.9182497829709
"Cop","ssp585",1987,41.6916090251576
"Cop","ssp585",1988,43.5033295014883
"Cop","ssp585",1989,39.7585881332163
"Cop","ssp585",1990,44.8642749892744
"Cop","ssp585",1991,50.0847482421765
"Cop","ssp585",1992,47.3865212782828
"Cop","ssp585",1993,46.9603675035562
"Cop","ssp585",1994,47.9182130600839
"Cop","ssp585",1995,45.9510768424327
"Cop","ssp585",1996,43.6117191974071
"Cop","ssp585",1997,39.6089623276029
"Cop","ssp585",1998,38.5930509636892
"Cop","ssp585",1999,40.8394883756212
"Cop","ssp585",2000,42.2571901481454
"Cop","ssp585",2001,43.0442247998963
"Cop","ssp585",2002,43.0871877646574
"Cop","ssp585",2003,42.0040091463731
"Cop","ssp585",2004,37.5804824352936
"Cop","ssp585",2005,40.1137030158497
"Cop","ssp585",2006,43.0466950216741
"Cop","ssp585",2007,42.0995941214491
"Cop","ssp585",2008,44.6147647573538
"Cop","ssp585",2009,43.4242360112546
"Cop","ssp585",2010,42.9586823055361
"Cop","ssp585",2011,41.0966530398653
"Cop","ssp585",2012,45.5915062129809
"Cop","ssp585",2013,41.1985095781853
"Cop","ssp585",2014,41.4287176789736
"Cop","ssp585",2015,36.7188704627808
"Cop","ssp585",2016,36.9307717176376
"Cop","ssp585",2017,40.8680410809521
"Cop","ssp585",2018,40.0073041042208
"Cop","ssp585",2019,40.2033608651171
"Cop","ssp585",2020,43.0466555922055
"Cop","ssp585",2021,43.7989662542235
"Cop","ssp585",2022,41.4705650551346
"Cop","ssp585",2023,46.8607692075584
"Cop","ssp585",2024,49.8109190898754
"Cop","ssp585",2025,43.3493455893273
"Cop","ssp585",2026,40.6305258768028
"Cop","ssp585",2027,45.3533492553133
"Cop","ssp585",2028,42.3984733890884
"Cop","ssp585",2029,36.0957737390051
"Cop","ssp585",2030,39.1406942736349
"Cop","ssp585",2031,35.912960335091
"Cop","ssp585",2032,38.225936235082
"Cop","ssp585",2033,40.040972627869
"Cop","ssp585",2034,42.9228218380562
"Cop","ssp585",2035,47.2827227475929
"Cop","ssp585",2036,42.0438466234242
"Cop","ssp585",2037,38.181237690152
"Cop","ssp585",2038,36.9817433457136
"Cop","ssp585",2039,41.1958616351281
"Cop","ssp585",2040,42.565172851392
"Cop","ssp585",2041,41.3760624747687
"Cop","ssp585",2042,39.7556979601382
"Cop","ssp585",2043,34.678523615327
"Cop","ssp585",2044,37.4372466893793
"Cop","ssp585",2045,37.8450937977801
"Cop","ssp585",2046,44.7817530985272
"Cop","ssp585",2047,47.5396401929608
"Cop","ssp585",2048,41.695035756029
"Cop","ssp585",2049,36.3877554315179
"Cop","ssp585",2050,39.8041813938088
"Cop","ssp585",2051,38.7847372439788
"Cop","ssp585",2052,40.9995375144193
"Cop","ssp585",2053,40.483115224313
"Cop","ssp585",2054,40.6418046364954
"Cop","ssp585",2055,35.3118675780865
"Cop","ssp585",2056,39.7206643319856
"Cop","ssp585",2057,40.1669964877228
"Cop","ssp585",2058,39.7671712513052
"Cop","ssp585",2059,36.6166967495348
"Cop","ssp585",2060,40.1981155480977
"Cop","ssp585",2061,32.723821856908
"Cop","ssp585",2062,42.1555165977399
"Cop","ssp585",2063,43.9712534281321
"Cop","ssp585",2064,38.0441404072099
"Cop","ssp585",2065,36.5261269590788
"Cop","ssp585",2066,37.609316016227
"Cop","ssp585",2067,33.5351208135961
"Cop","ssp585",2068,36.8349744973809
"Cop","ssp585",2069,37.4004788996726
"Cop","ssp585",2070,32.6802132122188
