"varname","simulation","year","month","biomass_tonnes"
"Cop","ssp126",1980,1,8.54671588514291
"Cop","ssp126",1980,2,8.34660640909041
"Cop","ssp126",1980,3,15.4805184458784
"Cop","ssp126",1980,4,46.9409145224297
"Cop","ssp126",1980,5,107.418655969291
"Cop","ssp126",1980,6,106.316451111425
"Cop","ssp126",1980,7,99.0567759632061
"Cop","ssp126",1980,8,69.0844186941425
"Cop","ssp126",1980,9,59.6574639885101
"Cop","ssp126",1980,10,54.2419930120101
"Cop","ssp126",1980,11,37.3156191558976
"Cop","ssp126",1980,12,20.8614205361664
"Cop","ssp126",1981,1,12.6522623286824
"Cop","ssp126",1981,2,9.44158452990833
"Cop","ssp126",1981,3,10.9231765935993
"Cop","ssp126",1981,4,27.2168836675072
"Cop","ssp126",1981,5,55.9130511630058
"Cop","ssp126",1981,6,80.97413327508
"Cop","ssp126",1981,7,78.7347183877487
"Cop","ssp126",1981,8,57.7118905488093
"Cop","ssp126",1981,9,52.7874604857097
"Cop","ssp126",1981,10,43.664315111559
"Cop","ssp126",1981,11,23.9342578747787
"Cop","ssp126",1981,12,14.7398125861526
"Cop","ssp126",1982,1,8.89099682157349
"Cop","ssp126",1982,2,6.54674515704132
"Cop","ssp126",1982,3,9.50654588057982
"Cop","ssp126",1982,4,17.7993107241847
"Cop","ssp126",1982,5,40.624151193361
"Cop","ssp126",1982,6,72.0093234096074
"Cop","ssp126",1982,7,83.4265783310341
"Cop","ssp126",1982,8,57.4134896644279
"Cop","ssp126",1982,9,48.8442723293158
"Cop","ssp126",1982,10,48.9876196266932
"Cop","ssp126",1982,11,27.6040931428196
"Cop","ssp126",1982,12,16.2753859726123
"Cop","ssp126",1983,1,9.49476671585205
"Cop","ssp126",1983,2,6.98164710924294
"Cop","ssp126",1983,3,9.71095812958455
"Cop","ssp126",1983,4,26.2196453097952
"Cop","ssp126",1983,5,61.1258613926368
"Cop","ssp126",1983,6,75.8041555009813
"Cop","ssp126",1983,7,77.5158802787453
"Cop","ssp126",1983,8,57.6731403244614
"Cop","ssp126",1983,9,52.1671610107878
"Cop","ssp126",1983,10,49.5752503073502
"Cop","ssp126",1983,11,34.9228487804209
"Cop","ssp126",1983,12,19.1774985280586
"Cop","ssp126",1984,1,12.1041923965487
"Cop","ssp126",1984,2,8.87760778561293
"Cop","ssp126",1984,3,12.4439131996216
"Cop","ssp126",1984,4,22.8431141670122
"Cop","ssp126",1984,5,70.3772085887372
"Cop","ssp126",1984,6,90.3155090235395
"Cop","ssp126",1984,7,86.576843449314
"Cop","ssp126",1984,8,58.117406084974
"Cop","ssp126",1984,9,51.089500173708
"Cop","ssp126",1984,10,51.4112077238328
"Cop","ssp126",1984,11,32.4032507847858
"Cop","ssp126",1984,12,17.2801493513307
"Cop","ssp126",1985,1,10.5209612525649
"Cop","ssp126",1985,2,8.76401175694762
"Cop","ssp126",1985,3,12.152454914769
"Cop","ssp126",1985,4,29.8441023076401
"Cop","ssp126",1985,5,82.3071064584021
"Cop","ssp126",1985,6,93.0408625123699
"Cop","ssp126",1985,7,81.5376222086021
"Cop","ssp126",1985,8,69.0057461932413
"Cop","ssp126",1985,9,55.7598281630251
"Cop","ssp126",1985,10,49.8615308503017
"Cop","ssp126",1985,11,29.7127192202848
"Cop","ssp126",1985,12,16.4012434545355
"Cop","ssp126",1986,1,10.3696310101963
"Cop","ssp126",1986,2,8.26943953942047
"Cop","ssp126",1986,3,9.93537055886461
"Cop","ssp126",1986,4,23.6434623454839
"Cop","ssp126",1986,5,70.4743828698777
"Cop","ssp126",1986,6,81.1369673124497
"Cop","ssp126",1986,7,81.5308827882934
"Cop","ssp126",1986,8,53.6957370692278
"Cop","ssp126",1986,9,45.314687760993
"Cop","ssp126",1986,10,46.0019913418829
"Cop","ssp126",1986,11,30.5154808319294
"Cop","ssp126",1986,12,18.130963967032
"Cop","ssp126",1987,1,10.7833064765363
"Cop","ssp126",1987,2,7.91385608243636
"Cop","ssp126",1987,3,9.60325282745514
"Cop","ssp126",1987,4,26.295042956871
"Cop","ssp126",1987,5,58.265640103364
"Cop","ssp126",1987,6,85.7165091084607
"Cop","ssp126",1987,7,86.4432736239425
"Cop","ssp126",1987,8,59.2202018055458
"Cop","ssp126",1987,9,53.5756798463873
"Cop","ssp126",1987,10,55.2174349285085
"Cop","ssp126",1987,11,29.8729781872446
"Cop","ssp126",1987,12,17.3921323551394
"Cop","ssp126",1988,1,10.7676616077187
"Cop","ssp126",1988,2,7.57226640759422
"Cop","ssp126",1988,3,11.6424621350756
"Cop","ssp126",1988,4,35.8076829764147
"Cop","ssp126",1988,5,81.8818585948618
"Cop","ssp126",1988,6,90.5241654897567
"Cop","ssp126",1988,7,91.9585750658337
"Cop","ssp126",1988,8,57.4259866985085
"Cop","ssp126",1988,9,48.0991822222051
"Cop","ssp126",1988,10,41.9950878531057
"Cop","ssp126",1988,11,27.3282928008206
"Cop","ssp126",1988,12,17.0367321659641
"Cop","ssp126",1989,1,10.6237354950284
"Cop","ssp126",1989,2,7.67646625449193
"Cop","ssp126",1989,3,11.3854864949471
"Cop","ssp126",1989,4,26.8766794213258
