"varname","simulation","year","month","prod_biom_month"
"prod_PhL","ssp126",1980,1,4.0352814243519
"prod_PhL","ssp126",1980,2,5.54489335420225
"prod_PhL","ssp126",1980,3,15.8889031392363
"prod_PhL","ssp126",1980,4,54.182799728783
"prod_PhL","ssp126",1980,5,48.7251658376281
"prod_PhL","ssp126",1980,6,34.8683469575357
"prod_PhL","ssp126",1980,7,34.2827063196261
"prod_PhL","ssp126",1980,8,30.2703221425792
"prod_PhL","ssp126",1980,9,28.6407553888019
"prod_PhL","ssp126",1980,10,15.3667280561428
"prod_PhL","ssp126",1980,11,2.85201601797527
"prod_PhL","ssp126",1980,12,0.73701443736721
"prod_PhL","ssp126",1981,1,1.42608296646497
"prod_PhL","ssp126",1981,2,2.26029324766079
"prod_PhL","ssp126",1981,3,7.05544818754633
"prod_PhL","ssp126",1981,4,27.2273264474925
"prod_PhL","ssp126",1981,5,27.1878858452968
"prod_PhL","ssp126",1981,6,25.0677546526697
"prod_PhL","ssp126",1981,7,18.951339651561
"prod_PhL","ssp126",1981,8,23.2329925901072
"prod_PhL","ssp126",1981,9,20.1834866869349
"prod_PhL","ssp126",1981,10,9.59320050459752
"prod_PhL","ssp126",1981,11,1.71542247423587
"prod_PhL","ssp126",1981,12,0.258566504380068
"prod_PhL","ssp126",1982,1,0.878222695266552
"prod_PhL","ssp126",1982,2,2.24539629007142
"prod_PhL","ssp126",1982,3,7.34541354690912
"prod_PhL","ssp126",1982,4,11.8863980027417
"prod_PhL","ssp126",1982,5,29.723282000139
"prod_PhL","ssp126",1982,6,30.0677709896343
"prod_PhL","ssp126",1982,7,21.1196146379093
"prod_PhL","ssp126",1982,8,23.4839527445383
"prod_PhL","ssp126",1982,9,21.2868004134415
"prod_PhL","ssp126",1982,10,13.1859873421332
"prod_PhL","ssp126",1982,11,1.99471413666546
"prod_PhL","ssp126",1982,12,0.261888172158811
"prod_PhL","ssp126",1983,1,0.828349992029875
"prod_PhL","ssp126",1983,2,2.20478417648278
"prod_PhL","ssp126",1983,3,10.1909873480565
"prod_PhL","ssp126",1983,4,15.9709705293514
"prod_PhL","ssp126",1983,5,22.0619009453979
"prod_PhL","ssp126",1983,6,24.4817690020099
"prod_PhL","ssp126",1983,7,24.9376308840596
"prod_PhL","ssp126",1983,8,27.0280216358315
"prod_PhL","ssp126",1983,9,22.5118650489679
"prod_PhL","ssp126",1983,10,12.5557177107761
"prod_PhL","ssp126",1983,11,2.57818643531095
"prod_PhL","ssp126",1983,12,0.735185367097953
"prod_PhL","ssp126",1984,1,0.79185605862341
"prod_PhL","ssp126",1984,2,3.40160360719828
"prod_PhL","ssp126",1984,3,9.18754773014294
"prod_PhL","ssp126",1984,4,11.4440616050342
"prod_PhL","ssp126",1984,5,44.6471122034276
"prod_PhL","ssp126",1984,6,30.2878224326555
"prod_PhL","ssp126",1984,7,23.9150050509524
"prod_PhL","ssp126",1984,8,25.3458889193619
"prod_PhL","ssp126",1984,9,27.9926916052969
"prod_PhL","ssp126",1984,10,14.0477203679379
"prod_PhL","ssp126",1984,11,2.24525344634576
"prod_PhL","ssp126",1984,12,0.678560667811157
"prod_PhL","ssp126",1985,1,1.31679466096289
"prod_PhL","ssp126",1985,2,4.74072624694417
"prod_PhL","ssp126",1985,3,7.53009776128336
"prod_PhL","ssp126",1985,4,25.9025895683934
"prod_PhL","ssp126",1985,5,29.0760887371385
"prod_PhL","ssp126",1985,6,27.3657954233773
"prod_PhL","ssp126",1985,7,29.8335179243603
"prod_PhL","ssp126",1985,8,27.939318937281
"prod_PhL","ssp126",1985,9,24.4430317491178
"prod_PhL","ssp126",1985,10,11.8719827411711
"prod_PhL","ssp126",1985,11,2.68098759599303
"prod_PhL","ssp126",1985,12,0.865914143129311
"prod_PhL","ssp126",1986,1,1.31473125312187
"prod_PhL","ssp126",1986,2,3.1934556841316
"prod_PhL","ssp126",1986,3,7.7353810183066
"prod_PhL","ssp126",1986,4,19.2875664405846
"prod_PhL","ssp126",1986,5,36.6753492026481
"prod_PhL","ssp126",1986,6,21.7044680161831
"prod_PhL","ssp126",1986,7,24.0110847684233
"prod_PhL","ssp126",1986,8,22.6344341072902
"prod_PhL","ssp126",1986,9,24.1106214563689
"prod_PhL","ssp126",1986,10,8.62618746905678
"prod_PhL","ssp126",1986,11,3.94585634461229
"prod_PhL","ssp126",1986,12,0.935703360766695
"prod_PhL","ssp126",1987,1,1.38796265604661
"prod_PhL","ssp126",1987,2,3.14446292788354
"prod_PhL","ssp126",1987,3,7.35829627288768
"prod_PhL","ssp126",1987,4,23.7232184808896
"prod_PhL","ssp126",1987,5,24.6095453755798
"prod_PhL","ssp126",1987,6,27.8135012450608
"prod_PhL","ssp126",1987,7,26.2975814423841
"prod_PhL","ssp126",1987,8,26.5954149109025
"prod_PhL","ssp126",1987,9,28.7285833687792
"prod_PhL","ssp126",1987,10,15.5199107820928
"prod_PhL","ssp126",1987,11,3.69916155694149
"prod_PhL","ssp126",1987,12,0.998614236144442
"prod_PhL","ssp126",1988,1,0.682524207221191
"prod_PhL","ssp126",1988,2,2.52810881122904
"prod_PhL","ssp126",1988,3,9.36259673405135
"prod_PhL","ssp126",1988,4,22.5566318576716
"prod_PhL","ssp126",1988,5,24.9556009178378
"prod_PhL","ssp126",1988,6,27.1112562198258
"prod_PhL","ssp126",1988,7,24.9260093006661
"prod_PhL","ssp126",1988,8,24.0528331313578
"prod_PhL","ssp126",1988,9,20.7346246070227
"prod_PhL","ssp126",1988,10,11.2470302989587
"prod_PhL","ssp126",1988,11,3.56753707622258
"prod_PhL","ssp126",1988,12,0.420836569911531
"prod_PhL","ssp126",1989,1,0.707366817172135
"prod_PhL","ssp126",1989,2,4.50318355270519
"prod_PhL","ssp126",1989,3,10.5731320390501
"prod_PhL","ssp126",1989,4,21.1205713336987
"prod_PhL","ssp126",1989,5,28.7093887228192
"prod_PhL","ssp126",1989,6,23.4851018989139
"prod_PhL","ssp126",1989,7,19.8093310204091
"prod_PhL","ssp126",1989,8,21.3085036390041
"prod_PhL","ssp126",1989,9,23.6906941193696
"prod_PhL","ssp126",1989,10,11.9718729329568
"prod_PhL","ssp126",1989,11,3.81902349397759
"prod_PhL","ssp126",1989,12,1.07913208543895
"prod_PhL","ssp126",1990,1,0.994293976701617
"prod_PhL","ssp126",1990,2,3.62286329022273
"prod_PhL","ssp126",1990,3,10.7285243973271
"prod_PhL","ssp126",1990,4,17.1800918902643
"prod_PhL","ssp126",1990,5,24.0119380819915
"prod_PhL","ssp126",1990,6,23.6200231295648
"prod_PhL","ssp126",1990,7,24.5113455260379
"prod_PhL","ssp126",1990,8,29.14232071157
"prod_PhL","ssp126",1990,9,25.0922075341476
"prod_PhL","ssp126",1990,10,16.4409376875656
"prod_PhL","ssp126",1990,11,4.31993123169928
"prod_PhL","ssp126",1990,12,1.30325166830262
"prod_PhL","ssp126",1991,1,0.919781613680756
"prod_PhL","ssp126",1991,2,3.29456700552169
"prod_PhL","ssp126",1991,3,12.3454614885751
"prod_PhL","ssp126",1991,4,26.1060266395485
"prod_PhL","ssp126",1991,5,32.336407542796
"prod_PhL","ssp126",1991,6,32.7333115822104
"prod_PhL","ssp126",1991,7,35.5183857099966
"prod_PhL","ssp126",1991,8,28.3124897612368
"prod_PhL","ssp126",1991,9,26.4111271343106
"prod_PhL","ssp126",1991,10,18.1260021547927
"prod_PhL","ssp126",1991,11,3.48304475329876
"prod_PhL","ssp126",1991,12,1.23059179894227
"prod_PhL","ssp126",1992,1,1.03170573303393
"prod_PhL","ssp126",1992,2,4.20987433003582
"prod_PhL","ssp126",1992,3,10.8137500166876
"prod_PhL","ssp126",1992,4,25.2907836215757
"prod_PhL","ssp126",1992,5,38.1529898470553
"prod_PhL","ssp126",1992,6,28.0029166887264
"prod_PhL","ssp126",1992,7,24.8793203870016
"prod_PhL","ssp126",1992,8,25.4346524460896
"prod_PhL","ssp126",1992,9,25.5059590622004
"prod_PhL","ssp126",1992,10,13.5038566946872
"prod_PhL","ssp126",1992,11,3.73129411606816
"prod_PhL","ssp126",1992,12,0.855034252814344
"prod_PhL","ssp126",1993,1,1.11453195835565
"prod_PhL","ssp126",1993,2,3.27031808492132
"prod_PhL","ssp126",1993,3,10.7838382004772
"prod_PhL","ssp126",1993,4,30.137238052396
"prod_PhL","ssp126",1993,5,35.6198933941847
"prod_PhL","ssp126",1993,6,36.2177686238793
"prod_PhL","ssp126",1993,7,31.3624850851012
"prod_PhL","ssp126",1993,8,29.8718599254981
"prod_PhL","ssp126",1993,9,32.4026966321999
"prod_PhL","ssp126",1993,10,19.4210965055141
"prod_PhL","ssp126",1993,11,5.58971048155593
"prod_PhL","ssp126",1993,12,1.25907043398782
"prod_PhL","ssp126",1994,1,1.09578848881063
"prod_PhL","ssp126",1994,2,5.1035890247514
"prod_PhL","ssp126",1994,3,9.61147533392529
"prod_PhL","ssp126",1994,4,26.8379730399926
"prod_PhL","ssp126",1994,5,41.0661976024162
"prod_PhL","ssp126",1994,6,39.0607948662954
"prod_PhL","ssp126",1994,7,30.1880018904229
"prod_PhL","ssp126",1994,8,30.6138604350394
"prod_PhL","ssp126",1994,9,28.3985441837721
"prod_PhL","ssp126",1994,10,13.9611328982885
"prod_PhL","ssp126",1994,11,2.83801004913615
"prod_PhL","ssp126",1994,12,0.869130113360609
"prod_PhL","ssp126",1995,1,1.22343403829252
"prod_PhL","ssp126",1995,2,3.05145059559485
"prod_PhL","ssp126",1995,3,9.13552088825875
"prod_PhL","ssp126",1995,4,21.3953470825107
"prod_PhL","ssp126",1995,5,31.5631577684276
"prod_PhL","ssp126",1995,6,32.4721446017703
"prod_PhL","ssp126",1995,7,27.4575435914421
"prod_PhL","ssp126",1995,8,31.0482440653171
"prod_PhL","ssp126",1995,9,22.1803383481918
"prod_PhL","ssp126",1995,10,15.1636375379149
"prod_PhL","ssp126",1995,11,4.64936039987691
"prod_PhL","ssp126",1995,12,0.858093881588615
"prod_PhL","ssp126",1996,1,1.27203381895937
"prod_PhL","ssp126",1996,2,2.91442187936169
"prod_PhL","ssp126",1996,3,15.4960227040006
"prod_PhL","ssp126",1996,4,18.6921398694622
"prod_PhL","ssp126",1996,5,32.8106896545817
"prod_PhL","ssp126",1996,6,26.2375543087567
"prod_PhL","ssp126",1996,7,24.9703014413089
"prod_PhL","ssp126",1996,8,23.5685475887413
"prod_PhL","ssp126",1996,9,24.5116615293133
"prod_PhL","ssp126",1996,10,11.540220488187
"prod_PhL","ssp126",1996,11,2.53797263528732
"prod_PhL","ssp126",1996,12,1.02949239548895
"prod_PhL","ssp126",1997,1,1.13790346093332
"prod_PhL","ssp126",1997,2,2.34030116851497
"prod_PhL","ssp126",1997,3,9.2403449352742
"prod_PhL","ssp126",1997,4,20.3824639721553
"prod_PhL","ssp126",1997,5,32.9030376277745
"prod_PhL","ssp126",1997,6,23.0797909605199
"prod_PhL","ssp126",1997,7,21.5703515125042
"prod_PhL","ssp126",1997,8,20.9024341375877
"prod_PhL","ssp126",1997,9,26.5145608955631
"prod_PhL","ssp126",1997,10,13.0381854471275
"prod_PhL","ssp126",1997,11,2.85561336582869
"prod_PhL","ssp126",1997,12,1.0221047472613
"prod_PhL","ssp126",1998,1,1.14198090000806
"prod_PhL","ssp126",1998,2,3.18680700619368
"prod_PhL","ssp126",1998,3,7.4709568255857
"prod_PhL","ssp126",1998,4,19.3898099986413
"prod_PhL","ssp126",1998,5,26.7232303173542
"prod_PhL","ssp126",1998,6,25.8492947822433
"prod_PhL","ssp126",1998,7,22.3765984069575
"prod_PhL","ssp126",1998,8,26.47717587048
"prod_PhL","ssp126",1998,9,26.6266499522112
"prod_PhL","ssp126",1998,10,11.3234942296745
"prod_PhL","ssp126",1998,11,2.68526950428434
"prod_PhL","ssp126",1998,12,0.821810763213879
"prod_PhL","ssp126",1999,1,1.1970631578404
"prod_PhL","ssp126",1999,2,3.42168392769297
"prod_PhL","ssp126",1999,3,7.21295326674069
"prod_PhL","ssp126",1999,4,14.8299951662749
"prod_PhL","ssp126",1999,5,26.565038786158
"prod_PhL","ssp126",1999,6,22.7246918055502
"prod_PhL","ssp126",1999,7,22.0400068801243
"prod_PhL","ssp126",1999,8,22.1717844429841
"prod_PhL","ssp126",1999,9,21.5384938198038
"prod_PhL","ssp126",1999,10,12.1841921929197
"prod_PhL","ssp126",1999,11,3.22610633344911
"prod_PhL","ssp126",1999,12,0.893347169382001
"prod_PhL","ssp126",2000,1,1.17374340606443
"prod_PhL","ssp126",2000,2,2.48204007962256
"prod_PhL","ssp126",2000,3,8.84447982746662
"prod_PhL","ssp126",2000,4,26.8771464336488
"prod_PhL","ssp126",2000,5,29.9483253361071
"prod_PhL","ssp126",2000,6,25.802437787188
"prod_PhL","ssp126",2000,7,28.2749413223364
"prod_PhL","ssp126",2000,8,29.4272183931482
"prod_PhL","ssp126",2000,9,27.9668853729453
"prod_PhL","ssp126",2000,10,11.01059420873
"prod_PhL","ssp126",2000,11,2.85081955811255
"prod_PhL","ssp126",2000,12,0.766399055814739
"prod_PhL","ssp126",2001,1,1.30928483846206
"prod_PhL","ssp126",2001,2,4.21185218525329
"prod_PhL","ssp126",2001,3,12.0064731614887
