"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1980-01-23,1980,1,4.87424441116773
"ssp126","Bottom",1980-02-15,1980,2,4.53381133822487
"ssp126","Bottom",1980-03-16,1980,3,4.16200783790743
"ssp126","Bottom",1980-04-15,1980,4,4.22288505672776
"ssp126","Bottom",1980-05-16,1980,5,5.04979141595853
"ssp126","Bottom",1980-06-15,1980,6,6.01401396498044
"ssp126","Bottom",1980-07-16,1980,7,6.76143869008573
"ssp126","Bottom",1980-08-16,1980,8,7.25741168392406
"ssp126","Bottom",1980-09-15,1980,9,7.46614065059288
"ssp126","Bottom",1980-10-16,1980,10,7.27642432772625
"ssp126","Bottom",1980-11-15,1980,11,6.34624093307259
"ssp126","Bottom",1980-12-16,1980,12,5.18374748888233
"ssp126","Bottom",1981-01-16,1981,1,4.49641671302649
"ssp126","Bottom",1981-02-14,1981,2,3.99454288911832
"ssp126","Bottom",1981-03-16,1981,3,3.57354525180402
"ssp126","Bottom",1981-04-15,1981,4,3.78739253607612
"ssp126","Bottom",1981-05-16,1981,5,4.74995978238644
"ssp126","Bottom",1981-06-15,1981,6,5.8352666467032
"ssp126","Bottom",1981-07-16,1981,7,6.71148935013888
"ssp126","Bottom",1981-08-16,1981,8,7.29896516699534
"ssp126","Bottom",1981-09-15,1981,9,7.69730112955421
"ssp126","Bottom",1981-10-16,1981,10,7.54382282268796
"ssp126","Bottom",1981-11-15,1981,11,6.90182974715879
"ssp126","Bottom",1981-12-16,1981,12,6.38621153658109
"ssp126","Bottom",1982-01-16,1982,1,5.32168820379068
"ssp126","Bottom",1982-02-14,1982,2,4.62851000059379
"ssp126","Bottom",1982-03-16,1982,3,4.29696290689625
"ssp126","Bottom",1982-04-15,1982,4,4.599840986999
"ssp126","Bottom",1982-05-16,1982,5,5.51097334754579
"ssp126","Bottom",1982-06-15,1982,6,6.47968659051173
"ssp126","Bottom",1982-07-16,1982,7,7.36007805249495
"ssp126","Bottom",1982-08-16,1982,8,7.98158056430458
"ssp126","Bottom",1982-09-15,1982,9,8.35226515799121
"ssp126","Bottom",1982-10-16,1982,10,8.20176404768721
"ssp126","Bottom",1982-11-15,1982,11,6.89836580863702
"ssp126","Bottom",1982-12-16,1982,12,5.77760984022431
"ssp126","Bottom",1983-01-16,1983,1,5.09816420466814
"ssp126","Bottom",1983-02-14,1983,2,4.32491514076503
"ssp126","Bottom",1983-03-16,1983,3,4.16099535623118
"ssp126","Bottom",1983-04-15,1983,4,4.57721609645225
"ssp126","Bottom",1983-05-16,1983,5,5.51041967884608
"ssp126","Bottom",1983-06-15,1983,6,6.50643041293208
"ssp126","Bottom",1983-07-16,1983,7,7.28682443990024
"ssp126","Bottom",1983-08-16,1983,8,7.85255964648488
"ssp126","Bottom",1983-09-15,1983,9,8.31494603002748
"ssp126","Bottom",1983-10-16,1983,10,8.32697421884299
"ssp126","Bottom",1983-11-15,1983,11,7.35775979978789
