tstep,phl_ssp126,phl_ssp245,phl_ssp585,phs_ssp126,phs_ssp245,phs_ssp585
1,0.203799648,0.203799648,0.203799648,0.276343257,0.276343257,0.276343257
2,0.28004176,0.28004176,0.28004176,0.300108091,0.300108091,0.300108091
3,0.80246023,0.80246023,0.80246023,0.897833344,0.897833344,0.897833344
4,2.736472212,2.736472212,2.736472212,1.545727569,1.545727569,1.545727569
5,2.460837443,2.460837443,2.460837443,1.888029503,1.888029503,1.888029503
6,1.761006501,1.761006501,1.761006501,1.801347648,1.801347648,1.801347648
7,1.731429045,1.731429045,1.731429045,1.751675053,1.751675053,1.751675053
8,1.528785811,1.528785811,1.528785811,1.700714081,1.700714081,1.700714081
9,1.446485447,1.446485447,1.446485447,1.655316876,1.655316876,1.655316876
10,0.776088067,0.776088067,0.776088067,1.082269806,1.082269806,1.082269806
11,0.144039485,0.144039485,0.144039485,0.237964737,0.237964737,0.237964737
12,0.037222505,0.037222505,0.037222505,0.072674349,0.072674349,0.072674349
13,0.072023528,0.072023528,0.072023528,0.131124156,0.131124156,0.131124156
14,0.114154855,0.114154855,0.114154855,0.233611644,0.233611644,0.233611644
15,0.356331493,0.356331493,0.356331493,0.647233994,0.647233994,0.647233994
16,1.375101003,1.375101003,1.375101003,1.462426334,1.462426334,1.462426334
17,1.373109077,1.373109077,1.373109077,1.902377872,1.902377872,1.902377872
18,1.266033028,1.266033028,1.266033028,2.027727387,2.027727387,2.027727387
19,0.957126885,0.957126885,0.957126885,1.800148155,1.800148155,1.800148155
20,1.173369389,1.173369389,1.173369389,1.826475564,1.826475564,1.826475564
21,1.019355787,1.019355787,1.019355787,1.531766732,1.531766732,1.531766732
22,0.484499264,0.484499264,0.484499264,0.98977357,0.98977357,0.98977357
23,0.086636459,0.086636459,0.086636459,0.243697909,0.243697909,0.243697909
24,0.013058758,0.013058758,0.013058758,0.055125944,0.055125944,0.055125944
25,0.04435415,0.04435415,0.04435415,0.112484711,0.112484711,0.112484711
26,0.113402493,0.113402493,0.113402493,0.283785889,0.283785889,0.283785889
27,0.370976032,0.370976032,0.370976032,0.684987826,0.684987826,0.684987826
28,0.600315931,0.600315931,0.600315931,1.337535888,1.337535888,1.337535888
29,1.501157852,1.501157852,1.501157852,2.011954504,2.011954504,2.011954504
30,1.518556077,1.518556077,1.518556077,2.158351277,2.158351277,2.158351277
31,1.066634409,1.066634409,1.066634409,1.799933179,1.799933179,1.799933179
32,1.186043993,1.186043993,1.186043993,1.783254903,1.783254903,1.783254903
33,1.075078034,1.075078034,1.075078034,1.537941018,1.537941018,1.537941018
34,0.665950968,0.665950968,0.665950968,1.075611354,1.075611354,1.075611354
35,0.10074193,0.10074193,0.10074193,0.234963032,0.234963032,0.234963032
36,0.013226517,0.013226517,0.013226517,0.049628552,0.049628552,0.049628552
37,0.041835356,0.041835356,0.041835356,0.101286758,0.101286758,0.101286758
38,0.111351401,0.111351401,0.111351401,0.240829899,0.240829899,0.240829899
39,0.514690157,0.514690157,0.514690157,0.720414411,0.720414411,0.720414411
40,0.806604998,0.806604998,0.806604998,1.293736101,1.293736101,1.293736101
41,1.114224056,1.114224056,1.114224056,1.831680259,1.831680259,1.831680259
42,1.236438149,1.236438149,1.236438149,2.00188849,2.00188849,2.00188849
43,1.2594612,1.2594612,1.2594612,1.918279015,1.918279015,1.918279015
44,1.365035224,1.365035224,1.365035224,1.856095601,1.856095601,1.856095601
45,1.136949243,1.136949243,1.136949243,1.550477169,1.550477169,1.550477169
46,0.634119551,0.634119551,0.634119551,1.068117211,1.068117211,1.068117211
47,0.130209874,0.130209874,0.130209874,0.304868873,0.304868873,0.304868873
48,0.037130129,0.037130129,0.037130129,0.089760379,0.089760379,0.089760379
49,0.039992251,0.039992251,0.039992251,0.092817962,0.092817962,0.092817962
50,0.171796101,0.171796101,0.171796101,0.351450512,0.351450512,0.351450512
51,0.464011996,0.464011996,0.464011996,0.809912089,0.809912089,0.809912089
52,0.577975976,0.577975976,0.577975976,1.255375398,1.255375398,1.255375398
53,2.254877609,2.254877609,2.254877609,2.15232983,2.15232983,2.15232983
54,1.529669653,1.529669653,1.529669653,2.03962694,2.03962694,2.03962694
