"race_group","param","variant","mean","q2.5","q25","median","q75","q97.5"
"Atka mackerel","Topt","with_replacement",4.77068641739453,4.58782619520384,4.70896908788434,4.76890188407097,4.82922797733609,4.97763898097739
"Atka mackerel","Tmax","with_replacement",7.84514,7.7,7.8,7.9,7.9,7.9
"Atka mackerel","Topt","without_replacement",4.76702215153123,4.67806725885438,4.7370843279587,4.76293896691122,4.79534559340653,4.87125499787198
"Atka mackerel","Tmax","without_replacement",7.87582,7.7,7.9,7.9,7.9,7.9
"Octopus","Topt","with_replacement",5.75446798802525,5.62462147161885,5.71047326520162,5.75490991645542,5.79918675035072,5.88069173304456
"Octopus","Tmax","with_replacement",9.85312,9.2,9.3,10.2,10.2,10.2
"Octopus","Topt","without_replacement",5.75604017794151,5.68912271884052,5.7338240675667,5.75722428919159,5.77861390543016,5.82040197232249
"Octopus","Tmax","without_replacement",10.00444,9.2,10.2,10.2,10.2,10.2
"Pacific sleeper shark","Topt","with_replacement",5.32095564881095,5.091943283957,5.25145318575449,5.32663060455609,5.39758256158122,5.52479968051336
"Pacific sleeper shark","Tmax","with_replacement",7.38014,6.9,7.1,7.6,7.6,7.6
"Pacific sleeper shark","Topt","without_replacement",5.32134402359862,5.21328205569518,5.28438139971651,5.31813467989655,5.35417894850878,5.44480721021532
"Pacific sleeper shark","Tmax","without_replacement",7.49732,6.9,7.6,7.6,7.6,7.6
"Squid","Topt","with_replacement",4.92427067683252,4.85577694411631,4.90168284488399,4.9252376442511,4.9465278507943,4.99321289634097
"Squid","Tmax","with_replacement",9.09202,8.7,9,9.2,9.2,9.2
"Squid","Topt","without_replacement",4.92403815522277,4.89072906933035,4.91176177241771,4.92299795649817,4.93560145114341,4.9613363401428
"Squid","Tmax","without_replacement",9.1501,8.8,9.2,9.2,9.2,9.2
"Pacific capelin","Topt","with_replacement",6.91572389320602,6.60206500323074,6.81385962639709,6.91495637639187,7.01861682925075,7.22767546642296
"Pacific capelin","Tmax","with_replacement",11.64468,10.9,11.4,11.9,11.9,11.9
"Pacific capelin","Topt","without_replacement",6.9176379473617,6.73630258592121,6.86353698220592,6.92891085651328,6.96619296849796,7.07293994044831
"Pacific capelin","Tmax","without_replacement",11.78192,11,11.9,11.9,11.9,11.9
"Pacific sandlance","Topt","with_replacement",7.15022638212498,6.4825171735008,6.91103396163622,7.17618930911982,7.40482779060163,7.71624604958205
"Pacific sandlance","Tmax","with_replacement",10.81608,10.1,10.7,11,11,11
"Pacific sandlance","Topt","without_replacement",7.19988403449504,6.68202160714937,7.16128782628301,7.26811260315518,7.33023444042878,7.44393364698184
"Pacific sandlance","Tmax","without_replacement",10.92202,10.2,11,11,11,11
