Year,Group,Type,Stdev,SE,Value,Scale,CV,Species,Loc,n,Source
1998,Cop,,,,0.0639654,1,,,,,spring_gak
1999,Cop,,,,0.058939293,1,,,,,spring_gak
2000,Cop,,,,0.1569488,1,,,,,spring_gak
2001,Cop,,,,0.048040282,1,,,,,spring_gak
2002,Cop,,,,0.100651232,1,,,,,spring_gak
2003,Cop,,,,0.051387958,1,,,,,spring_gak
2004,Cop,,,,0.112129999,1,,,,,spring_gak
2005,Cop,,,,0.092433813,1,,,,,spring_gak
2006,Cop,,,,0.126672828,1,,,,,spring_gak
2007,Cop,,,,0.052313432,1,,,,,spring_gak
2008,Cop,,,,0.044079045,1,,,,,spring_gak
2009,Cop,,,,0.044213988,1,,,,,spring_gak
2010,Cop,,,,0.076877331,1,,,,,spring_gak
2011,Cop,,,,0.021409133,1,,,,,spring_gak
2012,Cop,,,,0.051288378,1,,,,,spring_gak
2013,Cop,,,,0.08287938,1,,,,,spring_gak
2014,Cop,,,,0.065075329,1,,,,,spring_gak
2015,Cop,,,,0.043923238,1,,,,,spring_gak
2016,Cop,,,,0.112781311,1,,,,,spring_gak
2017,Cop,,,,0.066412359,1,,,,,spring_gak
2018,Cop,,,,0.025756619,1,,,,,spring_gak
2019,Cop,,,,0.019301507,1,,,,,spring_gak
2020,Cop,,,,0.027478452,1,,,,,spring_gak
2021,Cop,,,,0.013266869,1,,,,,spring_gak
2022,Cop,,,,0.038,1,,,,,spring_gak
1998,Cop,,,,0.124330506,1,,,,,fall_gak
1999,Cop,,,,0.082422114,1,,,,,fall_gak
2000,Cop,,,,0.079769063,1,,,,,fall_gak
2001,Cop,,,,0.120057524,1,,,,,fall_gak
2002,Cop,,,,0.01810513,1,,,,,fall_gak
2003,Cop,,,,0.067947533,1,,,,,fall_gak
2004,Cop,,,,0.024545394,1,,,,,fall_gak
2005,Cop,,,,0.054051054,1,,,,,fall_gak
2006,Cop,,,,0.063376787,1,,,,,fall_gak
2007,Cop,,,,0.051598232,1,,,,,fall_gak
2008,Cop,,,,0.038676422,1,,,,,fall_gak
2009,Cop,,,,0.050024924,1,,,,,fall_gak
2010,Cop,,,,0.031610054,1,,,,,fall_gak
2011,Cop,,,,0.068662535,1,,,,,fall_gak
2012,Cop,,,,0.072393647,1,,,,,fall_gak
2013,Cop,,,,0.037186702,1,,,,,fall_gak
2014,Cop,,,,0.075454831,1,,,,,fall_gak
2015,Cop,,,,0.044986573,1,,,,,fall_gak
2016,Cop,,,,0.055623793,1,,,,,fall_gak
2017,Cop,,,,0.076256443,1,,,,,fall_gak
2018,Cop,,,,0.060809798,1,,,,,fall_gak
2019,Cop,,,,0.049648801,1,,,,,fall_gak
2020,Cop,,,,0.029476391,1,,,,,fall_gak
2021,Cop,,,,0.0257,1,,,,,fall_gak
1998,Nca,,,,0.391434848,1,,,,,spring_gak
1999,Nca,,,,0.193554655,1,,,,,spring_gak
2000,Nca,,,,0.158509821,1,,,,,spring_gak
2001,Nca,,,,0.198925838,1,,,,,spring_gak
2002,Nca,,,,0.419482976,1,,,,,spring_gak
2003,Nca,,,,0.273168147,1,,,,,spring_gak
2004,Nca,,,,0.297294557,1,,,,,spring_gak
2005,Nca,,,,0.339586973,1,,,,,spring_gak
2006,Nca,,,,0.491837114,1,,,,,spring_gak
2007,Nca,,,,0.188251451,1,,,,,spring_gak
2008,Nca,,,,0.081502363,1,,,,,spring_gak
2009,Nca,,,,0.127535537,1,,,,,spring_gak
2010,Nca,,,,0.168856516,1,,,,,spring_gak
2011,Nca,,,,0.10033451,1,,,,,spring_gak
2012,Nca,,,,0.147040054,1,,,,,spring_gak
2013,Nca,,,,0.197365403,1,,,,,spring_gak
2014,Nca,,,,0.219073504,1,,,,,spring_gak
2015,Nca,,,,0.342313945,1,,,,,spring_gak
2016,Nca,,,,0.382457048,1,,,,,spring_gak
2017,Nca,,,,0.346147209,1,,,,,spring_gak
2018,Nca,,,,0.363871425,1,,,,,spring_gak
2019,Nca,,,,0.138871086,1,,,,,spring_gak
2020,Nca,,,,0.263565081,1,,,,,spring_gak
2021,Nca,,,,0.2,1,,,,,spring_gak
2022,Nca,,,,0.26,1,,,,,spring_gak
1998,Nca,,,,0.013514311,1,,,,,fall_gak
1999,Nca,,,,0.022267099,1,,,,,fall_gak
2000,Nca,,,,0.017249078,1,,,,,fall_gak
