"year","model","race_group","stratum","wgtcpue","numcpue","stratum_bin","area","stations","bottom_temp_mean","surface_temp_mean","bio_t_km2","bio_tons"
1990,"WGOA","Arrowtooth flounder",10,82111.867054891,122299.373447427,10,8332.718,24,NA,6.09333333333333,3.42132779395379,28508.9596925791
1990,"WGOA","Arrowtooth flounder",11,54574.0860094112,127193.369880252,11,13681.241,29,NA,6.60625,1.88186503480728,25746.2490706718
1990,"WGOA","Arrowtooth flounder",12,13128.7826772278,33678.8720831681,12,6875.823,9,NA,8.16666666666667,1.45875363080308,10030.1317660094
1990,"WGOA","Arrowtooth flounder",13,34580.4179562432,71504.7565425761,13,12398.789,13,3.9,8.81666666666667,2.66003215048025,32981.1773670208
1990,"WGOA","Arrowtooth flounder",20,12854.8013441091,13946.7010192718,20,7940.852,9,8.7,11.52,1.42831126045657,11342.008329219
1990,"WGOA","Arrowtooth flounder",21,4198.40742440128,8631.53994138565,21,7302.086,4,4.8,10.15,1.04960185610032,7664.28301900417
1990,"WGOA","Arrowtooth flounder",22,344643.860524236,347571.573377588,22,10792.012,13,8.5,10.6545454545455,26.511066194172,286107.744500299
1990,"WGOA","Arrowtooth flounder",30,78302.0042323484,93063.8896587403,30,5766.075,14,NA,10.5363636363636,5.5930003023106,32249.6592181456
1990,"WGOA","Arrowtooth flounder",31,98461.9354084728,144003.873879777,31,15403.147,23,7,10.6166666666667,4.28095371341186,65940.1593478788
1990,"WGOA","Arrowtooth flounder",32,262.352516295354,1420.6527509599,32,9886.88,7,10.4833333333333,11.8,0.0374789308993362,370.549692330029
1990,"WGOA","Arrowtooth flounder",33,8942.10103954434,15656.5359404417,33,5260.082,6,5.55,13.36,1.49035017325739,7839.36412004808
1990,"WGOA","Arrowtooth flounder",35,4815.22255811238,3500.63463944573,35,2199.622,1,NA,NA,4.81522255811239,10591.6694737203
1990,"WGOA","Arrowtooth flounder",110,133436.656567717,224591.738474656,110,4245.316,12,NA,7.5,11.119721380643,47206.731092786
1990,"WGOA","Arrowtooth flounder",111,158437.521656913,217343.405064825,111,8153.739,24,NA,6.75,6.60156340237135,53827.424974888
1990,"WGOA","Arrowtooth flounder",112,87350.2903456401,140646.217029538,112,2278.242,9,3.93333333333333,9.95,9.70558781618223,22111.6777975146
1990,"WGOA","Arrowtooth flounder",120,862798.200653539,1408866.65797219,120,11104.039,71,5.13571428571429,10.1794871794872,12.1520873331484,134937.251678686
1990,"WGOA","Arrowtooth flounder",121,317632.240724545,262145.418302991,121,7734.619,21,4.65,10.5875,15.1253447964069,116988.77924384
1990,"WGOA","Arrowtooth flounder",122,122457.289569683,163087.097974597,122,5010.738,17,5.05,10.0454545454545,7.20336997468722,36094.1996602243
1990,"WGOA","Arrowtooth flounder",130,601866.635274718,617305.765522701,130,7911.775,36,5.66666666666667,11.0761904761905,16.7185176465199,132273.149952795
1990,"WGOA","Arrowtooth flounder",131,600037.063384244,678808.279605122,131,7336.402,28,5.46153846153846,12.4647058823529,21.4298951208658,157218.32542451
1990,"WGOA","Arrowtooth flounder",132,168225.352684703,154482.095689624,132,10980.778,23,5.36923076923077,11.6888888888889,7.31414576890011,80315.0109479314
1990,"WGOA","Arrowtooth flounder",133,224562.562650135,321457.809538456,133,12077.011,31,5.52307692307692,13.8846153846154,7.24395363387533,87485.3077198024
1990,"WGOA","Arrowtooth flounder",134,51508.5720484077,71446.72934809,134,5025.806,12,5.46,11.9375,4.29238100403398,21572.67420436
1990,"WGOA","Arrowtooth flounder",210,3831.39554708673,5092.2692379071,210,2787.949,8,NA,7.43333333333333,0.478924443385841,1335.21692301311
1990,"WGOA","Arrowtooth flounder",220,285547.996607656,132155.518988261,220,10017.785,12,4.7,10.65,23.7956663839714,238379.869766353
1990,"WGOA","Arrowtooth flounder",221,5639.77821371553,3598.95410062728,221,1528.313,5,5,10.3,1.12795564274311,1723.86927222764
1990,"WGOA","Arrowtooth flounder",230,129934.794181181,103031.865342219,230,6659.46,17,5.2625,12.9357142857143,7.64322318712827,50899.7390857532
1990,"WGOA","Arrowtooth flounder",231,15545.0046162437,11236.4305242015,231,1622.614,6,5.3,12.3666666666667,2.59083410270729,4203.92368673029
1990,"WGOA","Arrowtooth flounder",232,29309.2531014928,23945.4357638096,232,3208.227,5,4.76666666666667,12.875,5.86185062029856,18806.1474300086
1990,"WGOA","Arrowtooth flounder",310,305.824121672577,337.554404982168,310,2531.101,7,NA,8.15,0.0436891602389396,110.58167716994
1990,"WGOA","Arrowtooth flounder",320,1240.80721143055,572.015571200483,320,1603.961,4,3.8,10.7666666666667,0.310201802857638,497.55159391334
1990,"WGOA","Arrowtooth flounder",330,2340.93928188059,1244.65915243867,330,2911.769,6,4.5,12.7333333333333,0.390156546980098,1136.04573864369
1990,"WGOA","Atka mackerel",10,87041.757476173,115312.868985194,10,8332.718,24,NA,6.09333333333333,3.62673989484054,30220.6008030559
1990,"WGOA","Atka mackerel",11,25.2639769387964,88.775390676997,11,13681.241,29,NA,6.60625,0.000871171618579185,11.9187088661419
1990,"WGOA","Atka mackerel",111,38.2081383324692,41.8076279672206,111,8153.739,24,NA,6.75,0.00159200576385288,12.9807994849521
1990,"WGOA","Atka mackerel",121,27.5258563049177,20.2247290998661,121,7734.619,21,4.65,10.5875,0.00131075506213894,10.138191007966
1990,"WGOA","Big skate",10,2042.9704233724,60.5917022087493,10,8332.718,24,NA,6.09333333333333,0.0851237676405167,709.312350845951
1990,"WGOA","Big skate",11,420.326347720919,21.5507766468888,11,13681.241,29,NA,6.60625,0.0144940119903765,198.296071097231
1990,"WGOA","Big skate",21,755.274007332211,24.4869020662758,21,7302.086,4,4.8,10.15,0.188818501833053,1378.76893877611
1990,"WGOA","Big skate",22,1849.19122767143,118.335179836785,22,10792.012,13,8.5,10.6545454545455,0.142245479051648,1535.11491687114
