"","year","model","tot_bio_tons_Arrowtooth_flounder","tot_bio_tons_Atka_mackerel","tot_bio_tons_Big_skate","tot_bio_tons_Black_rockfish","tot_bio_tons_Chinook_salmon","tot_bio_tons_Chum_salmon","tot_bio_tons_Deep_water_flatfish","tot_bio_tons_Demersal_shelf_rockfish","tot_bio_tons_Eulachon","tot_bio_tons_Flathead_sole","tot_bio_tons_Gelatinous_carnivores","tot_bio_tons_Gelatinous_filter_feeders","tot_bio_tons_Infauna","tot_bio_tons_King_crab","tot_bio_tons_Large_sculpins","tot_bio_tons_Lingcod","tot_bio_tons_Longnose_skate","tot_bio_tons_MISC_NA","tot_bio_tons_MISC_SHELLS","tot_bio_tons_Miscellaneous_deep_sea_fish","tot_bio_tons_Motile_epifauna","tot_bio_tons_Octopus","tot_bio_tons_Other_skates","tot_bio_tons_POP","tot_bio_tons_Pacific_capelin","tot_bio_tons_Pacific_cod","tot_bio_tons_Pacific_dogfish","tot_bio_tons_Pacific_halibut","tot_bio_tons_Pacific_herring","tot_bio_tons_Pacific_sandlance","tot_bio_tons_Pandalid_shrimp","tot_bio_tons_Pelagic_shelf_rockfish","tot_bio_tons_Pink_salmon","tot_bio_tons_Rex_sole","tot_bio_tons_Sablefish","tot_bio_tons_Salmon_shark","tot_bio_tons_Sessile_epifauna","tot_bio_tons_Shallow_water_flatfish","tot_bio_tons_Sharks_demersal","tot_bio_tons_Shelf_demersals","tot_bio_tons_Shelf_forage_fish","tot_bio_tons_Slope_demersals","tot_bio_tons_Slope_forage_fish","tot_bio_tons_Slope_rockfish","tot_bio_tons_Sockeye_salmon","tot_bio_tons_Squid","tot_bio_tons_Tanner_crab","tot_bio_tons_Thornyheads","tot_bio_tons_Walleye_pollock","tot_bio_tons_Coho_salmon","tot_bio_tons_Unlisted_rockfish","tot_bio_tons_Euphausiids","tot_bio_tons_Pacific_saury","tot_bio_tons_Mysids","tot_bio_tons_Pacific_hake","tot_bio_tons_Pacific_pomfret","tot_bio_tons_ZERO","tot_bio_tkm2_Arrowtooth_flounder","tot_bio_tkm2_Atka_mackerel","tot_bio_tkm2_Big_skate","tot_bio_tkm2_Black_rockfish","tot_bio_tkm2_Chinook_salmon","tot_bio_tkm2_Chum_salmon","tot_bio_tkm2_Deep_water_flatfish","tot_bio_tkm2_Demersal_shelf_rockfish","tot_bio_tkm2_Eulachon","tot_bio_tkm2_Flathead_sole","tot_bio_tkm2_Gelatinous_carnivores","tot_bio_tkm2_Gelatinous_filter_feeders","tot_bio_tkm2_Infauna","tot_bio_tkm2_King_crab","tot_bio_tkm2_Large_sculpins","tot_bio_tkm2_Lingcod","tot_bio_tkm2_Longnose_skate","tot_bio_tkm2_MISC_NA","tot_bio_tkm2_MISC_SHELLS","tot_bio_tkm2_Miscellaneous_deep_sea_fish","tot_bio_tkm2_Motile_epifauna","tot_bio_tkm2_Octopus","tot_bio_tkm2_Other_skates","tot_bio_tkm2_POP","tot_bio_tkm2_Pacific_capelin","tot_bio_tkm2_Pacific_cod","tot_bio_tkm2_Pacific_dogfish","tot_bio_tkm2_Pacific_halibut","tot_bio_tkm2_Pacific_herring","tot_bio_tkm2_Pacific_sandlance","tot_bio_tkm2_Pandalid_shrimp","tot_bio_tkm2_Pelagic_shelf_rockfish","tot_bio_tkm2_Pink_salmon","tot_bio_tkm2_Rex_sole","tot_bio_tkm2_Sablefish","tot_bio_tkm2_Salmon_shark","tot_bio_tkm2_Sessile_epifauna","tot_bio_tkm2_Shallow_water_flatfish","tot_bio_tkm2_Sharks_demersal","tot_bio_tkm2_Shelf_demersals","tot_bio_tkm2_Shelf_forage_fish","tot_bio_tkm2_Slope_demersals","tot_bio_tkm2_Slope_forage_fish","tot_bio_tkm2_Slope_rockfish","tot_bio_tkm2_Sockeye_salmon","tot_bio_tkm2_Squid","tot_bio_tkm2_Tanner_crab","tot_bio_tkm2_Thornyheads","tot_bio_tkm2_Walleye_pollock","tot_bio_tkm2_Coho_salmon","tot_bio_tkm2_Unlisted_rockfish","tot_bio_tkm2_Euphausiids","tot_bio_tkm2_Pacific_saury","tot_bio_tkm2_Mysids","tot_bio_tkm2_Pacific_hake","tot_bio_tkm2_Pacific_pomfret","tot_bio_tkm2_ZERO"
"1",1990,"WGOA",1904324.78102564,43518.5352834349,8816.40976089658,734.481447101778,601.167510805092,710.370566620556,90207.9084779636,796.97006949706,23060.2249328089,223486.905514173,44152.8813702259,340.699643639575,572.159957556262,783.062270588811,25356.1499722841,1033.27555920767,9773.12287492844,205.679426700094,1542.42533878327,162.079872771066,13624.2241707833,957.605174466411,11016.6641506406,88737.0282331401,128.207543332478,401414.886675911,13093.7345459116,283787.482759242,6976.48085820788,23.3387533942071,7470.58101429725,28966.8401628653,0.792306156476015,107267.931229138,214550.161014129,13091.1464560131,62768.7509568247,204774.772335413,974.398091054016,14429.7536487583,314.940860060564,42076.9031874937,25.3891909936388,218257.591614674,20.0505122615337,3085.15738034634,1072.1438832307,13349.8819496794,862086.151976055,NA,NA,NA,NA,NA,NA,NA,NA,8.11147441499553,0.185367269830697,0.0375535113128724,0.00312852488494438,0.00256067396255576,0.00302582455142191,0.384240728755926,0.00339469527081451,0.0982250645532103,0.951942827309316,0.188069267990111,0.00145121067063576,0.00243711624363936,0.0033354549793804,0.108004560888085,0.00440123887777122,0.0416286323343929,0.000876091843151988,0.0065699631687001,0.000690379474272321,0.058032404391625,0.00407892075435164,0.0469254983639876,0.37797551202804,0.000546100233485765,1.70982734432323,0.0557727829959247,1.20879323140341,0.0297163312434453,9.94114569748133e-05,0.0318209516393452,0.123384301462379,3.374829325929e-06,0.456907922631785,0.913876749984826,0.055761759022911,0.267363593920829,0.872238466455621,0.00415045020910156,0.0614635584763813,0.00134149109126337,0.179226635639209,0.000108145299170774,0.929668556488285,8.54051886723808e-05,0.0131412327383755,0.00456679856538753,0.0568638432671729,3.67205732706451,NA,NA,NA,NA,NA,NA,NA,NA
"2",1993,"WGOA",1552989.07933241,22770.7340381515,24246.984232067,117.980883555394,2157.36550550966,3365.81826451732,60330.7863891025,1145.53223752677,24416.4150858914,166953.888860979,7297.42130944311,25.3447808873355,2409.10031697133,892.306551624045,23568.1501262901,2889.0174028788,14612.2166055611,78.1860445978429,1919.02593691723,22.8700176783087,17059.2346731911,1180.67294617114,5153.56263331097,465006.400290334,39.5095803282064,395693.372785371,8452.92008429137,502807.923909522,3338.86404569473,2.02864962750258,5416.15631775738,51867.816448425,36.1179067261711,82521.426435684,265788.105286746,7160.03043634753,52387.4793501663,290029.728739738,7161.3511955738,18327.8117742895,492.072175533168,99375.5896111317,77.23075158953,250446.421571717,1640.95823541548,8911.79278763945,5444.1998367811,31835.3435045299,747503.237781245,164.294137065473,14.6199914172275,NA,NA,NA,NA,NA,NA,6.61495943826752,0.0969919776298113,0.103280067664342,0.000502539759999721,0.00918930178092342,0.01433670821815,0.256979079990861,0.00487939637651854,0.104001758654031,0.711140353511793,0.0310833776028008,0.000107956134252775,0.0102615666082683,0.00380078116713531,0.100388572717734,0.0123057741943089,0.0622407597293069,0.000333033580555272,0.00817409401175429,9.7414876452001e-05,0.0726638370564433,0.00502907828053708,0.0219516081829616,1.98069549708466,0.000168291119861839,1.68545654686232,0.0360052264607947,2.14171114669447,0.0142218966804679,8.64103629508764e-06,0.0230701263969499,0.220931046150903,0.000153844280792662,0.351500146346609,1.13212485460722,0.0304981609616728,0.223144551102315,1.23538208802462,0.0305037867376849,0.0780673432238457,0.0020959822095151,0.423290481034253,0.000328964508476306,1.06677692857205,0.00698966419765856,0.0379597954660581,0.0231895778105605,0.135602695980519,3.18399122292746,0.000699811136534492,6.22738765518898e-05,NA,NA,NA,NA,NA,NA
"3",1996,"WGOA",1559665.31889239,219542.137526391,32985.3496378466,19.3838614738009,2861.85810893508,2105.23860086371,55847.3570706573,652.517291141981,27327.0554080399,219770.583206581,12989.2869674351,39.1125714872026,1150.69009831399,556.292821777828,30396.2245075213,6221.37799803315,20710.4514248507,21.8308120137084,644.366595983898,0.454778630491189,24335.1566616762,2167.70516655561,12276.0134332105,792197.218172387,984.859082410521,500543.988119065,3910.94594612072,458776.763338547,31.4618707727308,3.86009869822335,6032.85898149211,84807.661445353,22.0892864834854,67266.6497975526,152261.802143087,NA,85157.5141784611,288913.642963476,16180.3301978863,14635.943075829,292.055325077843,94897.2727606299,108.729608938409,253046.305566217,NA,5837.69922701489,1916.68538326108,52123.2671585492,755689.876140667,70.6165617579823,NA,0.0141220437004905,NA,NA,NA,NA,NA,6.64339689122659,0.935140081829757,0.140501148923227,8.25655885882403e-05,0.0121900891388242,0.0089672671481856,0.237881905721867,0.0027793984330707,0.116399635707149,0.936113146565639,0.0553278883703013,0.000166600060076021,0.00490136629269489,0.00236953015370952,0.129472766337908,0.0264999694169198,0.088216200581713,9.29883782809358e-05,0.00274468053416083,1.9371302954579e-06,0.103655638267639,0.00923334358349281,0.0522896986237811,3.37436530305249,0.00419500881832056,2.13206790861635,0.0166586804396375,1.95416034864117,0.000134011888289063,1.6442096506843e-05,0.0256969723679663,0.361238367984207,9.40893506935287e-05,0.286522401142858,0.648559386912758,NA,0.362728566253902,1.2306281188964,0.0689201420545749,0.0623418226669183,0.00124401011882869,0.404215083330546,0.000463133941144937,1.07785113855633,NA,0.0248656890852763,0.00816412441975611,0.222019138854475,3.21886222196025,0.000300791356433603,NA,6.01528674653293e-08,NA,NA,NA,NA,NA
"4",1999,"WGOA",974344.854613089,4694.49421226359,45021.297748414,119.211552082395,1631.0956946265,492.800164798744,37680.8222776221,2257.11604599945,13085.2414793196,188889.031559384,2255.70924395653,54.5565978788834,1259.44582689185,190.649757005374,29992.8396539508,6112.41636508313,31951.3098413959,2.98597186950989,8008.75941823985,20.4230513594605,34799.1103543444,943.679648843601,17536.777435263,636385.697098737,129.921162425346,282944.190720841,16265.0931519543,529912.342228654,48.2134698574806,8.22317465344397,6042.73176389603,46963.6249869211,38.5560360299663,55432.759363345,114440.289827351,NA,43485.3457643583,279659.13811532,18138.8609125539,11105.2345022923,245.675047204269,360474.062053357,171.536462521259,311882.028730675,73.5364126077294,1697.37113565777,2460.48751530815,53851.2161897051,589456.687958254,157.566713342707,NA,7.098160938504,0.783149299109683,NA,NA,NA,NA,4.15022344839728,0.0199962055178486,0.191768288925732,0.000507781794535833,0.00694765468957791,0.00209908308094258,0.160501522054609,0.00961418936581801,0.0557366067653511,0.804573128509111,0.00960819709029241,0.000232383914904169,0.00536461149048537,0.00081207294132953,0.127754547916483,0.0260358471691307,0.136096654775711,1.27187518981825e-05,0.0341133234016516,8.69920195488824e-05,0.148226865562209,0.00401960495594883,0.0746979312063533,2.71068588274386,0.000553399396720596,1.20520122763283,0.0692811899914148,2.25716245936948,0.000205365351070253,3.50266254349354e-05,0.0257390255002219,0.200041634868441,0.000164229496416193,0.236115926132205,0.487458595418413,NA,0.185225899021727,1.19120854086684,0.077262506729603,0.0473027639168534,0.00104645325191166,1.53543983712721,0.00073065983326155,1.32846199437853,0.000313228465743587,0.00722995503541394,0.0104804504608131,0.229379340484098,2.51079169412804,0.000671155664553154,NA,3.02346277378095e-05,3.33582567750262e-06,NA,NA,NA,NA
"5",2001,"WGOA",1455518.64883795,205545.578866853,38391.215782505,55.6046493379922,2450.48820858294,4263.29115463318,41896.1540297536,1927.21400276356,44490.2256261186,183703.525957542,16528.5217806692,36.7352464685736,1925.06468658202,884.06336350191,34467.2707421291,6803.47003254621,23065.5972061009,97.9156751581663,553.583339596386,0.270034571270117,31710.8239933636,1444.61741662125,12563.4935068008,856389.24408763,291.906501798499,271225.591651816,17612.4354634772,357224.935761205,30110.8609774135,14.3518202824706,8988.34059834295,49861.4785329263,25.3411386407803,61354.8582425857,222516.66390984,NA,69069.8239663047,335077.357884785,38228.6538985864,14558.3688355551,2351.83006700775,296264.862800155,70.6130000288242,673885.637485183,135.580326366659,9150.09033573111,4910.96527447512,51002.9315978751,238871.755925868,137.90623732714,NA,NA,NA,NA,NA,NA,NA,6.1997839855023,0.875521718094722,0.163527444311596,0.000236848091750926,0.0104378583980109,0.0181594954122577,0.1784567343161,0.00820897109116981,0.189506186381335,0.7824854592012,0.0704032646518342,0.00015647384040127,0.00819981607549704,0.00376566929429885,0.14681339420943,0.0289793913580566,0.0982479477597898,0.000417071973114121,0.00235798911007471,1.15021268317589e-06,0.135072304925875,0.0061533501696434,0.0535142204516665,3.64779133890851,0.00124337620583507,1.15528583637442,0.0750201966971263,1.52160017854981,0.128257259930332,6.11316011794875e-05,0.0382858509867508,0.212385046628365,0.000107940620097816,0.26134111566955,0.947810081661972,NA,0.294203024364983,1.42726253557593,0.162835011710078,0.0620113950678478,0.0100176238880199,1.26194065141101,0.000300776185242624,2.87041693809708,0.000577504614474211,0.0389748242488378,0.0209182643495202,0.217247067762839,1.01747462195717,0.000587411835887011,NA,NA,NA,NA,NA,NA,NA
"6",2003,"WGOA",2692186.26968439,64775.2546085021,36946.5166053931,499.01205941825,5053.99353720725,15864.4423865123,56451.4345765176,1603.62448848529,76953.4786992523,298010.246119841,11631.6600048152,18.5656546674446,3861.96197710404,1748.89964868923,27416.7516483259,4919.56723595576,28110.8234828148,25.4506104247761,1415.2753274396,4.50558508372756,33736.7227689574,3976.03772569933,19337.3060013784,512954.314881966,15080.1047104073,310353.166229777,49542.8385071436,540097.725621058,1200.38359828593,9.52288205181256,7204.16205720318,70052.1623014009,47.0512289461642,79570.1158078552,239030.000114213,4513.34636398996,38748.073168752,355700.918994014,56937.6130274388,10863.9284598487,321.604507345844,449914.156760067,96.7816485272696,177977.62872364,70.3494947882799,4781.53510417732,7977.86943279113,96576.1976580835,474771.908649144,159.036789909081,NA,NA,NA,NA,NA,NA,NA,11.4673716713311,0.275910299396882,0.157373745883013,0.00212554265589367,0.0215274934607163,0.067574617422695,0.240454974812961,0.00683064104359496,0.327783464161875,1.26937511442019,0.0495450741769846,7.90804354032041e-05,0.0164500331461807,0.00744944081812394,0.116781696984433,0.0209549044180443,0.119738097060576,0.000108406915334791,0.0060283674943923,1.91915467862357e-05,0.143701623962909,0.0169359389776449,0.0823672854798649,2.18492971508026,0.0642337298515026,1.32194980213924,0.211027798934861,2.30054711602974,0.00511303583437719,4.05627311527685e-05,0.0306861396704675,0.298387296056133,0.000200414784071315,0.338929034062157,1.01814866332757,0.0192246059717819,0.165047478912409,1.51510862672091,0.242525852693174,0.0462749204476261,0.00136987490740842,1.91641006191078,0.000412241584887231,0.758095990882315,0.000299653784253996,0.020366956334543,0.0339817474598042,0.41136646658517,2.02229169537561,0.000677417458011413,NA,NA,NA,NA,NA,NA,NA
"7",2005,"WGOA",1726360.99799866,96016.0694736909,32813.0987496818,16164.0158773385,3357.13985472508,4662.09455557142,47872.4525639073,2676.27060728594,36762.9841424287,233845.245603376,9873.00076697446,100.204848622853,2348.07815292704,526.884672273303,33712.186029378,12857.3266186301,33110.533465448,485.784193287859,586.207082513997,12.5927958419618,32027.1321395297,1030.47176554476,28875.1406629651,859703.669353637,455.974302340073,304764.433581366,15905.7040104397,516883.501493145,1489.75926656356,33.5986896931889,7571.66957562708,231978.033707868,147.269753330853,87463.3890302244,217632.509266684,2838.69965380839,66541.3497146311,372479.195529544,46030.2448356575,18490.816975932,631.948020906678,592930.948746249,165.322009346074,500396.269516799,427.527560262908,3769.07264044028,5382.53404490054,69946.9042676836,404781.279875699,1145.24620559353,NA,NA,NA,0.228265187930772,10.828546688424,NA,NA,7.35343739988005,0.408980599698341,0.139767445992808,0.0688506511804133,0.0142997425179217,0.0198581991289533,0.203912787369222,0.0113995788821866,0.156591989066902,0.996064193292978,0.0420540623734426,0.000426822711105511,0.0100016426040623,0.00224426609440875,0.143597109681885,0.0547658030559731,0.141034369634776,0.00206919853920163,0.00249694999460149,5.36390337946038e-05,0.136419619974466,0.00438929611423202,0.122993707297603,3.66190913856827,0.00194222326158825,1.29814458658907,0.0677503713750372,2.20166609166155,0.00634563195082959,0.00014311367185848,0.032251538526123,0.988110801272511,0.000627295747105984,0.372550443829946,0.927006017238936,0.0120914456626049,0.283432984293152,1.58657572214586,0.196065900638715,0.0787616641379084,0.00269178359398904,2.52559031344637,0.0007041893601385,2.1314387009965,0.00182105431874404,0.0160543708698287,0.0229269122725685,0.29793894929513,1.72416650147907,0.00487817802304679,NA,NA,NA,9.72295928815974e-07,4.61242117363138e-05,NA,NA
"8",2007,"WGOA",1800435.90509014,83403.8801448005,24780.2450504441,9202.13858055224,912.350219773929,3033.94555977892,51998.852939945,1127.44251593467,43224.1477279402,286587.320967457,828.109858834944,38.331366939414,3844.30327579294,324.892285960378,32888.2309464568,7779.38994045895,26248.4875655149,170.635328180799,750.800925708755,4.1565833699735,23549.3095883149,2668.0771223708,31756.2696392939,776424.844145257,786.832637318738,251479.075553437,17415.1439124079,359820.332313651,1948.92921141368,4.08119522624425,7852.34720894987,74618.2148010366,165.087189023099,108105.922571996,154525.122043007,NA,63398.6224894284,419064.036810221,32258.5567910411,14820.7303465594,2510.67960636848,391545.489848402,129.305492723328,330982.838833141,NA,9947.01474456545,4608.81556005723,52719.1988005853,300613.783470884,108.530226519407,NA,0.0133282537118741,NA,NA,965.295713968755,NA,NA,7.66895958372835,0.355258959315509,0.105551492963159,0.0391965238299275,0.00388615720330331,0.0129230959077167,0.221489196293665,0.00480234317880212,0.184113325572721,1.22071914667708,0.00352733525272272,0.000163272518069845,0.0163748158800325,0.0013838792056141,0.140087471703734,0.0331363237484735,0.111805474276993,0.000726821450113914,0.00319803772986743,1.7704973434824e-05,0.100308321416447,0.0113646787202389,0.135265880726552,3.30718285095212,0.00335151486242644,1.07117551983953,0.0741798330234827,1.53265527426756,0.0083014670567408,1.73838575174412e-05,0.033447085348936,0.317836403896012,0.000703189142601602,0.460477348081323,0.658200001604159,NA,0.270046532709609,1.7850039272188,0.137405373643398,0.0631289243386924,0.0106942437520246,1.66778863293564,0.000550776950651647,1.40982192520314,NA,0.0423693250279873,0.0196312571633411,0.224557510625733,1.28046488588243,0.000462284671416031,NA,5.6771717754053e-08,NA,NA,0.00411167861951852,NA,NA
"9",2009,"WGOA",1456587.41544004,145912.870904659,28894.3225705291,104.510629131677,585.692170885659,6308.98502019461,43252.3688837643,1037.09143117592,59488.3692626884,223184.540441789,3757.86440081262,9.45211777189534,1521.74207234726,405.184486588679,41804.4939052288,9985.36312330802,25152.838546073,76.9239887456158,1537.89805127594,5.83181832926126,30475.1521225095,3951.84675661576,23672.8662807808,746172.866437019,378.621121890236,767774.961312254,9469.70110301259,436157.74939884,10359.9779650593,2.08137920363976,5164.92199748639,66409.6425393995,256.450678766928,117867.546755614,138020.032216695,NA,63908.6138444416,396554.799394984,36908.1778868379,10758.9138865118,575.40521551615,403081.424137982,119.107183801772,189768.436098496,NA,7834.42702603365,21819.9688855533,54813.2995752276,760105.518900172,NA,NA,NA,NA,0.356164834597025,12.4182021452244,NA,NA,6.20433639853333,0.62151610426675,0.123075412663193,0.00044516318998911,0.00249475672770666,0.0268731316662994,0.184233533630564,0.00441749259045186,0.253390802909269,0.950654902805538,0.0160066293554176,4.02613105906021e-05,0.00648186276262132,0.00172588396111037,0.178066307870798,0.0425326700078596,0.107138555546759,0.000327657851657745,0.00655067918040622,2.48406393919987e-05,0.129808958638713,0.0168328975065941,0.100834611343315,3.17832450408378,0.00161273726718793,3.27033866135184,0.0403362068172905,1.85781462301051,0.0441283425184627,8.86563800799504e-06,0.0219999934126229,0.28287197737206,0.00109235207158614,0.502057001721904,0.587896545398949,NA,0.272218841692444,1.68912579486765,0.157210442050725,0.0458276107064983,0.00245093942504937,1.71692596327726,0.000507337237679541,0.808318953533558,NA,0.0333707543014775,0.0929421919594195,0.233477336185522,3.23767065927429,NA,NA,NA,NA,1.51708467596526e-06,5.28953516673659e-05,NA,NA
"10",2011,"WGOA",1392255.15121117,100709.045751244,29663.6134147512,17297.6657345201,1734.43257286706,2457.1446456331,41911.1140828758,2632.2213383015,36264.2965901053,234789.172348019,1442.98887352615,71.0623763094698,2074.82340987021,631.53617783539,32872.2350217011,13189.2057857516,22722.8197140815,324.940678116207,862.553134916621,2.25780612685832,19976.9806767392,5640.39435878748,19190.8852408841,859947.727203987,325.245943350703,479131.349470289,10399.6310754275,336267.597465195,17363.5133825406,3.52577312067162,5039.73992259644,83500.2999054004,40.836742857891,91249.157271642,112733.870610458,2048.13599285215,52760.6630195492,307434.675463263,30464.644493913,6425.60707280354,288.05199689891,371134.323678718,256.854913316035,317803.081235943,84.9540680216896,3592.5325246804,7495.79378107663,44476.3733468031,697210.971289232,2.75321121460738,NA,NA,NA,NA,NA,NA,NA,5.93031301735871,0.42897033957089,0.126352208230195,0.0736794345390687,0.00738781828579094,0.0104662115021481,0.178520456686022,0.0112119509513175,0.154467828649491,1.00008485075388,0.00614641338775553,0.000302690304220375,0.0088377135940707,0.00269002934777588,0.140019337036952,0.0561794428929372,0.0967878864906954,0.00138408533207835,0.00367404644163803,9.61712876632719e-06,0.0850919807707151,0.0240252686871766,0.0817436060190886,3.66294870336762,0.00138538560982723,2.04086074044436,0.044297245004757,1.43233236295013,0.0739599126998991,1.50180361807841e-05,0.0214667801667505,0.355669659438198,0.000173944170754912,0.388675929638529,0.480190100066673,0.00872403849909676,0.224734127531953,1.30951848610594,0.129764201378096,0.0273698834837346,0.00122695793612236,1.58084723837139,0.00109407390928704,1.35368272688428,0.000361861987027541,0.0153023979676879,0.0319283454592965,0.189447182575694,2.96977123430641,1.17273075206943e-05,NA,NA,NA,NA,NA,NA,NA
