"race_group","stationid","station_avg_st","station_avg_bt","station_catch"
"Arrowtooth flounder","0-11",4.7,4.3,4.85
"Arrowtooth flounder","0-5",7.8,4.5,17.29
"Arrowtooth flounder","1-3",7,4.8,1.214
"Arrowtooth flounder","1-4",4.9,4.7,4.43
"Arrowtooth flounder","1-6",4,3.7,5.7
"Arrowtooth flounder","1-7",5.3,3.9,16.88
"Arrowtooth flounder","1-8",5.64,4.24,222.98
"Arrowtooth flounder","1-9",4.83333333333333,4.13333333333333,33.56
"Arrowtooth flounder","100-44",6.35,4.65,13.074
"Arrowtooth flounder","100-47",7.5,5.8,0.43
"Arrowtooth flounder","100-50",9,5.1,185.519
"Arrowtooth flounder","100-51",5.9,5.4,252.328
"Arrowtooth flounder","100-52",8,5,136.078
"Arrowtooth flounder","100-54",6.05,4.55,1132.362
"Arrowtooth flounder","100-56",6.2,4.5,133.8
"Arrowtooth flounder","100-70",5.3,3.9,375.628
"Arrowtooth flounder","100-71",6.2,2.3,39.018
"Arrowtooth flounder","100-72",5.3,2.4,104.09
"Arrowtooth flounder","101-43",6.36666666666667,4.93333333333333,897.94
"Arrowtooth flounder","101-44",7.4,4.8,80.36
"Arrowtooth flounder","101-45",7.3,5.3,235.06
"Arrowtooth flounder","101-46",5.8,3.6,2.68
"Arrowtooth flounder","101-47",5.7,3.55,13.1
"Arrowtooth flounder","101-48",6.8,4.5,420.3
"Arrowtooth flounder","101-53",8.1,4.9,32.205
"Arrowtooth flounder","101-55",5.5,4,515.59
"Arrowtooth flounder","101-58",6.2,4.7,2.8
"Arrowtooth flounder","101-67",7.95,6.3,89.025
"Arrowtooth flounder","101-72",6,5.05,198.338
"Arrowtooth flounder","101-73",6.7,5.4,44.02
"Arrowtooth flounder","101-75",6.06666666666667,4.66666666666667,121.72
"Arrowtooth flounder","102-43",5.1,4.4,11.46
"Arrowtooth flounder","102-44",5.84285714285714,4.82857142857143,795.912
"Arrowtooth flounder","102-46",7.8,5.4,410
"Arrowtooth flounder","102-47",7.6,5.65,228.94
"Arrowtooth flounder","102-48",9.1,5.2,168.283
"Arrowtooth flounder","102-50",3.9,2.8,201.3
"Arrowtooth flounder","102-63",5.45,4.2,404.218
"Arrowtooth flounder","102-71",5,3.25,201.678
"Arrowtooth flounder","102-72",5.75,3.9,171.271
"Arrowtooth flounder","102-76",4.8,3.85,0.909
"Arrowtooth flounder","102-77",6.6,5.6,16.04
"Arrowtooth flounder","102-78",5.4,4.6,0.062
"Arrowtooth flounder","103-43",6.9,3.8,4.59
"Arrowtooth flounder","103-44",4.5,4,304.8
"Arrowtooth flounder","103-45",6.07142857142857,4.78571428571429,289.602
"Arrowtooth flounder","103-46",3.9,3.3,130.9
"Arrowtooth flounder","103-47",6.36666666666667,4.86666666666667,727.755
"Arrowtooth flounder","103-51",9.1,4.8,0.68
"Arrowtooth flounder","103-53",6.2,4.3,10.34
"Arrowtooth flounder","103-54",7.7,5.5,8.59
"Arrowtooth flounder","103-64",6.1,4.5,303.9
"Arrowtooth flounder","103-71",7.1,4.1,1.59
