"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","assigned_group"
1991,"AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,83.04,"Atka mackerel"
1991,"AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,1146.26,"Atka mackerel"
1991,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,183.43,"Arrowtooth flounder"
1991,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,14695.18,"Arrowtooth flounder"
1991,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,2079.77,"Arrowtooth flounder"
1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,3.62,"Demersal shelf rockfish"
1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,36.05,"Demersal shelf rockfish"
1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,94.35,"Demersal shelf rockfish"
1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,56.18,"Demersal shelf rockfish"
1991,"DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,39.91,"Deep-water flatfish"
1991,"DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,1405.72,"Deep-water flatfish"
1991,"DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,8585,"Deep-water flatfish"
1991,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,1.98,"Flathead sole"
1991,"FSOL","Flathead Sole","sole, flathead","D","TRW",0,348.69,"Flathead sole"
1991,"FSOL","Flathead Sole","sole, flathead","R","TRW",0,881.34,"Flathead sole"
1991,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,206.47,"Pacific cod"
1991,"PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,1173.54,"Pacific cod"
1991,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,6685.52,"Pacific cod"
1991,"PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,56401.3,"Pacific cod"
1991,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,0.76,"Pelagic shelf rockfish"
1991,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,265.3,"Pelagic shelf rockfish"
1991,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,697.42,"Pelagic shelf rockfish"
1991,"PLCK","Pollock","pollock, walleye","D","HAL",0,16.41,"Walleye pollock"
1991,"PLCK","Pollock","pollock, walleye","D","TRW",0,8611.38,"Walleye pollock"
1991,"PLCK","Pollock","pollock, walleye","R","TRW",0,79200.22,"Walleye pollock"
1991,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,2.4,"Pacific ocean perch"
1991,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,1053.15,"Pacific ocean perch"
1991,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,3331.13,"Pacific ocean perch"
1991,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,21.7,"Sablefish"
1991,"SABL","Sablefish","sablefish (blackcod)","D","TRW",0,183.91,"Sablefish"
1991,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,10877.8,"Sablefish"
1991,"SABL","Sablefish","sablefish (blackcod)","R","TRW",0,2019.57,"Sablefish"
1991,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,3.35,"Shallow-water flatfish"
1991,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,2158.92,"Shallow-water flatfish"
1991,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,3053.27,"Shallow-water flatfish"
1991,"SLR1","Slope Rockfish","rockfish, unspecified slope","D","TRW",0,346.27,"Slope rockfish"
1991,"SLR1","Slope Rockfish","rockfish, unspecified slope","R","TRW",0,1837.81,"Slope rockfish"
1991,"SLR3","Other Slope Rockfish","rockfish, unspecified slope","D","TRW",0,818.39,"Slope rockfish"
1991,"SLR3","Other Slope Rockfish","rockfish, unspecified slope","R","TRW",0,4009.67,"Slope rockfish"
1991,"SQID","Squid","squid, majestic","D","TRW",0,2.9,"Squid"
1991,"SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","HAL",0,6.02,"Slope rockfish"
1991,"SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","TRW",0,176.06,"Slope rockfish"
1991,"SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","HAL",0,15.66,"Slope rockfish"
1991,"SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","TRW",0,1110.07,"Slope rockfish"
1991,"THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","HAL",0,37.53,"Thornyheads"
