"","year","Arrowtooth flounder_35","Flathead sole_39","Shallow water flatfish_41","Deep water flatfish_42","Pacific ocean perch_43","Slope rockfish_45","Demersal shelf rockfish_46","Pelagic shelf rockfish_47","Sablefish_49","Pacific cod_51","Walleye pollock_53","Atka mackerel_57","Squid_61","Rex sole _37","Salmon shark_28","Large sculpins_55","Octopus_62","Pacific halibut_33"
"1",1991,0.072234323952481,0.00524775417538091,0.0222156247204699,0.0427255302020284,0.0186850904506132,0.00930310219833112,0.000810158070273332,0.00410394898815431,0.0558122239307575,0.274596859040163,0.374103948988154,0.00523621091370666,1.23525678432842e-05,0,0,0,0,0
"2",1992,0.0872439717339172,0.00980189036883064,0.035472272744698,0.0357339768027295,0.0183461615460304,0.0351055718599986,0.000904037585882293,0.0100952851526394,0.0535664419067253,0.336358292619554,0.385848174162688,0.0271760752058406,8.50623378725471e-05,0,0,0,0,0
"3",1993,0.0779253223381281,0.0120258211262986,0.0381245820359587,0.0280666101572184,0.00688762144916918,0,0.000366274934084142,0.0089988882688941,0.0540719600969464,0.19529482171837,0.461007117634781,0.00918447495197407,0,0,0,0,0,0
"4",1994,0.0936803411012527,0.0106966422312997,0.0153208898960255,0.0119508964130699,0.00457509296372179,0,0.000145845490673811,0.00711818851722331,0.0422130690167782,0.19427854614536,0.427707065242856,0.0150673214947459,0,0.0151533635190336,0,0,0,0
"5",1995,0.0741813868100132,0.00916019576690279,0.02196009694636,0.00844753779246834,0.0171149512925471,0,0.000213060497765889,0.00800011926617228,0.0401230997278176,0.289251051033143,0.294622075316588,0.00297275193914018,0,0.0163867035255932,0,0,0,0
"6",1996,0.0918162534235781,0.0125282724720896,0.0336079720917157,0.00838513602732899,0.0261165230503175,0,0.00019163518181702,0.0054521678756565,0.0353557752514174,0.235941116586943,0.212233599836435,0.00599346591756152,0,0.0245037036405999,0,0,0,0
"7",1997,0.0628629844655811,0.00977974093683578,0.0284113319901691,0.0113219377345391,0.0341660951829245,0,0.000366573099514842,0.008165217724657,0.0322910179793755,0.250972573039882,0.358563737120318,0.00138169860586364,0,0.0132138399873919,0,0,0,0
"8",1998,0.0527207169600757,0.00678560627680827,0.0135209929760744,0.0074733461402485,0.0286257981249654,0,0.000115943757480758,0.00974749647525866,0.0308464916577572,0.213907926515,0.0231222180100439,0.00134911338379428,0,0.0111751551525116,0,0,0,0
"9",1999,0.062398485319612,0.00341361082596084,0.00951143464426734,0.00802260945865936,0.0380537890436983,0,0.000256038914848212,0.015938305312882,0.031061639313538,0.282254769582015,0.385727672733623,0.000610302041581299,0,0.0127202058193373,0,0,0,0
"10",2000,0.0979420196022473,0.00610612985530458,0.0247311612691625,0.00357347009187755,0.0399622607754857,0,3.07536344236249e-05,0.0135270840698729,0.0328358940064489,0.227393182234452,0.0236523135507669,0.000715852604049087,0,0.0152141466718349,0,0,0,0
