"year","Atka mackerel_57_fed_ft_HAL","Atka mackerel_57_fed_ft_POT","Atka mackerel_57_fed_ft_TRW","Atka mackerel_57_state_ft_POT","Atka mackerel_57_state_ft_TRW","Gelatinous carnivores_71_fed_ft_POT","Gelatinous carnivores_71_fed_ft_TRW","Gelatinous carnivores_71_state_ft_OTH","Infauna_70_fed_ft_TRW","Infauna_70_state_ft_OTH","King crab_64_fed_ft_TRW","King crab_64_state_ft_POT","Lingcod_56_fed_ft_HAL","Lingcod_56_fed_ft_JIG","Lingcod_56_state_ft_HAL","Lingcod_56_state_ft_JIG","Lingcod_56_state_ft_POT","Lingcod_56_state_ft_TRW","Motile epifauna_67_fed_ft_TRW","Motile epifauna_67_state_ft_OTH","Motile epifauna_67_state_ft_POT","Motile epifauna_67_state_ft_TRW","Octopus_62_fed_ft_HAL","Octopus_62_fed_ft_JIG","Octopus_62_fed_ft_POT","Octopus_62_fed_ft_TRW","Octopus_62_state_ft_HAL","Octopus_62_state_ft_POT","Octopus_62_state_ft_TRW","Pacific dogfish_27_fed_ft_HAL","Pacific dogfish_27_fed_ft_POT","Pacific dogfish_27_fed_ft_TRW","Pacific dogfish_27_state_ft_HAL","Pacific halibut_33_fed_ft_HAL","Pacific halibut_33_fed_ft_POT","Pacific halibut_33_fed_ft_TRW","Pacific halibut_33_state_ft_HAL","Pacific halibut_33_state_ft_JIG","Pacific halibut_33_state_ft_OTH","Pacific halibut_33_state_ft_POT","Pacific halibut_33_state_ft_TRW","Pacific herring_21_fed_ft_TRW","Pacific herring_21_state_ft_OTH","Pacific herring_21_state_ft_TRW","Salmon returning_18_fed_ft_HAL","Salmon returning_18_fed_ft_TRW","Salmon returning_18_state_ft_OTH","Salmon returning_18_state_ft_TRW","Shelf demersal fish_58_fed_ft_HAL","Shelf demersal fish_58_fed_ft_JIG","Shelf demersal fish_58_fed_ft_POT","Shelf demersal fish_58_fed_ft_TRW","Shelf demersal fish_58_state_ft_HAL","Shelf demersal fish_58_state_ft_POT","Shelf demersal fish_58_state_ft_TRW","Shelf forage fish_25_fed_ft_TRW","Shelf forage fish_25_state_ft_OTH","Shelf forage fish_25_state_ft_TRW","Slope demersal fish_59_fed_ft_HAL","Slope demersal fish_59_fed_ft_POT","Slope demersal fish_59_fed_ft_TRW","Slope demersal fish_59_state_ft_HAL","Slope demersal fish_59_state_ft_TRW","Squid_61_fed_ft_POT","Squid_61_fed_ft_TRW","Squid_61_state_ft_TRW","Tanner crab_63_fed_ft_HAL","Tanner crab_63_fed_ft_POT","Tanner crab_63_fed_ft_TRW","Tanner crab_63_state_ft_HAL","Tanner crab_63_state_ft_POT","Tanner crab_63_state_ft_TRW"
1991,NA,NA,0.00280379669249347,NA,0.00679450555652578,NA,NA,NA,NA,NA,NA,0.000209497140380544,2.93869050854244e-06,NA,4.40127349011156e-06,0.000135508216629964,NA,NA,NA,NA,0.00288932012148112,1.08196363233647e-07,NA,NA,NA,NA,4.73552296938693e-06,0.000273707817812403,1.11113800885125e-05,NA,NA,NA,NA,NA,NA,NA,0.00547702549314432,0.000111094480105977,NA,NA,0.000722133441382806,NA,0.0101104767835617,2.76673557411754e-06,NA,NA,0.358287842033233,1.64207301986208e-05,NA,NA,NA,4.69456291929514e-05,NA,NA,0.00255173394357858,NA,NA,NA,0.00053204015947591,NA,NA,3.10716770272055e-05,0.000274897977799454,NA,NA,9.8926253380983e-05,NA,NA,NA,NA,0.00474953439764194,2.56000323722468e-06
1992,NA,NA,0.0195809025254612,NA,0.026058686415157,NA,NA,NA,NA,NA,NA,0.000116144931784009,2.58724553582458e-05,NA,5.90056595206352e-05,1.79683246084449e-05,6.37972127495538e-06,2.11755739471566e-05,NA,NA,0.00335684433549574,NA,NA,NA,8.98416230422245e-07,NA,9.28556645894475e-06,0.000400979586316762,1.9038695773292e-05,NA,NA,NA,NA,NA,NA,NA,0.00399739385481047,NA,NA,1.19402415139989e-06,8.22562851568989e-05,NA,0.013158318104179,1.32482582623771e-05,NA,NA,0.350199692462378,1.04332207403874e-07,NA,NA,NA,7.2785239192568e-05,1.8528627203762e-05,1.88551483713778e-05,0.0017522401026115,NA,NA,0.000677212629733909,NA,NA,NA,0.000116738079686841,0.00149440430465692,NA,9.02666801834995e-06,5.70252796578765e-05,NA,NA,NA,NA,0.00544543215334222,1.62874168224936e-06
1993,NA,NA,NA,NA,0.00685896547244313,NA,NA,NA,NA,NA,NA,NA,NA,0.000151030530606681,3.47387609096601e-06,1.79683246084449e-05,NA,NA,NA,NA,0.00320048899812156,NA,NA,NA,NA,NA,1.53213778650503e-06,0.00027521677065541,1.21740229417001e-05,NA,NA,NA,NA,NA,NA,NA,0.00516502389157001,NA,NA,NA,7.36063723063948e-05,NA,0.0198422044733334,1.99274516141399e-05,NA,NA,0.461442710724585,3.85179053111782e-05,NA,NA,NA,NA,7.76502113992904e-06,6.52655919648676e-06,0.00109984501325132,NA,NA,0.000102809729989905,NA,NA,NA,0.000544333971265371,0.000553092080726161,NA,NA,7.34711268523527e-05,NA,NA,NA,8.69435061698947e-08,0.00365656758217652,9.60242723698614e-07
1994,NA,NA,NA,NA,0.00282685217852442,NA,NA,NA,NA,0.000906131017723805,NA,0.000649064186924168,1.93400999280143e-06,7.38961839936278e-05,NA,4.96003042139294e-05,NA,NA,NA,0.00103519768627885,0.00239286304111701,NA,NA,NA,NA,NA,7.51578308890867e-07,9.47722858639769e-05,2.36099921199136e-06,NA,NA,NA,NA,NA,NA,NA,0.00534267845414003,5.78464127717033e-05,NA,NA,6.64634802720973e-05,NA,0.0160055633622838,7.13477732579685e-05,NA,NA,0.329265191618996,0.000178446716210403,NA,NA,NA,NA,2.89232063858516e-06,NA,0.000584521191895012,NA,NA,5.90211161609923e-05,NA,NA,NA,0.000320431258045142,9.06936693941704e-05,NA,NA,3.35176876674518e-05,NA,NA,NA,NA,0.00494197901895054,9.27397399145543e-08
1995,NA,NA,NA,7.72831165954619e-07,0.000858598036793614,NA,NA,NA,NA,NA,NA,0.000341858002121234,6.66566880635859e-06,7.22828989346975e-05,2.35056599125097e-05,0.000148669531411728,2.20836505671532e-06,3.98394466049606e-06,NA,NA,0.00120360532566054,NA,NA,NA,NA,NA,1.07809947650669e-06,0.000227571729274308,6.28891361295571e-06,NA,NA,NA,NA,0.000279900127529614,NA,NA,0.0117931659461002,0.000123631733704194,NA,6.96127672733623e-06,0.000125444022762801,NA,0.0172903410799552,0.000657745012910563,NA,NA,0.645506951190319,8.23103833385157e-05,NA,NA,NA,NA,3.91438985556015e-05,2.95723845652535e-05,0.00137536512018197,NA,NA,0.000122872427066606,NA,NA,NA,0.000596395743049551,0.000237178020692681,NA,NA,5.64166751146872e-06,NA,NA,NA,NA,0.00329976882179504,3.00051700181881e-06
1996,NA,NA,NA,NA,0.000976562985743433,NA,NA,NA,NA,NA,NA,0.000906387983933143,1.21836833312746e-05,5.94848148605651e-05,2.94139541762328e-05,0.000117078125391342,NA,2.44794271816126e-05,NA,0.0003168202044137,0.00150975852817024,NA,NA,NA,NA,NA,2.34747466658716e-06,0.000233149638240142,2.02790897946492e-05,NA,NA,NA,2.07891583641793e-06,NA,NA,NA,0.0279084694060971,0.000164891257576597,NA,1.10901272314488e-06,0.000121320968526509,NA,0.0189541635011437,3.57241206462523e-06,NA,NA,0.24498211619592,2.92999615792545e-05,NA,NA,NA,NA,1.64226622765357e-06,5.03518825313393e-05,0.00172294207327202,NA,NA,2.29782026417457e-05,NA,NA,NA,0.000237463968198527,0.000269501684208733,NA,NA,2.80247901554294e-05,NA,NA,NA,NA,0.00133804123926072,NA
1997,NA,2.78219219743663e-07,2.92535917092972e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.000774939063079027,NA,NA,4.53226837444467e-05,6.0676906917012e-05,8.31179918984193e-06,1.15267768402131e-05,NA,0.000255685395005303,0.00148707786547628,NA,1.41969085185864e-05,NA,0.000556778485234422,4.07649119261913e-05,NA,0.000133127896655862,NA,NA,NA,4.01678998504913e-06,NA,1.27536463161661e-05,4.93452699462024e-06,0.000189442171624022,0.0496384647036023,0.00056780098990923,NA,NA,7.339963998654e-06,7.90393754286128e-05,0.0136829043059348,NA,NA,3.42789263659171e-05,0.2282642150105,3.03336232637188e-07,5.08909322781117e-06,NA,3.45861267543841e-05,0.00170619675374517,NA,NA,1.22551702141254e-05,0.000285381432557109,NA,NA,0.000143385298314513,NA,0.000665357399827064,NA,0.000189250895901929,NA,0.000107487290655921,NA,NA,6.3233046015445e-05,5.88704140665931e-06,NA,NA,NA
1998,NA,NA,0.000104813294813199,NA,NA,NA,NA,NA,NA,NA,5.02340257870502e-08,0.000605866788630526,NA,NA,3.45552135077459e-05,6.38377863772474e-05,NA,8.27508970945909e-06,NA,NA,0.000942850158240654,NA,6.04547179568001e-06,NA,0.000646492591014998,1.34182811188871e-05,NA,2.47132086093138e-05,NA,NA,NA,NA,NA,7.79149060565918e-05,6.80091426040065e-06,0.000300480621461948,0.0555495257039899,0.000469834979064527,NA,NA,8.71753555196811e-06,1.5616985786028e-05,0.00505926773977825,NA,NA,9.16809612257155e-05,0.358167348018265,1.15924674893193e-08,1.20561661888921e-06,NA,6.40483828784891e-05,0.00062843539072024,NA,NA,NA,0.000329877186936947,NA,NA,NA,NA,0.00128412467276344,NA,0.000204010039102266,NA,8.12786537404853e-05,NA,NA,2.63322899019888e-05,0.000132447805238341,NA,NA,NA
1999,NA,NA,0.000502419473184279,NA,NA,NA,NA,NA,NA,0.000704999774672125,NA,0.000679175621142485,NA,NA,4.83270649020952e-05,2.61777236687978e-05,2.46958199080799e-05,1.0098971261112e-05,NA,NA,0.00117359049533797,NA,2.87493193735118e-06,NA,0.000456327822242289,9.08076619996678e-07,NA,4.26061821620401e-05,NA,2.07582451175411e-05,NA,3.51696142846798e-05,NA,9.60725743177336e-05,2.71766079507942e-05,0.000259526365917136,0.0623662057171092,0.000388933080517445,0.000948853124560738,NA,1.10051158031938e-05,3.42654018205129e-05,0.00421129033645839,NA,NA,0.000112626617892482,0.338843529685776,NA,3.35022310441327e-06,NA,2.61139650976066e-05,0.00029996862084006,NA,NA,2.2257537579493e-06,2.460887640191e-05,NA,NA,1.36887720269712e-05,NA,0.000969130282107092,NA,0.000193559429652126,NA,8.63445620162798e-05,NA,NA,1.24232609927205e-06,1.98037986275871e-06,NA,NA,NA
2000,NA,2.19870466714089e-06,8.36029434465368e-05,NA,NA,NA,3.31892344219211e-05,NA,NA,NA,1.35245454042058e-08,0.000350096382316234,NA,NA,3.62496458391014e-05,6.35499067594103e-05,1.16523619046808e-05,1.02129638580903e-05,NA,NA,NA,NA,3.22850219577542e-06,NA,0.000326086450084977,7.66648516626982e-06,NA,4.85299330831583e-05,NA,1.0218760091835e-05,NA,7.10811464886761e-06,NA,0.000120150129276012,3.88734076475174e-06,0.000431946931238792,0.0591569644203451,0.000305994771839553,NA,NA,NA,1.77557960378074e-05,0.0031372598162449,NA,NA,0.000232539101584962,0.257589533155996,NA,2.0537988235244e-05,NA,0.000129526503413994,0.000804681470466714,NA,NA,NA,0.000403116464482108,NA,NA,3.15083266359698e-05,NA,0.000268396535615861,NA,NA,NA,7.46361698520673e-06,NA,NA,3.55309128547636e-06,6.12082283436058e-06,NA,NA,NA
