"year","species_group_code","species_group_name","conf_flag","catch_mt"
"1991","AMCK","Atka Mackerel",0,1229.33
"1991","ARTH","Arrowtooth Flounder",0,16959.69
"1991","DEM1","Demersal Shelf Rockfish",0,192.76
"1991","DFL1","Deep Water Flatfish",0,10040.03
"1991","FLOU","Flounder",1,NA
"1991","FSOL","Flathead Sole",0,1232.49
"1991","GTRB","Greenland Turbot",1,NA
"1991","OTHR","Other",0,4002.05
"1991","PCOD","Pacific Cod",0,72674.61
"1991","PELS","Pelagic Shelf Rockfish",0,1295.15
"1991","PLCK","Pollock",0,87919.42
"1991","POPA","Pacific Ocean Perch",0,4395.13
"1991","ROCK","Other Rockfish",0,96.18
"1991","RSOL","Rock Sole",1,NA
"1991","SABL","Sablefish",0,13109.01
"1991","SFL1","Shallow Water Flatfish",0,5217.41
"1991","SLR1","Slope Rockfish",0,2291.05
"1991","SLR3","Other Slope Rockfish",0,4828.07
"1991","SQID","Squid",0,4.16
"1991","SRRE","Shortraker/Rougheye Rockfish",0,1307.82
"1991","THDS","Thornyhead Rockfish",0,1285.1
"1991",NA,NA,1,NA
"1992","AMCK","Atka Mackerel",0,6380.66
"1992","ARTH","Arrowtooth Flounder",0,20483.51
"1992","DEM1","Demersal Shelf Rockfish",0,213.26
"1992","DFL1","Deep Water Flatfish",0,8389.9
"1992","FLOU","Flounder",1,NA
"1992","FSOL","Flathead Sole",0,2302.04
"1992","GTRB","Greenland Turbot",0,73.11
"1992","NULL",NA,0,0
"1992","OTHR","Other",0,11763.25
"1992","PCOD","Pacific Cod",0,79442.82
"1992","PELS","Pelagic Shelf Rockfish",0,2693.69
"1992","PLCK","Pollock",0,90602.91
"1992","POPA","Pacific Ocean Perch",0,4309.6
"1992","ROCK","Other Rockfish",0,6.76
"1992","RSOL","Rock Sole",1,NA
"1992","SABL","Sablefish",0,12576.14
"1992","SCNO","Sharpchin/Northern Rockfish",1,NA
"1992","SFL1","Shallow Water Flatfish",0,8332.17
"1992","SLR1","Slope Rockfish",0,8241.75
"1992","SLR3","Other Slope Rockfish",1,NA
"1992","SQID","Squid",0,20.06
"1992","SRRE","Shortraker/Rougheye Rockfish",0,1652.97
"1992","SRSN","Shortraker/Rougheye/Sharpchin/Northern Rockfish",1,NA
"1992","THDS","Thornyhead Rockfish",0,1264.4
"1992","USKT","Skate",1,NA
"1992","USMN","Unspecified Salmon",1,NA
"1992","YSOL","Yellowfin Sole",1,NA
"1992",NA,NA,1,NA
"1993","AMCK","Atka Mackerel",0,2156.46
"1993","ARTH","Arrowtooth Flounder",0,18297.16
"1993","DEM1","Demersal Shelf Rockfish",0,134.39
"1993","DFL1","Deep Water Flatfish",0,6592.44
"1993","FLOU","Flounder",1,NA
"1993","FSOL","Flathead Sole",0,2823.42
"1993","GTRB","Greenland Turbot",1,NA
"1993","NORK","Northern Rockfish",0,4679.53
"1993","OTHR","Other",0,9171.65
"1993","PCOD","Pacific Cod",0,54777.87
"1993","PELS","Pelagic Shelf Rockfish",0,2298.49
"1993","PLCK","Pollock",0,108245.25
"1993","POPA","Pacific Ocean Perch",0,1617.04
"1993","ROCK","Other Rockfish",1,NA
"1993","RSOL","Rock Sole",1,NA
"1993","SABL","Sablefish",0,12694.43
"1993","SCNO","Sharpchin/Northern Rockfish",1,NA
"1993","SFL1","Shallow Water Flatfish",0,9107.3
"1993","SLR3","Other Slope Rockfish",0,2631.25
"1993","SQID","Squid",1,NA
"1993","SRRE","Shortraker/Rougheye Rockfish",0,1281.84
"1993","THDS","Thornyhead Rockfish",0,959.03
"1993","YSOL","Yellowfin Sole",1,NA
"1993",NA,NA,0,158.04
"1994","AMCK","Atka Mackerel",0,3537.36
"1994","ARTH","Arrowtooth Flounder",0,21996.24
"1994","DEM1","Demersal Shelf Rockfish",0,97.04
"1994","DFL4","Deep Water Flatfish",0,2805.99
