"year","species_group_code","species_group_name","species_name","conf_flag","catch_mt"
"1991","AMCK","Atka Mackerel","greenling, atka mackerel",0,1229.33
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth",0,16959.69
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal",0,192.76
"1991","DFL1","Deep Water Flatfish","flatfish, deep water",0,10040.03
"1991","FLOU","Flounder","flounder, general",1,NA
"1991","FSOL","Flathead Sole","sole, flathead",0,1232.49
"1991","GTRB","Greenland Turbot","turbot, Greenland",1,NA
"1991","OTHR","Other","groundfish, general",0,4002.05
"1991","PCOD","Pacific Cod","cod, Pacific (gray)",0,72674.61
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic",0,1295.15
"1991","PLCK","Pollock","pollock, walleye",0,87919.42
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean",0,4395.13
"1991","ROCK","Other Rockfish","rockfish, other",0,96.18
"1991","RSOL","Rock Sole","sole, rock",1,NA
"1991","SABL","Sablefish","sablefish (blackcod)",0,13109.01
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water",0,5217.41
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope",0,2291.05
"1991","SLR3","Other Slope Rockfish","rockfish, unspecified slope",0,4828.07
"1991","SQID","Squid","squid, majestic",0,4.16
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye",0,1307.82
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)",0,1285.1
"1991",NA,NA,"flatfish, deep water",1,NA
"1991",NA,NA,"flatfish, shallow water",1,NA
"1991",NA,NA,"rockfish, shortraker/rougheye",1,NA
"1991",NA,NA,"rockfish, unspecified demersal",1,NA
"1991",NA,NA,"rockfish, unspecified pelagic",1,NA
"1991",NA,NA,"rockfish, unspecified slope",1,NA
"1992","AMCK","Atka Mackerel","greenling, atka mackerel",0,6380.66
"1992","ARTH","Arrowtooth Flounder","flounder, arrowtooth",0,20483.51
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal",0,213.26
"1992","DFL1","Deep Water Flatfish","flatfish, deep water",0,8389.9
"1992","FLOU","Flounder","flounder, general",1,NA
"1992","FSOL","Flathead Sole","sole, flathead",0,2302.04
"1992","GTRB","Greenland Turbot","turbot, Greenland",0,73.11
"1992","NULL",NA,"Missing value",0,0
"1992","OTHR","Other","groundfish, general",0,11763.25
"1992","PCOD","Pacific Cod","cod, Pacific (gray)",0,79442.82
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic",0,2693.69
"1992","PLCK","Pollock","pollock, walleye",0,90602.91
"1992","POPA","Pacific Ocean Perch","perch, Pacific ocean",0,4309.6
"1992","ROCK","Other Rockfish","rockfish, other",0,6.76
"1992","RSOL","Rock Sole","sole, rock",1,NA
"1992","SABL","Sablefish","sablefish (blackcod)",0,12576.14
"1992","SCNO","Sharpchin/Northern Rockfish","rockfish, dusky",1,NA
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water",0,8332.17
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope",0,8241.75
"1992","SLR3","Other Slope Rockfish","rockfish, unspecified slope",1,NA
"1992","SQID","Squid","squid, majestic",0,20.06
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye",0,1652.97
"1992","SRSN","Shortraker/Rougheye/Sharpchin/Northern Rockfish","rockfish, dark",1,NA
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)",0,1264.4
"1992","USKT","Skate","skate, other",1,NA
"1992","USMN","Unspecified Salmon",NA,1,NA
"1992","YSOL","Yellowfin Sole","sole, yellowfin",1,NA
"1992",NA,NA,NA,1,NA
"1993","AMCK","Atka Mackerel","greenling, atka mackerel",0,2156.46
"1993","ARTH","Arrowtooth Flounder","flounder, arrowtooth",0,18297.16
"1993","DEM1","Demersal Shelf Rockfish","rockfish, bocaccio",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, canary",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, china",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, quillback",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, redbanded",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, rosethorn",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, tiger",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal",0,86.16
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)",1,NA
"1993","DFL1","Deep Water Flatfish","flatfish, deep water",0,1890.94
"1993","DFL1","Deep Water Flatfish","sole, dover",0,1851.66
"1993","DFL1","Deep Water Flatfish","sole, rex",0,2831.02
"1993","DFL1","Deep Water Flatfish","turbot, Greenland",0,18.82
"1993","FLOU","Flounder","flounder, general",1,NA
"1993","FSOL","Flathead Sole","sole, flathead",0,2823.42
"1993","GTRB","Greenland Turbot","turbot, Greenland",1,NA
"1993","NORK","Northern Rockfish","rockfish, northern",0,4679.53
"1993","OTHR","Other","greenling, atka mackerel",0,2989.23
"1993","OTHR","Other","groundfish, general",0,6159.56
"1993","OTHR","Other","squid, majestic",0,22.86
"1993","PCOD","Pacific Cod","cod, Pacific (gray)",0,54777.87
"1993","PELS","Pelagic Shelf Rockfish","rockfish, black",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, blue",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, dusky",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic",0,2113.35
"1993","PELS","Pelagic Shelf Rockfish","rockfish, widow",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, yellowtail",1,NA
"1993","PLCK","Pollock","pollock, walleye",0,108245.25
"1993","POPA","Pacific Ocean Perch","perch, Pacific ocean",0,1617.04
"1993","ROCK","Other Rockfish","rockfish, other",1,NA
"1993","RSOL","Rock Sole","sole, rock",1,NA
"1993","SABL","Sablefish","sablefish (blackcod)",0,12694.43
"1993","SCNO","Sharpchin/Northern Rockfish","rockfish, dusky",1,NA
"1993","SFL1","Shallow Water Flatfish","flatfish, shallow water",0,1120.42
