"year","species_group_code","species_group_name","species_name","retained_or_discarded","conf_flag","catch_mt"
"1991","AMCK","Atka Mackerel","greenling, atka mackerel","D",0,83.07
"1991","AMCK","Atka Mackerel","greenling, atka mackerel","R",0,1146.26
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D",0,14878.93
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R",0,2080.76
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D",0,39.77
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R",0,152.99
"1991","DFL1","Deep Water Flatfish","flatfish, deep water","D",0,1445.63
"1991","DFL1","Deep Water Flatfish","flatfish, deep water","R",0,8594.4
"1991","FLOU","Flounder","flounder, general","R",1,NA
"1991","FSOL","Flathead Sole","sole, flathead","D",0,350.67
"1991","FSOL","Flathead Sole","sole, flathead","R",0,881.82
"1991","GTRB","Greenland Turbot","turbot, Greenland","D",1,NA
"1991","OTHR","Other","groundfish, general","D",0,2091.71
"1991","OTHR","Other","groundfish, general","R",0,1910.34
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","D",0,1392.48
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","R",0,71282.13
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D",0,266.07
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R",0,1029.08
"1991","PLCK","Pollock","pollock, walleye","D",0,8713.19
"1991","PLCK","Pollock","pollock, walleye","R",0,79206.23
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean","D",0,1055.55
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean","R",0,3339.58
"1991","ROCK","Other Rockfish","rockfish, other","D",0,59.9
"1991","ROCK","Other Rockfish","rockfish, other","R",0,36.28
"1991","RSOL","Rock Sole","sole, rock","D",1,NA
"1991","RSOL","Rock Sole","sole, rock","R",1,NA
"1991","SABL","Sablefish","sablefish (blackcod)","D",0,205.61
"1991","SABL","Sablefish","sablefish (blackcod)","R",0,12903.4
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","D",0,2162.43
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","R",0,3054.98
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","D",0,377.3
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","R",0,1913.75
"1991","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D",0,818.4
"1991","SLR3","Other Slope Rockfish","rockfish, unspecified slope","R",0,4009.67
"1991","SQID","Squid","squid, majestic","D",0,2.9
"1991","SQID","Squid","squid, majestic","R",1,NA
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D",0,182.08
