"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt"
"1991","AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",1,NA
"1991","AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,83.04
"1991","AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,1146.26
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","GLN",1,NA
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,183.43
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","JIG",1,NA
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",1,NA
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,14695.18
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",1,NA
"1991","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,2079.77
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,3.62
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","POT",1,NA
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,36.05
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,94.35
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","JIG",1,NA
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","POT",1,NA
"1991","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,56.18
"1991","DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,39.91
"1991","DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,1405.72
"1991","DFL1","Deep Water Flatfish","flatfish, deep water","R","HAL",1,NA
"1991","DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,8585
"1991","FLOU","Flounder","flounder, general","R","TRW",1,NA
"1991","FSOL","Flathead Sole","sole, flathead","D","HAL",0,1.98
"1991","FSOL","Flathead Sole","sole, flathead","D","POT",1,NA
"1991","FSOL","Flathead Sole","sole, flathead","D","TRW",0,348.69
"1991","FSOL","Flathead Sole","sole, flathead","R","HAL",1,NA
"1991","FSOL","Flathead Sole","sole, flathead","R","TRW",0,881.34
"1991","GTRB","Greenland Turbot","turbot, Greenland","D","HAL",1,NA
"1991","OTHR","Other","groundfish, general","D","GLN",1,NA
"1991","OTHR","Other","groundfish, general","D","HAL",0,178.28
"1991","OTHR","Other","groundfish, general","D","POT",1,NA
"1991","OTHR","Other","groundfish, general","D","TRW",0,1910.04
"1991","OTHR","Other","groundfish, general","R","HAL",1,NA
"1991","OTHR","Other","groundfish, general","R","JIG",1,NA
"1991","OTHR","Other","groundfish, general","R","POT",1,NA
"1991","OTHR","Other","groundfish, general","R","TRW",0,1892.4
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,206.47
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",1,NA
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,1173.54
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","R","GLN",1,NA
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,6685.52
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","R","JIG",1,NA
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",1,NA
"1991","PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,56401.3
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,0.76
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","POT",1,NA
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,265.3
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","HAL",1,NA
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","JIG",1,NA
"1991","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,697.42
"1991","PLCK","Pollock","pollock, walleye","D","HAL",0,16.41
"1991","PLCK","Pollock","pollock, walleye","D","JIG",1,NA
"1991","PLCK","Pollock","pollock, walleye","D","POT",1,NA
"1991","PLCK","Pollock","pollock, walleye","D","TRW",0,8611.38
"1991","PLCK","Pollock","pollock, walleye","R","HAL",1,NA
"1991","PLCK","Pollock","pollock, walleye","R","TRW",0,79200.22
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,2.4
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,1053.15
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean","R","HAL",1,NA
"1991","POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,3331.13
"1991","ROCK","Other Rockfish","rockfish, other","D","HAL",1,NA
"1991","ROCK","Other Rockfish","rockfish, other","D","TRW",1,NA
"1991","ROCK","Other Rockfish","rockfish, other","R","HAL",0,14.45
"1991","ROCK","Other Rockfish","rockfish, other","R","JIG",1,NA
"1991","ROCK","Other Rockfish","rockfish, other","R","TRW",0,19.06
"1991","RSOL","Rock Sole","sole, rock","D","TRW",1,NA
"1991","RSOL","Rock Sole","sole, rock","R","TRW",1,NA
"1991","SABL","Sablefish","sablefish (blackcod)","D","HAL",0,21.7
"1991","SABL","Sablefish","sablefish (blackcod)","D","TRW",0,183.91
"1991","SABL","Sablefish","sablefish (blackcod)","R","HAL",0,10877.8
"1991","SABL","Sablefish","sablefish (blackcod)","R","JIG",1,NA
"1991","SABL","Sablefish","sablefish (blackcod)","R","TRW",0,2019.57
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,3.35
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","JIG",1,NA
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","POT",1,NA
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,2158.92
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","R","HAL",1,NA
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","R","POT",1,NA
"1991","SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,3053.27
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","D","HAL",1,NA
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","D","TRW",0,346.27
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","R","HAL",1,NA
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","R","JIG",1,NA
"1991","SLR1","Slope Rockfish","rockfish, unspecified slope","R","TRW",0,1837.81
"1991","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D","HAL",1,NA
"1991","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D","TRW",0,818.39
"1991","SLR3","Other Slope Rockfish","rockfish, unspecified slope","R","TRW",0,4009.67
"1991","SQID","Squid","squid, majestic","D","TRW",0,2.9
"1991","SQID","Squid","squid, majestic","R","TRW",1,NA
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","HAL",0,6.02
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","TRW",0,176.06
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","HAL",0,15.66
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","JIG",1,NA
"1991","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","TRW",0,1110.07
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","HAL",0,37.53
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","POT",1,NA
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","TRW",0,53.57
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","HAL",0,140.02
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","JIG",1,NA
"1991","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","TRW",0,1048.32
"1991",NA,NA,"flatfish, deep water","D","HAL",1,NA
"1991",NA,NA,"flatfish, deep water","D","TRW",1,NA
"1991",NA,NA,"flatfish, shallow water","D","HAL",1,NA
"1991",NA,NA,"flatfish, shallow water","D","POT",1,NA
"1991",NA,NA,"flatfish, shallow water","D","TRW",1,NA
"1991",NA,NA,"rockfish, shortraker/rougheye","D","HAL",1,NA
"1991",NA,NA,"rockfish, shortraker/rougheye","D","TRW",1,NA
"1991",NA,NA,"rockfish, unspecified demersal","D","HAL",1,NA
"1991",NA,NA,"rockfish, unspecified demersal","D","POT",1,NA
"1991",NA,NA,"rockfish, unspecified demersal","D","TRW",1,NA
"1991",NA,NA,"rockfish, unspecified pelagic","D","HAL",1,NA
"1991",NA,NA,"rockfish, unspecified pelagic","D","POT",1,NA
"1991",NA,NA,"rockfish, unspecified pelagic","D","TRW",1,NA
"1991",NA,NA,"rockfish, unspecified slope","D","HAL",1,NA
"1991",NA,NA,"rockfish, unspecified slope","D","POT",1,NA
"1991",NA,NA,"rockfish, unspecified slope","D","TRW",1,NA
"1992","AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",1,NA
"1992","AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,83.11
"1992","AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,6296.99
"1992","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,961.63
"1992","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",1,NA
"1992","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,19072.79
"1992","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,7.35
"1992","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,440.41
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,5.63
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","POT",1,NA
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,33.08
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,122.53
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","JIG",1,NA
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","POT",1,NA
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,51
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,32.57
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","D","POT",1,NA
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,1479.81
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","R","HAL",0,22.71
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","R","JIG",1,NA
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,6854.14
"1992","FLOU","Flounder","flounder, general","D","HAL",1,NA
"1992","FLOU","Flounder","flounder, general","D","TRW",1,NA
"1992","FLOU","Flounder","flounder, general","R","TRW",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","D","HAL",0,5.61
"1992","FSOL","Flathead Sole","sole, flathead","D","POT",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","D","TRW",0,596.3
"1992","FSOL","Flathead Sole","sole, flathead","R","HAL",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","R","JIG",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","R","TRW",0,1699.27
"1992","GTRB","Greenland Turbot","turbot, Greenland","D","HAL",1,NA
"1992","GTRB","Greenland Turbot","turbot, Greenland","R","HAL",0,6.03
"1992","GTRB","Greenland Turbot","turbot, Greenland","R","TRW",1,NA
"1992","NULL",NA,"Missing value","D","HAL",0,0
"1992","NULL",NA,"Missing value","D","JIG",1,NA
"1992","NULL",NA,"Missing value","D","NUL",1,NA
