akfin_year,species_name,fmp_gear,harvest_description,conf_flag,catch_lb,catch_mt
2008,"abalone, northern (pinto)",POT,Federally managed (Groundfish) ,1,NA,NA
2009,Bering flounder,HAL,Test fishery - long term stock assessment,1,NA,NA
2014,Bering flounder,TRW,Federally managed (Groundfish) ,1,NA,NA
2017,Bering flounder,TRW,Federally managed (Groundfish) ,1,NA,NA
2019,Bering flounder,HAL,Federally managed (Groundfish) ,1,NA,NA
2019,Bering flounder,POT,Federally managed (Groundfish) ,1,NA,NA
2019,Bering flounder,TRW,Federally managed (Groundfish) ,1,NA,NA
2021,Bering flounder,TRW,Federally managed (Groundfish) ,1,NA,NA
2023,Bering flounder,POT,Federally managed (Groundfish) ,1,NA,NA
1991,Blk hagfish,HAL,State managed fishery,0,18585832,8430.384709
1991,Blk hagfish,HAL,Test fishery - long term stock assessment,1,NA,NA
1991,Blk hagfish,HAL,Test fishery - special study,1,NA,NA
1991,Blk hagfish,JIG,State managed fishery,0,71348,32.36288202
1991,Blk hagfish,OTH,State managed fishery,1,NA,NA
1992,Blk hagfish,HAL,Confiscated ,1,NA,NA
1992,Blk hagfish,HAL,State managed fishery,0,20963326,9508.796967
1992,Blk hagfish,HAL,Test fishery - special study,1,NA,NA
1992,Blk hagfish,JIG,State managed fishery,0,16926,7.677498192
1992,Blk hagfish,OTH,Confiscated ,1,NA,NA
1992,Blk hagfish,OTH,State managed fishery,1,NA,NA
1992,Blk hagfish,POT,State managed fishery,1,NA,NA
1993,Blk hagfish,HAL,State managed fishery,0,17718535,8036.985728
1993,Blk hagfish,HAL,Test fishery - long term stock assessment,1,NA,NA
1993,Blk hagfish,HAL,Test fishery - special study,1,NA,NA
1993,Blk hagfish,JIG,State managed fishery,0,27172,12.32500182
1993,Blk hagfish,OTH,State managed fishery,1,NA,NA
1994,Blk hagfish,HAL,State managed fishery,0,16705866,7577.647171
1994,Blk hagfish,HAL,Test fishery - special study,0,359076,162.874001
1994,Blk hagfish,JIG,State managed fishery,0,39214,17.78715669
1994,Blk hagfish,OTH,State managed fishery,0,339936,154.1922501
1995,Blk hagfish,HAL,State managed fishery,0,8689761,3941.606072
1995,Blk hagfish,HAL,Test fishery - special study,1,NA,NA
1995,Blk hagfish,JIG,State managed fishery,1,NA,NA
1995,Blk hagfish,OTH,Confiscated ,1,NA,NA
1995,Blk hagfish,OTH,State managed fishery,1,NA,NA
1996,Blk hagfish,HAL,State managed fishery,0,2055188,932.2168353
1996,Blk hagfish,HAL,Test fishery - special study,1,NA,NA
1996,Blk hagfish,JIG,State managed fishery,1,NA,NA
1996,Blk hagfish,OTH,State managed fishery,1,NA,NA
1991,blue mussel,OTH,State managed fishery,1,NA,NA
1992,blue mussel,OTH,State managed fishery,1,NA,NA
1993,blue mussel,OTH,State managed fishery,1,NA,NA
1994,blue mussel,OTH,State managed fishery,1,NA,NA
1995,blue mussel,OTH,State managed fishery,1,NA,NA
1996,blue mussel,OTH,State managed fishery,1,NA,NA
1997,blue mussel,OTH,State managed fishery,1,NA,NA
1998,blue mussel,OTH,State managed fishery,1,NA,NA
2000,blue mussel,HAL,Test fishery - long term stock assessment,1,NA,NA
2001,blue mussel,HAL,Test fishery - long term stock assessment,1,NA,NA
2004,blue mussel,HAL,Test fishery - long term stock assessment,1,NA,NA
2005,blue mussel,HAL,Test fishery - long term stock assessment,1,NA,NA
2010,blue mussel,HAL,Test fishery - long term stock assessment,1,NA,NA
2013,blue mussel,HAL,Test fishery - long term stock assessment,1,NA,NA
2021,blue mussel,HAL,Federally managed (Groundfish) ,1,NA,NA
2003,"char, Arctic (anadromous)",TRW,Federally managed (Groundfish) ,1,NA,NA
2002,"char, Arctic (general)",OTH,State managed fishery,1,NA,NA
2004,"char, Arctic (general)",OTH,Coop Fishery,1,NA,NA
1996,"chinook, sm.",TRW,State managed fishery,1,NA,NA
1997,"chinook, sm.",TRW,Federally managed (Groundfish) ,1,NA,NA
1998,"chinook, sm.",TRW,Federally managed (Groundfish) ,1,NA,NA
2005,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2006,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2011,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2012,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2013,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2014,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2017,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2019,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2020,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2021,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2022,"chinook, sm.",OTH,State managed fishery,1,NA,NA
2023,"chinook, sm.",OTH,State managed fishery,1,NA,NA
1992,"clam, Arctic surf",OTH,State managed fishery,1,NA,NA
1995,"clam, cockle",OTH,State managed fishery,1,NA,NA
1999,"clam, cockle",POT,Federally managed (Groundfish) ,1,NA,NA
2000,"clam, cockle",POT,Federally managed (Groundfish) ,1,NA,NA
2004,"clam, cockle",HAL,Test fishery - long term stock assessment,1,NA,NA
2014,"clam, cockle",HAL,Federally managed (Groundfish) ,1,NA,NA
