source,Transient killer whales_PWS,Resident killer whales_PWS,ne_pacific,eastern_northern_gray ,ssl_haulout_survey_wgoa,muto_alaska,chowiet_index,chowiet_index,chowiet_index,salmon_goa,salmon_goa,sitka_index,craig_index
group_name,Transient killer whales,Resident killer whales,Humpback whale,Other baleen whales,Steller sea lion,Harbor seal,Piscivorous surface birds,Piscivorous diving birds,Planktivorous diving birds,Salmon returning,Salmon outgoing,Pacific herring adult,Pacific herring adult
node,1,2,5,6,11,12,14,16,17,18,19,21,21
1980,,,,,0.077554618,,6.38841E-06,3.42745E-05,,0.478380877,0.623668372,49393,
1981,,,,,0.071824116,,7.17841E-06,4.05334E-05,,0.581916693,0.982369904,45808,
1982,,,,,0.06655446,,,,,0.554847531,1.166951344,33374,
1983,,,,,0.061400014,,,,,0.42125664,0.919192909,41481,
1984,0.006745,0.01688025,,1.442256392,0.056643799,,,,,0.623838752,0.97213857,50300,
1985,0.006745,0.01695125,,1.406781513,0.051777381,,,,,0.48792217,0.815235402,42164,
1986,0.006745,0.01673825,,,0.046595385,,,,,0.512350438,1.061298553,32763,
1987,0.006745,0.01691575,,1.651975533,0.041354531,,,,,0.513934974,1.02096103,49264,
1988,0.006745,0.01734175,,,0.03669349,,,,,0.624737508,1.360192359,65912,23820
1989,0.006745,0.01773225,,,0.032960399,,7.48226E-06,8.01301E-05,,0.543802632,0.88028232,44669,26276
1990,0.0045085,0.01751925,,,0.030460819,,6.09216E-06,8.45865E-05,,0.503111569,0.863857664,26995,24689
1991,0.004473,0.01783875,,,0.028495968,,5.68956E-06,8.84752E-05,,0.547286908,0.980103847,32414,17437
1992,0.0042245,0.0182115,,0.967396283,0.027256197,,,,,0.505897286,0.996051438,52837,12058
1993,0.0042245,0.0182115,,1.233826131,0.0261667,,7.41389E-06,3.95115E-05,,0.57150646,0.817343857,35254,7629
1994,0.0042245,0.018815,,,0.025278823,,,,,0.536463502,1.053243827,22742,6213
1995,0.0042245,0.018886,,1.285442695,0.024544978,,6.89735E-06,9.82963E-05,,0.932674246,1.127065328,31402,4454
1996,0.0042245,0.01917,,,0.023936363,0.02015198,,,,0.505586342,0.823392356,40038,5426
1997,0.0042245,0.0196315,,1.297165363,0.023429184,0.020958755,,,,0.597382959,1.066461075,47044,6597
1998,0.0042245,0.0195605,,,0.02303972,0.021161805,4.55013E-06,0.000104825,1.67337E-06,0.663328634,1.074681921,56011,7213
1999,0.0042245,0.0201285,,,0.022616444,0.020986715,,,,0.647338448,1.113430649,59323,7198
2000,0.003976,0.0202705,,1.004651044,0.022282082,0.020467143,,,,0.590610345,1.04683327,54638,8167
2001,0.0037275,0.0202705,,0.984028969,0.022270811,0.019047416,4.21589E-06,9.90059E-05,,0.65818741,1.067398166,66801,8686
2002,0.003479,0.0202705,0.066532674,,0.022367238,0.021514158,5.51484E-06,7.12031E-05,8.57293E-07,0.610361675,1.193756416,68743,8741
2003,0.0032305,0.0202705,0.075147361,,0.022557586,0.021937905,,,,0.774684903,1.336863044,90819,14900
2004,0.0032305,0.0202705,0.076231312,,0.022905724,0.02210458,5.62119E-06,9.99284E-05,,0.787092844,1.065562319,114705,16536
2005,0.0032305,0.0202705,0.083022757,,0.023365317,0.0233313,6.37321E-06,0.000106911,7.78982E-07,0.912731238,0.963389545,97274,18412
2006,0.0032305,0.020661,0.083148889,1.223699219,0.02390756,0.023868516,6.78341E-06,0.00010447,1.32303E-06,0.667609437,0.862102748,83580,18120
2007,0.0032305,0.020661,0.098205953,1.093706494,0.024358386,0.024018904,5.24138E-06,0.000119784,9.64454E-07,0.745081335,0.873300989,82357,15992
2008,0.0032305,0.0208385,0.10428002,,0.024979525,0.025176403,,,,0.577678484,0.786483735,100282,21493
2009,0.0032305,0.02272,0.104236662,1.301768504,0.025794768,0.026614589,4.64888E-06,0.000119514,1.13756E-06,0.581707977,0.802627263,117514,18109
2010,0.0032305,0.02272,0.090685305,1.288265955,0.026682645,0.026133565,5.29455E-06,0.000109579,,0.596761072,0.767707832,114424,18469
2011,0.0032305,0.023146,0.116814434,,0.027511665,0.026924323,4.25387E-06,9.5174E-05,1.25297E-06,0.606749613,0.913497949,107765,21906
2012,0.0032305,0.0248145,0.13199763,,0.028403299,0.0267172,6.54033E-06,0.000113879,1.17466E-06,0.570318057,0.844447095,76615,21384
2013,0.0032305,0.0265895,0.12495392,,0.0291409,0.027800319,6.66947E-06,0.000126085,1.31067E-06,0.830620738,0.999033092,74131,19773
2014,0.0032305,0.0265895,0.123148649,1.766992703,0.029835924,0.027891529,6.63908E-06,0.000125319,1.37249E-06,0.480566003,0.650741793,71726,13770
2015,0.0032305,0.0265895,0.131098936,1.654676043,0.030681223,0.029010751,2.42319E-06,5.25117E-06,1.43844E-06,1.151476558,1.080112792,64322,10650
2016,0.0034435,0.0265895,0.117665828,,0.031481439,0.029161954,5.89465E-06,4.96449E-05,2.31222E-06,,,74183,10193
2017,0.0034435,0.0262345,0.112056875,,0.032206518,0.02968614,4.36022E-06,5.47825E-05,1.72695E-06,,,62819,13431
2018,0.0034435,0.026838,0.105363971,,0.032776312,,3.95003E-06,5.59321E-05,9.35603E-07,,,55926,15983
2019,0.0034435,0.026838,0.101185833,1.263102113,0.033327322,,5.43129E-06,5.97215E-05,1.33952E-06,,,151775,59215
2020,0.0034435,0.02692675,0.113148709,,,,,,,,,265316,101051
2021,0.0034435,0.02926975,0.105091998,,,,,,,,,245302,96472
2022,0.0034435,0.02973125,,,,,,,,,,225820,63250
2023,,,,,,,,,,,,,
