"id","agency","code","name","begin_date","end_date","reportable_flag","last_modified_date","akfin_load_date"
218,"AKR","139","Unidentified Rockfish",1986-01-01,NA,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1504,"AKR","111","Saffron Cod",2009-01-01,NA,"Y",2023-01-04 11:39:22,2024-11-18 23:23:02
1006,"AKR","202","Black hagfish",1986-01-01,NA,"Y",2016-08-23 11:40:34,2024-11-18 23:23:02
1531,"AKR","160","Other Small Sculpins",2010-01-01,NA,"Y",2017-05-25 05:30:20,2024-11-18 23:23:02
1532,"AKR","280","Large Sculpins - Bigmouth Sculpin",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1533,"AKR","281","Large Sculpins - Great Sculpin",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1534,"AKR","282","Large Sculpins - Plain Sculpin",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1535,"AKR","283","Small Sculpins - Threaded Sculpin",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1536,"AKR","284","Large Sculpins - Warty Sculpin",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1537,"AKR","285","Large Sculpins - Yellow Irish Lord",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1538,"AKR","286","Other Large Sculpins",2010-01-01,NA,"N",2017-05-25 05:30:20,2024-11-18 23:23:02
1007,"AKR","716","Lancetfish",1986-01-01,NA,"Y",2017-12-20 06:54:52,2024-11-18 23:23:02
3105,"AKR","759","General Pomfret",2019-01-01,NA,"Y",2021-03-25 15:38:06,2024-11-18 23:23:02
3107,"AKR","510","Smelt, unidentified",2021-01-01,NA,"Y",2021-11-02 08:20:21,2024-11-18 23:23:02
3109,"AKR","221","Wolffish, Bering",2023-11-22,NA,"Y",2023-12-07 11:58:10,2024-11-18 23:23:02
1640,"AKR","112","Pacific Hake",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1641,"AKR","702","Skate, Big",2004-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1643,"AKR","700","Skate, Other",2004-01-01,2009-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1646,"AKR","171","Shortraker/Rougheye Rockfish",2004-01-01,NA,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1517,"AKR","210","Eels or eel-like fish",2007-01-01,NA,"Y",2023-10-27 13:08:36,2024-11-18 23:23:02
1518,"AKR","217","Wolf-eel",2007-01-01,NA,"Y",2023-10-27 13:08:36,2024-11-18 23:23:02
1519,"AKR","218","Snailfish, general",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1521,"AKR","219","Poacher, general",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1513,"AKR","120","Miscellaneous Flatfish",2007-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1514,"AKR","116","Bering Flounder",2007-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1525,"AKR","172","Dusky Rockfish",2008-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1526,"AKR","173","Dark Rockfish",2008-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1615,"AKR","703","Skate, Alaska",2010-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1616,"AKR","700","Skate, Other",2010-01-01,2010-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1506,"AKR","121","Arrowtooth Flounder",2011-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1507,"AKR","117","Kamchatka Flounder",2011-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1621,"AKR","700","Skate, Other",2011-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1622,"AKR","704","Skate, Aleutian",2011-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1623,"AKR","705","Skate, Whiteblotched",2011-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1047,"AKR","100","Flatfish, unidentified",1986-01-01,NA,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1065,"AKR","161","Sculpins",1991-01-01,1991-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1084,"AKR","001","Unspecified Crab",1990-01-01,1991-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1085,"AKR","100","Other Species",1990-01-01,1990-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1064,"AKR","119","Shallow Water Flatfish",1990-01-01,1990-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1089,"AKR","933","Grooved Tanner Crab",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1091,"AKR","934","Triangle Tanner Crab",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
59,"AKR","208","Pricklebacks, etc.  (family Stichaeidae)",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
70,"AKR","511","Smelt, Eulachon",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
76,"AKR","772","Lanternfishes (family Myctophidae)",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
78,"AKR","774","Pacific Sand Lance (family Ammodytidae)",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
69,"AKR","510","Smelt, General (family Osmeridae)",1991-01-01,1997-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1410,"AKR","169","Pelagic Shelf Rockfish",1999-01-01,2005-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1430,"AKR","215","Prowfish",1999-10-27,NA,"Y",2017-12-15 12:33:52,2024-11-18 23:23:02
1450,"AKR","118","Deepwater Flatfish",1995-01-01,1999-12-31,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1451,"AKR","119","Shallow Water Flatfish",1994-01-01,1999-12-31,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1452,"AKR","206","Pacific Sandfish (family Trichodontidae)",1986-01-01,1999-03-20,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1453,"AKR","208","Pricklebacks, etc.  (family Stichaeidae)",1990-01-01,1997-12-31,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
1454,"AKR","139","Unidentified Rockfish",1993-01-01,1997-12-31,"N",2015-06-03 05:35:13,2024-11-18 23:23:02
