Name,Transient killer whales_PWS,Resident killer whales_PWS,Offshore killer whales,Other toothed whales,Humpback whale ( Mean N*Weight 30.408 t) Cheeseman et al. 2024,Humpback whale ( Mean N*Weight 25.234 t) Cheeseman et al. 2025,Humpback whale ( Mean N*Weight 30.408 t) PWS only,Humpback whale ( Mean N*Weight 25.234 t) PWS only,Other baleen whales- EN Gray Whales mt (Numbers*16.177t),Other baleen whales- EN Gray Whales mt (Numbers*14.409t) = 10% of the time spent/ km2,Dolphins & porpoises,Northern elephant seal,N. fur seal adult,N.fur seal juv,Steller sea lion ADult N*0.56tonnes,Steller sea lion Pup,Harbor seal (N*upper weight 0.12927 tonnes),Sea otter,Piscivorous surface birds: Chowiet biomass (t),Piscivorous surface birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Planktivorous surface birds,Piscivorous diving birds: Chowiet biomass (t),Piscivorous diving birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Planktivorous diving birds: Chowiet bioamss (t),Planktivorous diving birds:Chowiet biomass (t) divided by 650NMFS 300m isobar area,Pink returning biomass (mt),Pink outgoing biomass (mt),Chum returning biomass (mt),Chum outgoing biomass (mt),Sockeye returning biomass (mt),Sockeye outgoing biomass (mt),Salmon returning,Salmon outgoing,Pacific hake,Mature herring Sitka biomass (t),Mature herring Sitka biomass (t) divided by 650NMFS 300m isobar area,Mature herring Craig biomass (t),Mature herring Craig biomass (t) divided by 650NMFS 300m isobar area
1955,,,,,,,,,,,,,,,,,,,,,,,,,,"37,994","19,492","12,910","55,020","10,669","21,668",,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,"28,669","14,322","21,355","91,002","13,677","27,581",,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,"17,607","9,023","24,600","104,900","9,570","14,114",,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,"29,350","14,536","17,555","74,808","8,168","23,063",,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,"13,598","6,963","14,066","59,935","9,313","45,275",,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,"28,850","14,471","18,183","77,539","11,497","19,825",,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,"30,857","15,516","13,116","55,868","12,528","18,187",,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,"50,848","25,645","21,778","92,911","14,022","29,265",,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,"33,434","16,746","14,748","62,806","11,358","37,579",,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,"55,570","27,879","26,895","114,721","12,354","62,523",,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,"20,530","10,366","10,425","44,466","14,466","16,139",,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,"43,573","13,828","15,871","67,683","17,376","29,115",,,,,,,
1967,,,,,,,,,217192.4,193455.234,,,,,,,,,,,,,,,,"10,625","1,583","8,852","37,750","13,908","31,892",,,,,,,
1968,,,,,,,,,235343,209622.132,,,,,,,,,,,,,,,,"39,113","12,761","17,631","75,206","17,944","58,855",,,,,,,
1969,,,,,,,,,235423.9,209694.177,,,,,,,,,,,,,,,,"46,507","18,631","8,369","35,655","13,663","44,766",,,,,,,
1970,,,,,,,,,206596.5,184017.339,,,,,,,,,,,,,,,,"43,824","13,821","16,587","70,759","19,793","28,637",,,,,,,
1971,,,,,,,,,179225,159637.311,,,,,,,,,,,,,,,,"25,703","7,350","18,414","78,548","16,893","27,044",,,,,,,
1972,,,,,,,,,280913.6,250212.285,,,,,,,,,,,,,,,,"13,148","3,845","15,737","67,092","12,911","28,447",,,,,,,
1973,,,,,,,,,281075.4,250356.375,,,,,,,,,,,,,,,,"10,558","2,729","16,097","68,622","15,699","44,111",,,,,,,
1974,,,,,,,,,247346.3,220313.61,,,,,,,,,,,,,,,,"16,924","5,860","9,683","41,276","13,705","37,933",,,,,,,
1975,,,,,,,,,284132.8,253079.676,,,,,,,,,,,,,,,,"23,282","7,398","11,205","47,807","11,205","19,985",,,,,,,
1976,,,,,,,,,297284.7,264794.193,,,,,,,,,,,,,,,,"48,336","17,308","12,889","54,926","22,852","60,488",,,,8531,0.232283633,,
1977,,,,,,,,,316066.2,281523.042,,,,,,,,,0.428051,1.16551E-05,,2.754752,7.50069E-05,,,"43,144","14,510","31,852","135,768","31,242","99,937",,,,7052,0.192013149,,
1978,,,,,,,1170.7,971.509,248867,221668.056,,,,,40802.4814,100174.3,,,0.404058,1.10018E-05,,2.57768875,7.01858E-05,,,"64,660","26,337","17,583","74,958","27,655","99,054",,,,16619,0.45250518,,
1979,,,,,,,1559.9,1294.5042,319706.1,284765.067,,,,,37737.54839,73777.34,,,0.381097,1.03766E-05,,2.257801,6.14758E-05,,,"73,189","24,039","19,323","82,317","17,253","55,296",,,,35911,0.977791294,,
1980,,,,,,,1581.2,1312.168,,,,,,,34971.73743,57454.24,,,0.405855,1.10507E-05,,2.36247375,6.43259E-05,,,"75,586","30,266","18,554","79,604","18,169","36,548",,,,49393,1.344881662,,
1981,,,,,,,1605.5,1332.3552,,,,,,,32387.96105,46624.82,,,0.454074,1.23636E-05,,2.793882,7.60723E-05,,,"76,492","20,560","34,402","151,027","25,722","59,043",,,,45808,1.247268625,,
1982,,,,,,,2228.9,1849.6522,,,,,,,30011.46656,38823.65,,,,,,,,,,"60,900","25,859","34,194","146,270","35,167","101,835",,,,33374,0.908713393,,
1983,,,,,,,2162,1794.1374,,,,,,,27687.48799,32870.18,,,,,,,,,,"36,492","10,595","26,764","120,455","35,642","84,748",,,,41481,1.129452275,,
1984,0.006745,0.01688025,,,,,2034.3,1688.1546,380143.3,338597.091,,,,,25542.29266,27853.41,,,,,,,,,,"87,265","36,394","25,305","111,606","33,888","80,228",,,,50300,1.369577625,,
1985,0.006745,0.01695125,,,,,1906.6,1582.1718,370793,330268.689,,,,,23348.23214,23589.21,,,,,,,,,,"58,374","18,352","22,669","101,302","33,506","71,738",,,,42164,1.148049125,,
1986,0.006745,0.01673825,,,,,2563.4,2127.2262,,,,,,,21011.53793,19941.2,,,,,,,,,,"51,939","19,952","28,423","125,408","39,922","103,800",,,,32763,0.892076973,,
1987,0.006745,0.01691575,,,,,2916.1,2419.9406,435420.1,387832.644,,,,,18647.88153,16849.19,,,,,,,,,,"47,359","12,381","20,216","93,776","53,081","133,533",,,,49264,1.341369227,,
