Year,winter Shelikof Strait acoustic survey pollock biomass (t),CV_scale_0.2
1981,2785755,0.12
1982,,
1983,2278172,0.16
1984,1757168,0.18
1985,1175823,0.14
1986,585755,0.22
1987,,
1988,301709,0.17
1989,290461,0.1
1990,374731,0.17
1991,380331,0.35
1992,713429,0.150417317
1993,435753,0.188021646
1994,492593,0.188021646
1995,763612,0.188021646
1996,777172,0.150417317
1997,583017,0.150417317
1998,504774,0.150417317
1999,,
2000,448638,0.188021646
2001,432749,0.188021646
2002,256743,0.263230304
2003,317269,0.188021646
2004,330753,0.338438963
2005,356117,0.150417317
2006,293609,0.150417317
2007,180881,0.225625975
2008,197922,0.225625975
2009,257422,0.225625975
2010,421575,0.112812988
2011,,
2012,334061,0.300834633
2013,807838,0.188021646
2014,827338,0.188021646
2015,847970,0.150417317
2016,667003,0.263230304
2017,1465229,0.150417317
2018,1320867,0.150417317
2019,1281083,0.263230304
2020,456713,0.188021646
2021,526974,0.109978891
2022,365411,0.389204807
2023,258829,0.172979914
2024,289973,0.263230304
