Year,sablefish_longline,CV
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,2103000,0.12
1991,2031000,0.11
1992,1718000,0.09
1993,1842000,0.1
1994,1846000,0.1
1995,1759000,0.1
1996,1941000,0.11
1997,1850000,0.1
1998,1678000,0.09
1999,1788000,0.1
2000,1576000,0.09
2001,1780000,0.1
2002,1895000,0.1
2003,1710000,0.09
2004,1663000,0.09
2005,1654000,0.09
2006,1844000,0.1
2007,1627000,0.09
2008,1530000,0.08
2009,1399000,0.08
2010,1528000,0.08
2011,1680000,0.09
2012,1294000,0.07
2013,1292000,0.07
2014,1467000,0.08
2015,1201000,0.07
2016,1373000,0.08
2017,1399000,0.08
2018,1260000,0.07
2019,1798000,0.1
2020,2614000,0.14
2021,2888000,0.16
2022,3580000,0.2
2023,3346000,0.18
2024,,
