year,area,rpw_sablefish_ll,rpn_sablefish_ll,prop,five_yr_avg,CV
1990,Bering Sea,314702.1100,110087.3300,0.1497,NA,0.1200
1990,Aleutians,234613.3000,77130.6000,0.1116,NA,0.1200
1990,Central Gulf of Alaska,634274.3571,183032.7734,0.3017,NA,0.1200
1990,East Yakutat/Southeast,421368.2497,133209.8094,0.2004,NA,0.1200
1990,West Yakutat,258461.0043,71807.2780,0.1229,NA,0.1200
1990,Western Gulf of Alaska,239245.3510,66535.3271,0.1138,NA,0.1200
1991,Bering Sea,150201.5400,47904.6500,0.0739,NA,0.1100
1991,Aleutians,256293.5000,74442.5000,0.1262,NA,0.1100
1991,Central Gulf of Alaska,586256.3922,173541.2463,0.2886,NA,0.1100
1991,East Yakutat/Southeast,591050.5372,160657.0848,0.2910,NA,0.1100
1991,West Yakutat,262996.6984,69443.2780,0.1295,NA,0.1100
1991,Western Gulf of Alaska,184597.4318,53838.9630,0.0909,NA,0.1100
1992,Bering Sea,124768.4800,41671.3900,0.0726,NA,0.0900
1992,Aleutians,177318.2000,50952.2200,0.1032,NA,0.0900
1992,Central Gulf of Alaska,524036.6831,153085.1164,0.3050,NA,0.0900
1992,East Yakutat/Southeast,517446.9797,142981.1632,0.3012,NA,0.0900
1992,West Yakutat,296270.0631,80969.4593,0.1724,NA,0.0900
1992,Western Gulf of Alaska,78293.4038,29096.1310,0.0456,NA,0.0900
1993,Bering Sea,50209.3500,17680.3800,0.0273,NA,0.1000
1993,Aleutians,218893.6000,78039.8800,0.1188,NA,0.1000
1993,Central Gulf of Alaska,589522.4665,170325.1968,0.3201,NA,0.1000
1993,East Yakutat/Southeast,491845.9124,144611.7188,0.2670,NA,0.1000
1993,West Yakutat,265755.6154,70584.8462,0.1443,NA,0.1000
1993,Western Gulf of Alaska,225684.7656,68567.6276,0.1225,NA,0.1000
1994,Bering Sea,176909.8400,52769.6300,0.0958,0.0839,0.1000
1994,Aleutians,214440.8000,56138.8700,0.1161,0.1152,0.1000
1994,Central Gulf of Alaska,554458.2695,141456.9355,0.3003,0.3031,0.1000
1994,East Yakutat/Southeast,495151.4945,117287.5482,0.2682,0.2655,0.1000
1994,West Yakutat,235840.4621,54522.0351,0.1277,0.1394,0.1000
1994,Western Gulf of Alaska,169639.0095,55104.9190,0.0919,0.0929,0.1000
1995,Bering Sea,169458.0800,54024.1700,0.0963,0.0732,0.1000
1995,Aleutians,205408.2000,57473.5100,0.1168,0.1162,0.1000
1995,Central Gulf of Alaska,557624.0056,153683.7869,0.3170,0.3062,0.1000
1995,East Yakutat/Southeast,429169.1484,114764.1849,0.2440,0.2743,0.1000
1995,West Yakutat,209919.5190,50146.7999,0.1193,0.1386,0.1000
1995,Western Gulf of Alaska,187575.3726,58461.5738,0.1066,0.0915,0.1000
1996,Bering Sea,194181.1600,56358.0100,0.1001,0.0784,0.1100
1996,Aleutians,163925.0000,57517.0000,0.0845,0.1079,0.1100
1996,Central Gulf of Alaska,733880.4136,180251.3646,0.3782,0.3241,0.1100
1996,East Yakutat/Southeast,429369.1297,106530.4470,0.2212,0.2603,0.1100
1996,West Yakutat,219430.4588,48313.0435,0.1131,0.1354,0.1100
1996,Western Gulf of Alaska,199883.2860,58454.0707,0.1030,0.0939,0.1100
1997,Aleutians,297148.0000,55385.0000,0.1606,0.1194,0.1000
1997,Bering Sea,156848.1102,42959.5606,0.0848,0.0808,0.1000
1997,Central Gulf of Alaska,636699.2426,164673.7265,0.3442,0.3319,0.1000
1997,East Yakutat/Southeast,399411.5156,104943.0784,0.2159,0.2433,0.1000
1997,West Yakutat,187328.6026,47391.9037,0.1013,0.1211,0.1000
1997,Western Gulf of Alaska,172471.4882,62329.9832,0.0932,0.1035,0.1000
1998,Bering Sea,139139.7617,38237.4384,0.0829,0.0920,0.0900
1998,Aleutians,301003.8749,98842.2276,0.1793,0.1315,0.0900
1998,Central Gulf of Alaska,484677.8983,128441.4401,0.2888,0.3257,0.0900
1998,East Yakutat/Southeast,386004.3208,102936.6270,0.2300,0.2359,0.0900
