Year,sable_ll_wcgoa,CV
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,954145.6155,0.07243876
1991,885712.1816,0.080492139
1992,675686.0181,0.061870805
1993,902210.2341,0.085877905
1994,803605.2507,0.058100775
1995,819329.6915,0.067918993
1996,1039296.356,0.084380354
1997,860982.6101,0.072945936
1998,891776.5951,0.074077517
1999,811356.0748,0.057581238
2000,792278.2534,0.079890103
2001,935131.0859,0.090912064
2002,952392.3986,0.082758319
2003,896850.1783,0.078324997
2004,838696.2912,0.070147066
2005,786367.0175,0.083160127
2006,858662.4193,0.055233288
2007,639446.074,0.085354656
2008,709104.1299,0.065408583
2009,716222.9672,0.090840867
2010,653374.0204,0.075107181
2011,929258.5319,0.054837321
2012,655464.5897,0.073067833
2013,511784.852,0.064638179
2014,662212.0968,0.098626104
2015,470054.2975,0.06218966
2016,581379.8669,0.064136795
2017,611430.9538,0.060460796
2018,612938.6444,0.05071108
2019,668070.9481,0.049200351
2020,1051578.97,0.045894074
2021,1011260.412,0.047064074
2022,1174542.141,0.039727981
2023,1109678.12,0.056464291
2024,,
