"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"transient_killer_whales",5.99538045728834,0.0055,0.02,4.2,0,0.00476190476190476,4.84798934464755,0.0011,0.02542091,4.143716,0,0.00613480991457909
"resident_killer_whales",5.34707120874603,0.0015,0.017,10.6,0,0.00160377358490566,4.95187879317844,0.0038,0.025421,10.56498,0,0.00240615694492559
"offshore_killer_whales",5.09553730903592,0.0012,0.017,23.8,0,0.000714285714285714,5.17321076160515,2e-04,0.025421,23.77121,0.131109319066913,0.00106940286169699
"other_toothed_whales",5.22957215002743,0.1972,0.049,7.2,0,0.00680555555555556,4.95795182472323,0.01833848,0.03757975,6.325758,0,0.005940750499782
"humpback_whale",4.50918320325995,0.045,0.066,5.1,0.0122888888888889,0.0129411764705882,3.92590292804213,0.1401,0.03770187,5.112505,0.240749273225891,0.00737444168758759
"other_baleen_whales",4.2427944830551,0.1294,0.048,5.23,0.0169218508500773,0.00917782026768642,3.69464448684722,0.3130889,0.03757975,5.548148,0.241538959145687,0.00677338636244022
"dolphins_porpoises",5.02701030693897,0.0109,0.05,29.1,0.936715596330275,0.00171821305841924,4.68344071918917,0.014,0.05,26.49065,0.259521720969286,0.0018874584051354
"northern_elephant_seal",5.19088465325487,0.318,0.038,7.1,0.0214101290963257,0.00535211267605634,4.82150332921948,0.02309069,0.082653,7.1,0,0.0116412676056338
"northern_fur_seal",4.94408767201926,0.0025,0.116,61.2,0.00700168965517241,0.00189542483660131,NA,NA,NA,NA,NA,NA
"steller_sea_lion",5.05395250878053,0.0383,0.12,26.05,0.388925152306353,0.00460652591170825,4.73152061531376,0.02291887,0.1097936,25.60679,0.0993520036543914,0.00428767526113191
"harbor_seal",4.9837689340312,0.0432,0.14,22.9,0.396003637566138,0.00611353711790393,4.64495166767739,0.0064,0.082653,22.89,0.208743305000144,0.00361087811271298
"sea_otter",3.47128443783378,0.0031,0.11,110.1,0.57439853372434,0.000999091734786558,3.81397607976924,0.0038,0.116863,110.07,0.0777510835652282,0.00106171527209957
"piscivorous_surface_birds",5.02175202410506,0.0055,0.27,68.21,0.000392405366084175,0.00395836387626448,4.50807467298454,0.002510361,0.0890277,86.29179,0.0858386180308361,0.00103170533372874
"planktivorous_surface_birds",4.08347213061365,0.0081,0.31,73.85,0.000342625879181601,0.0041976980365606,4.28961223950283,0.000422872,0.1689998,110.0001,0.0271148066042924,0.00153636042149053
"piscivorous_diving_birds",4.9102480523267,0.001,0.21,71.59,0.000493765969897619,0.00293337058248359,4.44372087328668,0.01219575,0.09901591,73.51319,0.0779578379932382,0.0013469135266746
"planktivorous_diving_birds",4.07769946548028,3e-04,0.4,84.06,0.000245138688377917,0.00475850582916964,4.28961223950283,9.21153e-05,0.169,110,0.428947036065047,0.00153636363636364
"chinook_king_salmon",4.73103607113895,0.015,1.4,7.5,0.952121709479864,0.186666666666667,NA,NA,NA,NA,NA,NA
"coho_silver_salmon",4.70032504637527,0.0275,3,16.55,0.974699626289392,0.181268882175227,NA,NA,NA,NA,NA,NA
"chum_dog_salmon",3.9732810793427,5.5753,1.93,14.51,0.0314780936761116,0.133011716057891,NA,NA,NA,NA,NA,NA
"pink_humpback_salmon",4.13090861962928,2.869,3.37,18.49,0.0714750446305048,0.182260681449432,NA,NA,NA,NA,NA,NA
"sockeye_red_salmon",4.25493286659535,2.4314,1.27,10.13,0.0501567660035937,0.125370187561698,NA,NA,NA,NA,NA,NA
"pacific_hake",4.72993843550636,0.065,0.6,3,0.882682890294079,0.2,4.40728498093042,0.002,1,5,0.819787980579225,0.2
"pacific_herring_adult",3.84170724975,0.7367,1.55,4.75,0.937243855442914,0.326315789473684,3.52387897613919,0.36,0.32,3.52,0.704846204989198,0.0909090909090909
"pacific_herring_juvenile",3.826441124875,1.96387791213717,1,8.02724330906985,0.614481222679896,0.124575767981284,3.5219638525,0.0481242276078391,2,10.5055483894034,0.724412386636887,0.190375592578998
"pacific_sandlance",3.9579875,2.65652350987116,0.8,3.65,0.8,0.219178082191781,3.5225,6.72635727545144,0.8,3.65,0.8,0.219178082191781
"pacific_capelin",3.9579875,8.12418371155907,0.8,3.65,0.8,0.219178082191781,3.5225,10.5251061870481,0.8,3.65,0.8,0.219178082191781
"shelf_forage_fish",3.9579875,5.52862300060155,0.8,3.65,0.8,0.219178082191781,3.5706547535185,14.7941236788109,0.8,3.65,0.8,0.219178082191781
"slope_forage_fish",3.9579875,1.48872178878453,0.8,3.65,0.8,0.219178082191781,3.5225,4.33905243035842,0.8,3.65,0.8,0.219178082191781
"pacific_dogfish",3.76773612094569,0.1710746,0.15,3,0.79701037019925,0.05,3.27543180078532,0.04989681,0.1,3,0.961034184613185,0.0333333333333333
"salmon_shark",5.03463989385843,0.0078,0.1,6,0.0549241027070789,0.0166666666666667,4.8258592335607,0.03346981,0.1,3,0.132187806337896,0.0333333333333333
"pacific_sleeper_shark",4.1490610552544,0.0108,0.1,3,0.925556203609699,0.0333333333333333,4.83092846577957,0.03459453,0.1,6,0.852080031299093,0.0166666666666667
"big_skate",4.79487397663849,0.1604,0.3,2,0.890407674121491,0.15,4.65419920802338,0.0739,0.2,2,0.438449356900299,0.1
"longnose_skate",4.44580950152636,0.0339,0.3,2,0.944031268436955,0.15,3.7814180032394,0.05114916,0.2,2,0.524992746318683,0.1
"other_skates",4.49019025769872,0.0123,0.3,2,0.928505469708345,0.15,4.35305528033419,0.049442,0.2,2,0.976390346162002,0.1
"pacific_halibut_adult",4.50335310875692,0.428,0.19,1.116339,0.858472464353245,0.170199195764011,4.19055384289635,1.76423,0.19,1.1,0.293567691937465,0.172727272727273
"pacific_halibut_juvenile",3.6608183482726,0.00125894346831948,0.8,7.19678641073651,0.715932588864578,0.11116072568258,3.8435086960372,0.00362201946675972,0.7,8.01908849091581,0.443375455370081,0.0872917166075639
"arrowtooth_flounder_adult",4.71630161572616,2.3582,0.26,1.518629,0.669531213169829,0.171207055837864,4.40355371372777,6.509,0.26,1.44,0.375595882406594,0.180555555555556
"arrowtooth_flounder_juvenile",4.4438844872175,0.0683377727894858,2.2,8.16990697466253,0.962956364203779,0.269280911866304,3.81612425881207,0.115994102298352,1.5,6.80437213702005,0.866769112274392,0.220446496722168
"rex_sole_adult",3.5066951495232,0.2178,0.215,1.69,0.950909600536619,0.127218934911243,3.45080176465658,0.316411,0.2,2,0.556814544437415,0.1
"rex_sole_juvenile",3.5065685825232,0.0244948681826612,1.1,4.62247195704802,0.173840642286813,0.237967912022224,3.54886001591195,0.030436587394027,1.1,5.62839175569669,0.0129534091459534,0.195437710761098
"flathead_sole_adult",3.68706659902571,0.016,0.5,1.69,0.967060428706563,0.29585798816568,3.61733684372727,0.8294001,0.18,1.69,0.707486498273565,0.106508875739645
"flathead_sole_juvenile",3.97380734193628,0.0117437340950685,1.8,5.22017033214628,0.313672958740731,0.344816334615642,3.58781118078999,0.058766152011611,1.3205,5.88793589977401,0.815883135487475,0.224272142645215
"shallow_water_flatfish",3.58860226887983,0.5,0.8,2,0.981883462308113,0.4,3.54267652819012,3.91040163872847,0.2,2,0.8,0.1
"deep_water_flatfish",3.48713818188141,0.3725,0.2,2,0.308883242245191,0.1,3.45733217643112,0.271441,0.2,2,0.487251392460813,0.1
"pop_adult",4.17827537627941,1.4827,0.12,1.99,0.749123214011932,0.0603015075376884,3.5632228755614,0.82401,0.09,1.99,0.512356734605196,0.0452261306532663
"pop_juvenile",4.12941870807094,0.811833526812044,3.1,12.2478237238604,0.583997634313124,0.253106190119375,3.52272083998728,0.0214708346827825,1.1,6.5771505479182,0.024086967197488,0.167245677590301
"slope_rockfish",4.12239399286753,4.85,0.35,2,0.918554477655893,0.175,3.75299895494383,1.21330618350573,0.1,2,0.8,0.05
"demersal_shelf_rockfish",4.65766747208278,0.65,0.25,2,0.967884357368206,0.125,4.5474015973834,0.0311650789427961,0.1,2,0.8,0.05
"pelagic_shelf_rockfish",4.01409859993591,0.45,0.25,2,0.909000042546993,0.125,3.75274195865972,0.147,0.1,2,0.9786346537067,0.05
"thornyheads",3.8878332005185,0.163,0.25,0.625,0.90844779376841,0.4,3.84412490481467,0.132462,0.13,0.44,0.745841530118565,0.295454545454545
"sablefish_adult",3.69459999870302,0.55,0.5,1.25,0.901028817709964,0.4,3.77887873857421,0.938999,0.19,1.03,0.668015224961107,0.184466019417476
"sablefish_juvenile",3.74952688325775,0.0680736271854497,1.65,3.89866961963643,0.974861258596258,0.423221293666292,3.58630854959344,0.0393321880384648,1.65,3.27591628457258,0.0122940355143008,0.503675874676779
"pacific_cod_adult",3.98123061550361,0.271,0.42,2.19,0.866183478204506,0.191780821917808,4.02557262777227,1.639283,0.42,2.19,0.959193927946862,0.191780821917808
"pacific_cod_juvenile",3.91792359830444,0.0533771525071304,2,6.28843856444903,0.615999475875215,0.318043975384728,3.73173077464388,0.150802644299139,2.026288,8.48215340220503,0.614513312449788,0.238888393538514
"walleye_pollock_adult",4.09114842362664,0.555,1.05,3.78,0.85716953040923,0.277777777777778,3.68149869556065,10.15,0.425,3.78,0.898299335401542,0.112433862433862
"walleye_pollock_juvenile",3.95662784960543,0.549896720274022,2.05,8.5945317121605,0.970603529004463,0.238523757739986,3.55341603567665,2.03398452567318,1.964,10.6601439512184,0.77018515660177,0.184237662172988
"large_sculpins",4.87874930343081,0.0225,0.7,2.5,0.998715955942771,0.28,4.24753854134905,0.104247,0.4,2,0.850210112809161,0.2
"lingcod",4.99494885448401,0.1299,0.98,3.3,0.182082628996333,0.296969696969697,4.67409258632689,0.007680951,0.98,3.3,0.00114256770095124,0.296969696969697
"shelf_demersal_fish",3.96267493743888,1.67,0.675,2,0.971391101204354,0.3375,3.83359683660784,4.19794658011274,0.4,2,0.8,0.2
"slope_demersal_fish",4.79475481428493,1.3,0.85,2.125,0.97060860633156,0.4,4.26178636614444,7.01291290664956,0.15,2,0.8,0.075
"miscellaneous_deep_sea_fish",4.20048920075968,0.186669424701388,0.19,2,0.8,0.095,4.18152347460071,16.736741279574,0.1850308,2,0.8,0.0925154
"squid",4.21107450833429,2.07919463826017,4,10.67,0.8,0.374882849109653,3.6945232553469,9.02382593499832,3.2,10.67,0.8,0.299906279287723
"octopus",3.49154535112823,0.361896378107223,0.8,3.65,0.8,0.219178082191781,3.48355510083829,2.96773507453475,0.8,3.65,0.8,0.219178082191781
"tanner_crab",3.36985100812822,0.187369837468427,1,3,0.8,0.333333333333333,3.32633403545369,1.55807693332114,1,3,0.8,0.333333333333333
"king_crab",3.4073754421933,0.0574177173617862,0.6,3,0.8,0.2,3.39012060088556,0.006152222,0.6,3,0.278885154564398,0.2
