"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"transient_killer_whales",5.84160166404799,0.0055,0.02,4.2,0,0.00476190476190476,5.51438584943758,0.0011,0.015,4.143716,0,0.00361993920432771
"resident_killer_whales",5.18615454540262,0.0015,0.017,10.6,0,0.00160377358490566,4.8161519233248,0.0038,0.0172,10.56498,0,0.0016280201192998
"offshore_killer_whales",4.97964772273664,0.0012,0.017,23.8,0,0.000714285714285714,4.7396048817732,2e-04,0.0172,23.77121,0.193775,0.000723564345273127
"other_toothed_whales",4.99916775745666,0.1972,0.049,7.2,0,0.00680555555555556,4.97432700750396,0.01833848,0.058,6.17,0,0.00940032414910859
"humpback_whale",4.11349868671238,0.045,0.066,5.1,0.0122888888888889,0.0129411764705882,3.94365997442115,0.1401,0.066,5.11,0.123327704836878,0.0129158512720157
"other_baleen_whales",3.91847373730714,0.1294,0.048,5.23,0.0169218508500773,0.00917782026768642,3.69263585327203,0.3130889,0.049,5.548148,0.00128139475677395,0.00883177593676304
"dolphins_porpoises",4.81995005307725,0.0109,0.05,29.1,0.936715596330275,0.00171821305841924,4.70351277474009,0.014473,0.05,26.49065,0.795478881194611,0.0018874584051354
"northern_elephant_seal",4.98399658470677,0.318,0.038,7.1,0.0214101290963257,0.00535211267605634,4.86531586126452,0.02309069,0.038,7.1,0.069868363270729,0.00535211267605634
"northern_fur_seal",4.69803783441303,0.0025,0.116,61.2,0.00700168965517241,0.00189542483660131,NA,NA,NA,NA,NA,NA
"steller_sea_lion",4.87761960760395,0.0475,0.12,26.05,0.31359649122807,0.00460652591170825,4.75170239184232,0.02350884,0.105,25.607,0.991437039956779,0.00410044128558597
"harbor_seal",4.90919959632783,0.0432,0.14,22.9,0.396003637566138,0.00611353711790393,4.68923282453993,0.0064,0.14,22.89,0.968294884431835,0.00611620795107034
