"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"transient_killer_whales",5.83771270229666,0.0055,0.02,4.2,0,0.00476190476190476,4.95269778572418,0.0011,0.015,4.143716,0,0.00361993920432771
"resident_killer_whales",5.18856818142542,0.0015,0.017,10.6,0,0.00160377358490566,5.02986293751413,0.0038,0.0172,10.56498,0,0.0016280201192998
"offshore_killer_whales",4.96480754706049,0.0012,0.017,23.8,0,0.000714285714285714,5.25717323140243,2e-04,0.0172,23.77121,0.193775,0.000723564345273127
"other_toothed_whales",5.0032429944303,0.1972,0.049,7.2,0,0.00680555555555556,5.03994566199752,0.01833848,0.047,6.325758,0,0.00742993962146513
"humpback_whale",4.11486741251562,0.045,0.066,5.1,0.0122888888888889,0.0129411764705882,4.05186998157133,0.1401,0.037,5.11,0.245316156804244,0.00724070450097847
"other_baleen_whales",3.91853947847483,0.1294,0.048,5.23,0.0169218508500773,0.00917782026768642,3.78771915893268,0.3130889,0.03757975,5.548148,0.241538959145687,0.00677338636244022
"dolphins_porpoises",4.81775580809106,0.0109,0.05,29.1,0.936715596330275,0.00171821305841924,4.80397574080885,0.014,0.05,26.49065,0.259521720969286,0.0018874584051354
"northern_elephant_seal",4.97590359424271,0.318,0.038,7.1,0.0214101290963257,0.00535211267605634,4.92588743032639,0.02309069,0.268,7.1,0,0.0377464788732394
"northern_fur_seal",4.71703232926654,0.0025,0.116,61.2,0.00700168965517241,0.00189542483660131,NA,NA,NA,NA,NA,NA
"steller_sea_lion",4.86991912361675,0.0383,0.12,26.05,0.388925152306353,0.00460652591170825,4.85394855367513,0.02291887,0.1097936,25.60679,0.0993520036543914,0.00428767526113191
"harbor_seal",4.9100177645963,0.0432,0.14,22.9,0.396003637566137,0.00611353711790393,4.78309243101605,0.0064,0.082653,22.89,0.208743305000144,0.00361087811271298
"sea_otter",3.46721026048143,0.0031,0.11,110.1,0.57439853372434,0.000999091734786558,3.84713092991367,0.0038,0.116863,110.07,0.0777510835652282,0.00106171527209957
"piscivorous_surface_birds",4.81133132860533,0.0055,0.27,68.21,0.000392405366084175,0.00395836387626448,4.64756366870005,0.002510361,0.0890277,86.29179,0.0858386180308361,0.00103170533372874
"planktivorous_surface_birds",3.96261586261772,0.0081,0.31,73.85,0.000342625879181601,0.0041976980365606,4.3927145082101,0.000422872,0.1689998,110.0001,0.0247211464689053,0.00153636042149053
"piscivorous_diving_birds",4.70636762557481,0.001,0.21,71.59,0.000493765969897619,0.00293337058248359,4.57411988180712,0.01219575,0.09901591,73.51319,0.0719069174449781,0.0013469135266746
"planktivorous_diving_birds",3.95753065267314,3e-04,0.4,84.06,0.000245138688377917,0.00475850582916964,4.3927145082101,9.21153e-05,0.169,110,0.418332174861095,0.00153636363636364
"chinook_king_salmon",4.5412218472767,0.015,1.4,7.5,0.984000605284363,0.186666666666667,NA,NA,NA,NA,NA,NA
"coho_silver_salmon",4.54487041680824,0.0275,3,16.55,0.982814254311981,0.181268882175227,NA,NA,NA,NA,NA,NA
"chum_dog_salmon",3.84232346375284,5.5753,1.93,14.51,0.0325952190203674,0.133011716057891,NA,NA,NA,NA,NA,NA
"pink_humpback_salmon",3.9580007011585,2.869,3.37,18.49,0.0727183190722111,0.182260681449432,NA,NA,NA,NA,NA,NA
"sockeye_red_salmon",4.03432907682687,2.4314,1.27,10.13,0.0540496128842329,0.125370187561698,NA,NA,NA,NA,NA,NA
"pacific_hake",4.42520242983176,0.0102,0.55,2.75,0.860743668392515,0.2,4.45899263913002,0.002,0.55,2.75,5.23092848381846,0.2
"pacific_herring_adult",3.6830277010083,0.7367,1.05,4.75,0.92682343731564,0.221052631578947,3.71769049398251,0.36,0.32,3.52,0.707142340869692,0.0909090909090909
"pacific_herring_juvenile",3.66579288000415,1.63251166502371,1.25,8.84035873023134,0.768233663974106,0.141396976994314,3.69995884051822,0.0481242276078391,2,10.5055483894034,0.721530011246759,0.190375592578998
"pacific_sandlance",3.6798101415,11.4321973868164,0.8,3.65,0.8,0.219178082191781,3.70483992558501,6.7141290465843,0.8,3.65,0.8,0.219178082191781
"pacific_capelin",3.6798101415,32.0565303760197,0.8,3.65,0.8,0.219178082191781,3.70483992558501,10.5202468276004,0.8,3.65,0.8,0.219178082191781
"shelf_forage_fish",3.6798101415,11.9603564861371,0.8,3.65,0.8,0.219178082191781,3.69661124828974,14.785853325442,0.8,3.65,0.8,0.219178082191781
"slope_forage_fish",3.6798101415,12.9018095783035,0.8,3.65,0.8,0.219178082191781,3.70483992558501,4.33287647506954,0.8,3.65,0.8,0.219178082191781
"pacific_dogfish",3.64731488066188,0.1710746,0.1,3,0.780538697245644,0.0333333333333333,3.33469811626839,0.04989681,0.1,3,0.981157601311718,0.0333333333333333
"salmon_shark",4.88273148197465,0.0078,0.1,6,0.0549241025959454,0.0166666666666667,4.91222034025618,0.03346981,0.1,6,0.132187806356517,0.0166666666666667
"pacific_sleeper_shark",4.01928105963094,0.0108,0.1,3,0.925556203692687,0.0333333333333333,4.93811517565509,0.03459453,0.1,3,0.852080031309469,0.0333333333333333
"big_skate",4.7194315291968,0.1604,0.2,2,0.907860113117605,0.1,4.72444440327473,0.0739,0.2,2,0.438449356900787,0.1
"longnose_skate",4.3128808306453,0.0339,0.2,2,0.683091150442299,0.1,3.83379849493183,0.05114916,0.2,2,0.52499274631946,0.1
"other_skates",4.34837364033764,0.0123,0.2,2,0.926566372981977,0.1,4.45032056155157,0.046296,0.2,2,0.957431451284427,0.1
"pacific_halibut_adult",4.37826324549708,0.428,0.19,1.116339,0.824895074903839,0.170199195764011,4.25831475215978,1.76423,0.19,1.1,0.32057038667043,0.172727272727273
"pacific_halibut_juvenile",3.62551749947448,0.00119367962777288,0.7,7.10327035930607,0.725324897637941,0.0985461575572613,3.8880319346237,0.00362201946675972,0.7,8.01908849091581,0.838826099317304,0.0872917166075639
"arrowtooth_flounder_adult",4.52080980456874,2.3582,0.26,1.518629,0.942177899113391,0.171207055837864,4.53831188765738,6.509,0.26,1.44,0.333275654236562,0.180555555555556
"arrowtooth_flounder_juvenile",4.10796704745033,0.041507700959556,1.5,7.21268118606594,0.400782744016202,0.207967045999181,3.96803891048179,0.115994102298352,1.5,6.80437213702005,0.866629248425494,0.220446496722168
"rex_sole_adult",3.49140490443761,0.2178,0.2,1.69,0.964362513414433,0.118343195266272,3.46904013820138,0.3152,0.2,2,0.55895382874357,0.1
"rex_sole_juvenile",3.49127833743761,0.021931136949445,1.1,4.68057842592155,0.191310354165273,0.235013688459546,3.65372629097287,0.0303200974258079,1.1,5.62839175569669,0.00967955102677503,0.195437710761098
"flathead_sole_adult",3.63062506363918,0.016,0.5,1.69,0.967060428706063,0.29585798816568,3.64731076915537,0.8294001,0.18,1.69,0.700607864918478,0.106508875739645
"flathead_sole_juvenile",3.69212115166551,0.00649918560890262,1.3205,4.56065141096288,0.470879092612616,0.289541971312648,3.69497869662595,0.058766152011611,1.3205,5.88793589977401,0.815291880739644,0.224272142645215
"shallow_water_flatfish",3.56260876031809,5.02464215561049,0.2,2,0.8,0.1,3.5592668339657,3.86793869692177,0.2,2,0.8,0.1
"deep_water_flatfish",3.47614346207031,0.3725,0.2,2,0.333720693715006,0.1,3.46420983722316,0.2527558,0.2,2,0.520932969001584,0.1
"pacific_ocean_perch_adult",3.88709135203775,1.4827,0.09,1.99,0.998830952015959,0.0452261306532663,3.69951100828496,0.82401,0.09,1.99,0.50187211280951,0.0452261306532663
"pacific_ocean_perch_juvenile",3.72727710339558,0.0286048195595552,1.1,7.30199224491194,0.981951515479046,0.150643819262679,3.59712842280579,0.0214708346827825,1.1,6.5771505479182,0.024086967197353,0.167245677590301
"slope_rockfish",3.89322067753536,38.5608926429696,0.1,2,0.8,0.05,3.87244389722849,1.21067728357678,0.1,2,0.8,0.05
"demersal_shelf_rockfish",4.62934106419676,1.95949966004404,0.1,2,0.8,0.05,4.59662219603606,0.0273072115489732,0.1,2,0.8,0.05
"pelagic_shelf_rockfish",4.16412036419655,0.45,0.1,2,0.798608776843436,0.05,3.856361614046,0.147,0.1,2,0.990289595972636,0.05
"thornyheads",3.81692484586979,0.163,0.13,0.44,0.992807409494865,0.295454545454545,3.8759057970585,0.0517,0.13,0.44,1.76145821892111,0.295454545454545
"sablefish_adult",3.62373754285302,0.55,0.5,1.25,0.783537883894867,0.4,3.88494055605924,0.858,0.19,1.03,0.942521616594446,0.184466019417476
"sablefish_juvenile",3.75169244900962,0.0680736271854497,1.65,3.89866961963643,0.633529297163207,0.423221293666292,3.71249540457404,0.0359393538619346,1.65,3.27591628457259,0.0134546469159774,0.503675874676779
"pacific_cod_adult",3.91931218961706,0.271,0.42,2.19,0.866183478204493,0.191780821917808,4.07650187739908,1.639283,0.42,2.19,0.95831488326042,0.191780821917808
"pacific_cod_juvenile",3.8573218020844,0.0544887436297915,2.026288,6.31741737212913,0.809813620888527,0.320746260796299,3.78130086843601,0.150802644299139,2.026288,8.48215340220503,0.614203419943065,0.238888393538514
"walleye_pollock_adult",3.85282790744065,0.555,1.3,3.78,0.749937398440152,0.343915343915344,3.81431176675231,10.15,0.425,3.78,0.889942618389163,0.112433862433862
"walleye_pollock_juvenile",3.73356190387126,0.703192883498678,1.964,8.12511158900107,0.987075812400147,0.241719757136463,3.69652967523167,2.03398452567318,1.964,10.6601439512184,0.770138128418338,0.184237662172988
"large_sculpins",4.7082179989166,0.0225,0.7,2.5,0.834295230458213,0.28,4.27741316356867,0.104247,0.4,2,0.854972369381765,0.2
"lingcod",4.80072559977545,0.1299,0.98,3.3,0.161741835940301,0.296969696969697,4.79605411558011,0.007680951,0.98,3.3,0.00114256770086528,0.296969696969697
