"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"transient_killer_whales",5.84057121439312,0.0055,0.02,4.2,0,0.00476190476190476,5.51339591839959,0.0011,0.015,4.143716,0,0.00361993920432771
"resident_killer_whales",5.18621619397365,0.0015,0.017,10.6,0,0.00160377358490566,4.81545337171832,0.0038,0.0172,10.56498,0,0.0016280201192998
"offshore_killer_whales",4.96414317573361,0.0012,0.017,23.8,0,0.000714285714285714,4.7392024481422,2e-04,0.0172,23.77121,0.193775,0.000723564345273127
"other_toothed_whales",4.99924164464127,0.1972,0.049,7.2,0,0.00680555555555556,4.97365984759637,0.01833848,0.047,6.325758,0,0.00742993962146513
"humpback_whale",4.1134994097776,0.045,0.066,5.1,0.0122888888888889,0.0129411764705882,3.94250301735652,0.1401,0.037,5.11,0.219989959979297,0.00724070450097847
"other_baleen_whales",3.91847441954886,0.1294,0.048,5.23,0.0169218508500773,0.00917782026768642,3.6916626812592,0.3130889,0.03757975,5.548148,0.00167080257537433,0.00677338636244022
"dolphins_porpoises",4.816430691222,0.0109,0.05,29.1,0.936715596330275,0.00171821305841924,4.70251368040474,0.014473,0.05,26.49065,0.795478881194611,0.0018874584051354
"northern_elephant_seal",4.98404116949008,0.318,0.038,7.1,0.0214101290963257,0.00535211267605634,4.86460521467744,0.02309069,0.038,7.1,0.069868363270729,0.00535211267605634
"northern_fur_seal",4.71701663739067,0.0025,0.116,61.2,0.00700168965517241,0.00189542483660131,NA,NA,NA,NA,NA,NA
"steller_sea_lion",4.87782900586132,0.0383,0.12,26.05,0.388925152306353,0.00460652591170825,4.75076026881283,0.02291887,0.1097936,25.60679,0.972557781008387,0.00428767526113191
"harbor_seal",4.90711244103565,0.0432,0.14,22.9,0.396003637566137,0.00611353711790393,4.68823919014415,0.0064,0.14,22.89,0.968294884431834,0.00611620795107034
"sea_otter",3.46721026048143,0.0031,0.11,110.1,0.57439853372434,0.000999091734786558,3.82426099674364,0.0038,0.116863,110.07,0.237678004667237,0.00106171527209957
"piscivorous_surface_birds",4.54129268575165,0.00148,0.27,68.21,0.00288097877877878,0.00395836387626448,4.51159859464325,0.00256,0.09,84.27,0.0636582664175347,0.00106799572801709
"planktivorous_surface_birds",4.50752199452588,0.000614,0.31,73.85,0.00251395813806872,0.0041976980365606,4.1531280163,0.000308,0.12,136,0.0399577538051948,0.000882352941176471
"piscivorous_diving_birds",4.31700789225731,0.0146,0.21,71.59,0.003687700456621,0.00293337058248359,4.25953611944984,0.0212,0.0823,73,0.0626933022258649,0.00112739726027397
"planktivorous_diving_birds",3.80617208360192,0.000336,0.4,84.06,0.00195291726190476,0.00475850582916964,3.58255845024622,0.000411,0.17,110,0.117099014964935,0.00154545454545455
"chinook_king_salmon",4.53351876586818,0.0375,0.8,5.33,0.92744993932173,0.150093808630394,NA,NA,NA,NA,NA,NA
"coho_silver_salmon",4.54659254080685,0.0375,2.47,16.55,0.95315148891506,0.149244712990937,NA,NA,NA,NA,NA,NA
"chum_dog_salmon",3.84239728019635,5.5753,1.93,14.51,0.0291591616150971,0.133011716057891,NA,NA,NA,NA,NA,NA
"pink_humpback_salmon",3.95780677674079,2.869,3.37,18.49,0.0707950678073001,0.182260681449432,NA,NA,NA,NA,NA,NA
"sockeye_red_salmon",4.03426751691223,2.4314,1.27,10.13,0.0489935172808476,0.125370187561698,NA,NA,NA,NA,NA,NA
"pacific_hake",4.4248103625464,0.0102,0.55,2.75,0.871006020708315,0.2,4.2938376610465,0.013195670916552,0.55,2.75,0.8,0.2
"pacific_herring_adult",3.6830277010083,0.7367,1,4.795,0.980594857356556,0.208550573514077,3.60656551023757,0.36,0.32,3.52,0.719417878788125,0.0909090909090909
"pacific_herring_juvenile",3.66579288000415,1.53542034842384,1.25,8.97107176985005,0.83143405551315,0.13933675173584,3.58772845747892,0.0481242276078391,2,10.5055483894034,0.704677209806846,0.190375592578998
