node,wgoa_group_name,common_name,scientific_name
1,Transient killer whales,transient killer whale,transient killer whale
2,Resident killer whales,resident killer whale,resident killer whale
3,Offshore killer whales,offshore killer whale,offshore killer whale
4,Other toothed whales,thoothed whales,thoothed whales
5,Humpback whale,Humpback whale,Humpback whale
6,Other baleen whales,baleen whales,baleen whales
7,Dolphins & porpoises,Dolphins porpoises,Dolphins porpoises
8,Northern elephant seal,Steller sea lion,Steller sea lion
9,Northern fur seal adult,fur seal,fur seal
11,Steller sea lion,Steller sea lion,Steller sea lion
12,Harbor seal,Harbor seal,Harbor seal
13,Sea otter,Sea otter,Sea otter
14,Piscivorous surface birds,Piscivorous surface birds,Piscivorous surface birds
15,Planktivorous surface birds,Planktivorous surface birds,Planktivorous surface birds
16,Piscivorous diving birds,Piscivorous diving birds,Piscivorous diving birds
17,Planktivorous diving birds,Planktivorous diving birds,Planktivorous diving birds
18,Salmon returning,chinook ,Oncorhynchus tshawytscha
18,Salmon returning,coho,Oncorhynchus kisutch
18,Salmon returning,pink,Oncorhynchus gorbuscha
18,Salmon returning,chum,Oncorhynchus keta
18,Salmon returning,sockeye,Oncorhynchus nerka
20,Pacific hake,hake,Merluccius productus
21,Pacific herring adult,herring,Clupea pallasii
23,Pacific sandlance,Arctic sand lance,Ammodytes hexapterus
23,Pacific sandlance,Pacific sand lance,Ammodytes personatus
24,Pacific capelin,Pacific capelin,Mallotus villosus
25,Shelf forage fish,argentine,Argentinidae
25,Shelf forage fish,bluethroat argentine,Nansenia candida
25,Shelf forage fish,Pacific argentine,Argentina sialis
25,Shelf forage fish,Pacific sardine,Sardinops sagax
25,Shelf forage fish,Pacific sandfish,Trichodon trichodon
25,Shelf forage fish,threespine stickleback,Gasterosteus aculeatus
25,Shelf forage fish,smelt,Osmeridae
25,Shelf forage fish,eulachon,Thaleichthys pacificus
25,Shelf forage fish,surf smelt,Hypomesus pretiosus
25,Shelf forage fish,whitebait smelt,Allosmerus elongatus
25,Shelf forage fish,rainbow smelt,Osmerus mordax
25,Shelf forage fish,night smelt,Spirinchus starksi
25,Shelf forage fish,longfin smelt,Spirinchus thaleichthys
25,Shelf forage fish,pond smelt,Hypomesus olidus
25,Shelf forage fish,dwarf wrymouth,Cryptacanthodes aleutensis
25,Shelf forage fish,prickleback,Stichaeidae
25,Shelf forage fish,NA,Lumpenus sp.
25,Shelf forage fish,bluebarred prickleback,Plectobranchus evides
25,Shelf forage fish,fourline snakeblenny,Eumesogrammus praecisus
25,Shelf forage fish,Arctic shanny,Stichaeus punctatus
25,Shelf forage fish,daubed shanny,Leptoclinus maculatus
25,Shelf forage fish,stout eelblenny,Anisarchus medius
25,Shelf forage fish,slender eelblenny,Lumpenus fabricii
25,Shelf forage fish,snake prickleback,Lumpenus sagitta
25,Shelf forage fish,pighead prickleback,Acantholumpenus mackayi
25,Shelf forage fish,longsnout prickleback,Lumpenella longirostris
25,Shelf forage fish,NA,Chirolophis sp.
25,Shelf forage fish,decorated warbonnet,Chirolophis decoratus
25,Shelf forage fish,bearded warbonnet,Chirolophis snyderi
25,Shelf forage fish,matcheek warbonnet,Chirolophis tarsodes
25,Shelf forage fish,whitebarred prickleback,Poroclinus rothrocki
25,Shelf forage fish,mosshead warbonnet,Chirolophis nugator
25,Shelf forage fish,nutcracker prickleback,Bryozoichthys lysimus
25,Shelf forage fish,pearly prickleback,Bryozoichthys marjorius
25,Shelf forage fish,gunnel,Pholidae
25,Shelf forage fish,crescent gunnel,Pholis laeta
26,Slope forage fish,deepsea smelt ,Bathylagidae
26,Slope forage fish,Pacific blacksmelt,Bathylagus pacificus
26,Slope forage fish,robust blacksmelt,Pseudobathylagus milleri
26,Slope forage fish,northern smoothtongue,Leuroglossus schmidti
26,Slope forage fish,popeye blacksmelt,Lipolagus ochotensis
26,Slope forage fish,NA,Leuroglossus sp.
26,Slope forage fish,California smoothtongue,Leuroglossus stilbius
26,Slope forage fish,goby,Gobiidae
26,Slope forage fish,bristlemouth,Gonostomatidae
26,Slope forage fish,slender fangjaw,Sigmops gracilis
26,Slope forage fish,NA,Cyclothone sp.
26,Slope forage fish,black bristlemouth,Cyclothone atraria
26,Slope forage fish,slender bristlemouth,Cyclothone pseudopallida
26,Slope forage fish,showy bristlemouth,Cyclothone signata
26,Slope forage fish,benttooth bristlemouth,Cyclothone acclinidens
26,Slope forage fish,bigscale,Melamphaidae
26,Slope forage fish,crested bigscale,Poromitra curilensis
26,Slope forage fish,NA,Poromitra cristiceps
26,Slope forage fish,highsnout bigscale,Melamphaes lugubris
26,Slope forage fish,lanternfish,Myctophidae
26,Slope forage fish,NA,Stenobrachius sp.
26,Slope forage fish,northern lampfish,Stenobrachius leucopsarus
26,Slope forage fish,garnet lampfish,Stenobrachius nannochir
26,Slope forage fish,NA,Diaphus sp.
26,Slope forage fish,California headlightfish,Diaphus theta
26,Slope forage fish,NA,Lampanyctus sp.
26,Slope forage fish,broadfin lanternfish,Lampanyctus ritteri
