year,run_type,pacific_cod_adult,walleye_pollock_adult,arrowtooth_flounder_adult,pacific_cod_adult_mt,walleye_pollock_adult_mt,arrowtooth_flounder_adult_mt,,,,
1990,biomass_126,1.664532304,12.93771247,6.620586306,390780.5845,3037373.818,1554308.426,,,,
1991,biomass_126,3.938641379,30.18559001,11.49457779,924670.8979,7086640.781,2698570.533,,,,
1992,biomass_126,7.119552709,42.37123921,19.73627647,1671450.27,9947453.458,4633465.89,,,,
1993,biomass_126,9.868496821,48.43138853,26.75006748,2316817.13,11370188.65,6280086.592,,,,
1994,biomass_126,12.26867157,53.96922667,32.05350393,2880303.755,12670301.38,7525169.065,,,,
1995,biomass_126,14.41589025,56.15408651,36.04072573,3384404.137,13183238.74,8461245.139,,,,
1996,biomass_126,16.21825407,56.01323044,38.55217386,3807543.29,13150170.1,9050855.304,,,,
1997,biomass_126,17.94090099,54.29678098,40.38989709,4211967.385,12747200.97,9482295.749,,,,
1998,biomass_126,19.53904097,52.07566246,41.57024255,4587161.111,12225751.2,9759404.273,,,,
1999,biomass_126,21.11226725,50.08891473,42.62114265,4956505.87,11759324.42,10006123.04,,,,
2000,biomass_126,22.59787171,48.25268733,43.39228274,5305279.743,11328235.15,10187162.83,,,,
2001,biomass_126,24.46702727,48.48737931,44.72229545,5744099.526,11383333.55,10499408.58,,,,
2002,biomass_126,26.67923283,48.47078481,46.43199758,6263456.812,11379437.68,10900793.64,,,,
2003,biomass_126,28.49087742,47.48780373,47.35310143,6688774.801,11148664.19,11117040.27,,,,
2004,biomass_126,30.2615677,46.74168884,48.11634182,7104477.988,10973499.55,11296225.45,,,,
2005,biomass_126,31.59469988,45.26164155,48.19001669,7417456.097,10626030.32,11313522.03,,,,
2006,biomass_126,32.94159673,45.03809514,48.29886466,7733665.723,10573548.56,11339076.16,,,,
2007,biomass_126,34.30526418,44.46571325,48.46236313,8053812.567,10439171.03,11377460.53,,,,
2008,biomass_126,35.47133233,44.13991455,48.49150364,8327569.221,10362683.6,11384301.82,,,,
2009,biomass_126,36.56718998,43.70654734,48.43568406,8584842.625,10260942.41,11371197.11,,,,
2010,biomass_126,37.48197518,42.82297872,48.10152915,8799605.832,10053507.89,11292747.9,,,,
2011,biomass_126,38.36065617,42.33556387,47.81380289,9005892.889,9939077.995,11225198.69,,,,
2012,biomass_126,38.6078481,40.78310963,46.83836128,9063925.89,9574609.866,10996195.24,,,,
2013,biomass_126,39.28045952,41.4371972,46.48851075,9221834.201,9728169.35,10914061.18,,,,
2014,biomass_126,40.25539908,42.19036861,46.53118588,9450719.788,9904990.649,10924079.98,,,,
2015,biomass_126,41.7352025,42.89358455,47.09974274,9798131.756,10070083.95,11057559.5,,,,
2016,biomass_126,42.70830681,42.43729882,47.06443986,10026586.48,9962962.208,11049271.48,,,,
2017,biomass_126,43.88722956,43.2683544,47.371365,10303361,10158068.29,11121327.99,,,,
2018,biomass_126,44.80956692,43.20072517,47.3855993,10519897.22,10142191.05,11124669.76,,,,
2019,biomass_126,45.66093699,44.23159441,47.50037634,10719772.52,10384207.19,11151615.85,,,,
2020,biomass_126,46.87361948,45.10448248,47.99572865,11004472.77,10589134.25,11267909.22,,,,
2021,biomass_126,45.41142704,39.15876924,45.61376338,10661195.31,9193265.096,10708697.62,,,,
2022,biomass_126,40.9692008,32.27504031,41.54025345,9618298.303,7577178.938,9752363.763,,,,
2023,biomass_126,37.17700826,30.82313686,38.63803574,8728009.052,7236317.017,9071013.013,,,,
2024,biomass_126,35.78217786,32.49344282,37.4488767,8400546.114,7628453.076,8791835.335,,,,
2025,biomass_126,35.93713496,32.91908478,37.52003219,8436925.237,7728380.615,8808540.437,,,,
2026,biomass_126,35.22563294,30.78708768,36.94012345,8269886.619,7227853.787,8672395.841,,,,
2027,biomass_126,34.86587226,31.66304041,36.05151189,8185425.965,7433500.333,8463777.394,,,,
2028,biomass_126,35.03836975,32.72667164,35.61458785,8225923.028,7683207.974,8361201.174,,,,
2029,biomass_126,34.25539384,32.82152217,34.9636739,8042104.556,7705475.939,8208386.759,,,,
2030,biomass_126,33.55793812,34.33361109,33.9469143,7878363.575,8060467.543,7969683.124,,,,
2031,biomass_126,33.31254127,36.74348447,33.06222862,7820752.001,8626231.106,7761986.351,,,,
2032,biomass_126,32.36621813,38.2000361,32.44566224,7598584.664,8968184.276,7617235.679,,,,
2033,biomass_126,31.10297556,40.02516479,32.25608413,7302014.47,9396667.912,7572728.615,,,,
2034,biomass_126,30.63286576,40.14669434,32.34908101,7191647.262,9425199.284,7594561.399,,,,
2035,biomass_126,30.18998066,40.3252695,31.95245806,7087671.569,9467123.195,7501446.627,,,,
2036,biomass_126,29.61103484,40.3527477,31.62862508,6951753.039,9473574.224,7425420.682,,,,
2037,biomass_126,27.64533532,37.56691778,30.96384038,6490267.727,8819547.72,7269349.842,,,,
2038,biomass_126,25.69008255,36.69124505,30.72258969,6031234.99,8613966.908,7212711.659,,,,
2039,biomass_126,24.8787128,34.89885347,31.17809902,5840750.525,8193168.93,7319651.13,,,,
2040,biomass_126,24.26467504,32.75541321,31.15929315,5696593.495,7689955.604,7315236.093,,,,
2041,biomass_126,23.91046245,30.41399373,31.00229643,5613435.358,7140262.895,7278378.13,,,,
2042,biomass_126,23.42888632,30.36613729,30.90485194,5500376.212,7129027.685,7255501.186,,,,
2043,biomass_126,23.14680455,29.81433964,30.89383176,5434152.157,6999482.704,7252913.989,,,,
2044,biomass_126,23.51360643,29.56919749,31.20367615,5520265.867,6941930.926,7325655.846,,,,
2045,biomass_126,24.02647408,29.6609723,31.58762001,5640671.293,6963476.807,7415793.962,,,,
2046,biomass_126,23.8582543,29.22444371,31.48438022,5601178.504,6860993.425,7391556.46,,,,
2047,biomass_126,23.16307919,30.17973531,30.6672475,5437972.938,7085266.279,7199719.028,,,,
2048,biomass_126,22.62938243,31.71765258,29.98627975,5312677.484,7446321.578,7039848.911,,,,
2049,biomass_126,21.88895323,32.97972901,29.49330817,5138847.661,7742618,6924114.465,,,,
2050,biomass_126,21.25664375,32.6671735,28.34804036,4990400.997,7669239.655,6655241.088,,,,
2051,biomass_126,21.41064839,33.77067693,27.24100227,5026556.512,7928308.052,6395342.862,,,,
2052,biomass_126,21.87089705,34.89137199,26.77239579,5134608.629,8191412.511,6285328.586,,,,
2053,biomass_126,22.6153782,37.34945362,27.0617519,5309389.725,8768493.876,6353260.432,,,,
2054,biomass_126,23.5278587,39.6108585,27.24323913,5523611.858,9299401.64,6395868.006,,,,
2055,biomass_126,24.54957593,41.56210892,27.84325593,5763479.392,9757494.748,6536733.352,,,,
2056,biomass_126,24.78720415,40.02434174,27.81402304,5819267.132,9396474.685,6529870.375,,,,
2057,biomass_126,24.75258901,39.75541523,27.23729049,5811140.57,9333339.078,6394471.451,,,,
2058,biomass_126,24.77957567,41.27739501,26.77762008,5817476.2,9690652.75,6286555.089,,,,
2059,biomass_126,25.19777285,42.09388636,26.73366475,5915655.934,9882339.607,6276235.74,,,,
2060,biomass_126,25.69804864,41.69047767,27.02356717,6033105.18,9787631.753,6344295.841,,,,
2061,biomass_126,26.44269132,41.80400192,27.097304,6207924.198,9814283.726,6361606.963,,,,
2062,biomass_126,27.14865666,42.4145987,26.63272203,6373662.975,9957632.922,6252537.519,,,,
2063,biomass_126,27.46392162,40.42989847,25.92923094,6447677.414,9491686.835,6087379.618,,,,
2064,biomass_126,27.97263945,38.4744561,25.34602349,6567108.59,9032609.585,5950460.588,,,,
2065,biomass_126,28.48848795,37.8729525,24.90482704,6688213.828,8891395.187,5846881.339,,,,
2066,biomass_126,28.98488353,36.03656169,24.88828886,6804752.121,8460267.552,5842998.687,,,,
2067,biomass_126,28.9037684,35.54466721,24.37603265,6785708.804,8344785.976,5722736.81,,,,
2068,biomass_126,29.00298908,37.17904551,24.00553918,6809002.742,8728487.335,5635756.427,,,,
2069,biomass_126,29.12859939,39.6167258,23.72676606,6838492.151,9300779.099,5570309.142,,,,
2070,biomass_126,29.84568942,41.88761037,24.0007434,7006842.66,9833912.399,5634630.527,,,,
2071,biomass_126,30.62745475,42.06384226,24.34960745,7190376.924,9875286.183,5716532.992,,,,
2072,biomass_126,30.57813323,43.11285085,24.60783576,7178797.76,10121560.88,5777156.994,,,,
2073,biomass_126,30.44298776,45.69597192,24.39375138,7147069.792,10727997.63,5726896.619,,,,
2074,biomass_126,29.70279199,46.05036899,23.55728224,6973294.773,10811199.08,5530519.595,,,,
2075,biomass_126,28.33796807,46.01977292,22.76640903,6652876.427,10804016.07,5344847.08,,,,
2076,biomass_126,27.28093928,45.58543618,21.86743156,6404718.834,10702047.27,5133795.041,,,,
2077,biomass_126,26.19311345,46.86269076,21.42112166,6149331.053,11001907.05,5029015.311,,,,
2078,biomass_126,25.0768014,47.6909395,21.37805941,5887255.588,11196354.17,5018905.63,,,,
2079,biomass_126,24.80323307,48.05136248,21.20306329,5823030.224,11280970.32,4977821.966,,,,
2080,biomass_126,24.23370485,47.59787367,20.60165484,5689322.653,11174505.2,4836629.905,,,,
2081,biomass_126,24.27857237,47.84343014,20.58309314,5699856.156,11232154.25,4832272.194,,,,
2082,biomass_126,24.92266819,48.94062632,20.75100487,5851069.888,11489741.9,4871692.663,,,,
2083,biomass_126,25.71625627,50.92345106,20.8673875,6037379.769,11955247.68,4899015.697,,,,
2084,biomass_126,26.12656245,48.9640278,20.93465721,6133706.94,11495235.84,4914808.539,,,,
2085,biomass_126,26.37292767,48.02869163,21.17907854,6191545.857,11275647.91,4972191.09,,,,
2086,biomass_126,26.95246879,49.37911045,21.6447891,6327604.144,11592684.38,5081525.492,,,,
2087,biomass_126,27.73305677,48.67194438,21.75182544,6510862.005,11426663.71,5106654.307,,,,
2088,biomass_126,28.47923049,49.14768952,21.5274598,6686040.462,11538353.92,5053980.211,,,,
2089,biomass_126,28.68369902,47.22367999,20.62893361,6734043.336,11086656.13,4843034.114,,,,
2090,biomass_126,28.85163733,46.17192053,20.05793089,6773470.043,10839735.61,4708980.377,,,,
2091,biomass_126,28.81642392,44.50078209,20.09232534,6765203.027,10447404.11,4717055.127,,,,
2092,biomass_126,29.0781528,43.35465308,20.93759623,6826648.855,10178328.55,4915498.528,,,,
2093,biomass_126,29.25063455,42.52713485,21.7368056,6867142.223,9984052.921,5103128.113,,,,
2094,biomass_126,28.87202705,41.49173637,21.97866461,6778256.919,9740973.456,5159909.112,,,,
2095,biomass_126,28.12831689,39.29029603,21.96627449,6603656.827,9224143.509,5157000.296,,,,
2096,biomass_126,27.78559551,39.74388607,22.42887596,6523196.473,9330632.389,5265604.779,,,,
2097,biomass_126,27.8254709,39.65392231,22.83902263,6532557.977,9309511.686,5361894.503,,,,
