"","run_type","pacific_cod_adult","walleye_pollock_adult","arrowtooth_flounder_adult"
"1990...1","biomass_126",1.6645323039203,12.93771246679,6.62058630559479
"1991...2","biomass_126",3.93864137876182,30.1855900092552,11.4945777884895
"1992...3","biomass_126",7.11955270891086,42.3712392105948,19.7362764659971
"1993...4","biomass_126",9.86849682088958,48.4313885273915,26.750067480338
"1994...5","biomass_126",12.2686715666596,53.9692266690535,32.0535039349935
"1995...6","biomass_126",14.415890246472,56.1540865088595,36.0407257312041
"1996...7","biomass_126",16.2182540721508,56.013230436775,38.5521738575149
"1997...8","biomass_126",17.9409009936958,54.2967809826011,40.3898970857412
"1998...9","biomass_126",19.5390409745505,52.0756624567446,41.5702425475261
"1999...10","biomass_126",21.1122672497197,50.0889147299113,42.6211426526741
"2000...11","biomass_126",22.5978717067228,48.2526873309084,43.3922827378743
"2001...12","biomass_126",24.4670272719237,48.4873793051654,44.7222954521074
"2002...13","biomass_126",26.6792328292781,48.4707848104532,46.4319975788916
"2003...14","biomass_126",28.4908774191005,47.4878037278285,47.3531014262487
"2004...15","biomass_126",30.2615677018346,46.7416888434579,48.1163418164971
"2005...16","biomass_126",31.5946998846083,45.2616415493566,48.1900166886871
"2006...17","biomass_126",32.9415967314496,45.0380951393038,48.2988646602325
"2007...18","biomass_126",34.3052641815095,44.4657132493931,48.4623631257811
"2008...19","biomass_126",35.4713323335073,44.1399145495445,48.4915036424242
"2009...20","biomass_126",36.5671899807156,43.7065473439836,48.435684055364
"2010...21","biomass_126",37.4819751832474,42.8229787184448,48.1015291502767
"2011...22","biomass_126",38.3606561735929,42.3355638717314,47.8138028939019
"2012...23","biomass_126",38.607848099041,40.7831096339671,46.8383612763523
"2013...24","biomass_126",39.2804595208973,41.4371972033179,46.488510746508
"2014...25","biomass_126",40.255399084066,42.1903686141261,46.5311858765979
"2015...26","biomass_126",41.7352025002344,42.8935845513896,47.0997427411151
"2016...27","biomass_126",42.7083068070273,42.4372988239021,47.0644398582248
"2017...28","biomass_126",43.8872295581055,43.268354403173,47.3713649951594
"2018...29","biomass_126",44.8095669150929,43.2007251678246,47.3855993046429
"2019...30","biomass_126",45.6609369854412,44.2315944050928,47.5003763377126
"2020...31","biomass_126",46.8736194756806,45.1044824766296,47.9957286496941
"2021...32","biomass_126",45.8267797268566,42.176495208613,44.9520940106122
"2022...33","biomass_126",42.5702700931332,37.1125255667814,39.8133538244105
"2023...34","biomass_126",39.485803667943,35.1402813459217,36.1780951521997
"2024...35","biomass_126",37.9725286565593,36.1596583608407,34.7865333648367
