"","year","Arrowtooth flounder_35_HAL","Arrowtooth flounder_35_TRW","Flathead sole_39_HAL","Flathead sole_39_TRW","Shallow water flatfish_41_HAL","Shallow water flatfish_41_TRW","Deep water flatfish_42_HAL","Deep water flatfish_42_TRW","Pacific ocean perch_43_HAL","Pacific ocean perch_43_TRW","Slope rockfish_45_TRW","Demersal shelf rockfish_46_HAL","Demersal shelf rockfish_46_TRW","Pelagic shelf rockfish_47_HAL","Pelagic shelf rockfish_47_TRW","Sablefish_49_HAL","Sablefish_49_TRW","Pacific cod_51_HAL","Pacific cod_51_TRW","Walleye pollock_53_HAL","Walleye pollock_53_TRW","Atka mackerel_57_TRW","Squid_61_TRW","Slope rockfish_45_HAL","Pacific cod_51_POT","Rex sole _37_TRW","Atka mackerel_57_HAL","Arrowtooth flounder_35_BTR","Rex sole _37_BTR","Flathead sole_39_BTR","Shallow water flatfish_41_BTR","Deep water flatfish_42_BTR","Pacific ocean perch_43_BTR","Demersal shelf rockfish_46_BTR","Pelagic shelf rockfish_47_BTR","Sablefish_49_BTR","Pacific cod_51_BTR","Pacific cod_51_PTR","Walleye pollock_53_BTR","Walleye pollock_53_PTR","Atka mackerel_57_BTR","Rex sole _37_PTR","Flathead sole_39_PTR","Shallow water flatfish_41_PTR","Pacific ocean perch_43_PTR","Arrowtooth flounder_35_NPT","Rex sole _37_NPT","Flathead sole_39_NPT","Shallow water flatfish_41_NPT","Deep water flatfish_42_NPT","Pacific ocean perch_43_NPT","Demersal shelf rockfish_46_NPT","Pelagic shelf rockfish_47_NPT","Sablefish_49_NPT","Pacific cod_51_NPT","Walleye pollock_53_NPT","Atka mackerel_57_NPT","Arrowtooth flounder_35_POT","Pelagic shelf rockfish_47_POT","Sablefish_49_POT","Atka mackerel_57_POT","Walleye pollock_53_POT","Arrowtooth flounder_35_PTR","Pacific ocean perch_43_POT","Sablefish_49_PTR","Pacific cod_51_JIG","Walleye pollock_53_JIG","Atka mackerel_57_PTR","Salmon shark_28_HAL","Salmon shark_28_NPT","Salmon shark_28_POT","Salmon shark_28_PTR","Flathead sole_39_POT","Large sculpins_55_HAL","Large sculpins_55_NPT","Large sculpins_55_POT","Large sculpins_55_PTR","Squid_61_HAL","Squid_61_NPT","Squid_61_PTR","Octopus_62_HAL","Octopus_62_NPT","Octopus_62_POT","Octopus_62_PTR","Pacific halibut_33_HAL","Pacific halibut_33_POT","Pacific halibut_33_JIG","Octopus_62_JIG"
"1",1991,183.43,16774.95,1.98,1230.03,3.35,5212.19,39.91,9990.72,2.4,4384.28,2184.08,97.97,92.23,0.76,962.72,10899.5,2203.48,6891.99,57574.84,16.41,87811.6,1229.3,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1992,968.98,19513.2,5.61,2295.57,11.01,8316.78,55.28,8333.95,0.35,4306.76,8224.25,128.16,84.08,113.37,2256.69,10226.35,2349.39,14684.76,54536,67.46,90517.73,6380.1,19.97,17.45,9745.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1993,1343.58,16950.87,0.72,2822.57,0.97,8949.5,55.43,6533.74,2.26,1614.74,0,38.9,47.09,3.08,2109.58,10675.55,2018.87,8123.88,37725.29,24.87,108205.31,2156.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1994,456.62,21536.62,1,2510.24,0.42,3596.45,19.63,2786.07,0.81,1073.28,0,5.07,29.17,2.2,1668.93,7854.45,2055.87,6457.97,31202.11,36.24,100376.12,3537.34,0,0,7950.5,3557.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1995,1021.3,16394.19,5.95,2144.58,3.09,5152.46,106.23,1876.99,0,4018.06,0,3.85,46.17,1.22,1876.96,7500.89,1918.77,10715.3,41666.69,24.07,69144.06,696.83,0,0,15525.19,3847.09,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1996,360.59,0,0.71,0,1.89,0,20.83,0,0,0,0,13.41,0,0.96,0,6629.95,0,9980.34,0,40.69,0,0,0,0,0,0,0,21195.02,5752.71,2940.54,7888.22,1947.74,6131.35,31.58,1279.04,1670.49,44459.71,951.61,7470.49,42314.69,1407.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1997,408.2,0,0.31,0,12.04,0,16.6,0,0,0,0,52.81,0,2.95,0,6283.7,0,10567.9,0,23.4,0,0,0,0,0,0,0,14350.08,3100.53,2282.65,6636.16,2641.44,7964.25,33.25,1913.99,1297.23,47814.9,537.78,6272.26,77883.99,324.38,1.67,13.02,21.9,56.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1998,471.19,0,23.21,0,6.04,0,21.05,0,0,0,0,0,0,16.02,0,6057.69,0,9544.71,0,64.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792.13,0,0,0,0,0,11906,2623.58,1569.84,3168.27,1733.46,6720.45,27.22,2272.39,1184.11,40674.24,4571.47,316.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1999,1014.34,0,27.57,0,55.84,0,21.34,0,0,0,0,7.94,0,5.94,0,5864.83,0,11869.21,0,146.17,0,0,0,0,18453.24,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,87719.94,0,0,0,0,0,13625.51,2986.31,773.84,2177.15,1862.12,8933.85,52.17,3734.27,1422.17,35942.22,2690.79,143.02,9.38,1.61,5.31,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2000,959.9,0,4.02,0,6.87,0,26.83,0,0,0,0,0,0,0,0,6121.97,0,11397.84,0,301.85,0,0,0,0,17196.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22022.54,3571.81,1429.51,5799.24,812.11,9381.9,7.22,3167.42,1586.88,24790.55,5240.19,168.06,11.31,8.32,0,0,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
