"Year","Group","Type","Stdev","SE","Value","Scale","CV","Species","Loc","n","Source"
"1981","walleye_pollock_adult",NA,NA,NA,"2,785,755",4.25950070984579e-06,"0.12","","","","shelikof_winter_acoustic_survey"
"1983","walleye_pollock_adult",NA,NA,NA,"2,278,172",4.25950070984579e-06,"0.16","","","","shelikof_winter_acoustic_survey"
"1984","walleye_pollock_adult",NA,NA,NA,"1,757,168",4.25950070984579e-06,"0.18","","","","shelikof_winter_acoustic_survey"
"1985","walleye_pollock_adult",NA,NA,NA,"1,175,823",4.25950070984579e-06,"0.14","","","","shelikof_winter_acoustic_survey"
"1986","walleye_pollock_adult",NA,NA,NA,"585,755",4.25950070984579e-06,"0.22","","","","shelikof_winter_acoustic_survey"
"1988","walleye_pollock_adult",NA,NA,NA,"301,709",4.25950070984579e-06,"0.17","","","","shelikof_winter_acoustic_survey"
"1989","walleye_pollock_adult",NA,NA,NA,"290,461",4.25950070984579e-06,"0.1","","","","shelikof_winter_acoustic_survey"
"1990","walleye_pollock_adult",NA,NA,NA,"374,731",4.25950070984579e-06,"0.17","","","","shelikof_winter_acoustic_survey"
"1991","walleye_pollock_adult",NA,NA,NA,"380,331",4.25950070984579e-06,"0.35","","","","shelikof_winter_acoustic_survey"
"1992","walleye_pollock_adult",NA,NA,NA,"713,429",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"1993","walleye_pollock_adult",NA,NA,NA,"435,753",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"1994","walleye_pollock_adult",NA,NA,NA,"492,593",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"1995","walleye_pollock_adult",NA,NA,NA,"763,612",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"1996","walleye_pollock_adult",NA,NA,NA,"777,172",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"1997","walleye_pollock_adult",NA,NA,NA,"583,017",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"1998","walleye_pollock_adult",NA,NA,NA,"504,774",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"2000","walleye_pollock_adult",NA,NA,NA,"448,638",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2001","walleye_pollock_adult",NA,NA,NA,"432,749",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2002","walleye_pollock_adult",NA,NA,NA,"256,743",4.25950070984579e-06,"0.07","","","","shelikof_winter_acoustic_survey"
"2003","walleye_pollock_adult",NA,NA,NA,"317,269",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2004","walleye_pollock_adult",NA,NA,NA,"330,753",4.25950070984579e-06,"0.09","","","","shelikof_winter_acoustic_survey"
"2005","walleye_pollock_adult",NA,NA,NA,"356,117",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"2006","walleye_pollock_adult",NA,NA,NA,"293,609",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"2007","walleye_pollock_adult",NA,NA,NA,"180,881",4.25950070984579e-06,"0.06","","","","shelikof_winter_acoustic_survey"
"2008","walleye_pollock_adult",NA,NA,NA,"197,922",4.25950070984579e-06,"0.06","","","","shelikof_winter_acoustic_survey"
"2009","walleye_pollock_adult",NA,NA,NA,"257,422",4.25950070984579e-06,"0.06","","","","shelikof_winter_acoustic_survey"
"2010","walleye_pollock_adult",NA,NA,NA,"421,575",4.25950070984579e-06,"0.03","","","","shelikof_winter_acoustic_survey"
"2012","walleye_pollock_adult",NA,NA,NA,"334,061",4.25950070984579e-06,"0.08","","","","shelikof_winter_acoustic_survey"
"2013","walleye_pollock_adult",NA,NA,NA,"807,838",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2014","walleye_pollock_adult",NA,NA,NA,"827,338",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2015","walleye_pollock_adult",NA,NA,NA,"847,970",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"2016","walleye_pollock_adult",NA,NA,NA,"667,003",4.25950070984579e-06,"0.07","","","","shelikof_winter_acoustic_survey"
"2017","walleye_pollock_adult",NA,NA,NA,"1,465,229",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"2018","walleye_pollock_adult",NA,NA,NA,"1,320,867",4.25950070984579e-06,"0.04","","","","shelikof_winter_acoustic_survey"
"2019","walleye_pollock_adult",NA,NA,NA,"1,281,083",4.25950070984579e-06,"0.07","","","","shelikof_winter_acoustic_survey"
"2020","walleye_pollock_adult",NA,NA,NA,"456,713",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2021","walleye_pollock_adult",NA,NA,NA,"526,974",4.25950070984579e-06,"0.03","","","","shelikof_winter_acoustic_survey"
"2022","walleye_pollock_adult",NA,NA,NA,"365,411",4.25950070984579e-06,"0.1","","","","shelikof_winter_acoustic_survey"
"2023","walleye_pollock_adult",NA,NA,NA,"258,829",4.25950070984579e-06,"0.05","","","","shelikof_winter_acoustic_survey"
"2024","walleye_pollock_adult",NA,NA,NA,"289,973",4.25950070984579e-06,"0.07","","","","shelikof_winter_acoustic_survey"
